Ano,Bahia - IDH Educacao
2008,0.620780583475254
2009,0.6247552758043944
2010,0.6285613541977627
2011,0.6321983485857781
2012,0.6354207717171717
2013,0.638955836026936
2014,0.6427021556958473
2015,0.6446773353371679
2016,0.6557050998888293
2017,0.6556782907878137
2018,0.6557399535867059
2019,0.6553526766400428
2020,0.6538392836073194
2021,0.6505519457534393
2022,0.6497839408219339
