,Mato Grosso - IDH Educacao
2003-1,0.7133648120308123
2003-2,0.7137211184628963
2003-3,0.7140774248949805
2003-4,0.7144337313270646
2003-5,0.7147900377591486
2003-6,0.7151463441912328
2003-7,0.7155026506233169
2003-8,0.7158589570554009
2003-9,0.7162152634874851
2003-10,0.7165715699195692
2003-11,0.7169278763516532
2003-12,0.7172841827837374
2004-1,0.7176404892158215
2004-2,0.7179777666344612
2004-3,0.7183150440531011
2004-4,0.7186523214717409
2004-5,0.7189895988903806
2004-6,0.7193268763090205
2004-7,0.7196641537276602
2004-8,0.7200014311463
2004-9,0.7203387085649399
2004-10,0.7206759859835796
2004-11,0.7210132634022194
2004-12,0.7213505408208593
2005-1,0.721687818239499
2005-2,0.7220060150390931
2005-3,0.7223242118386872
2005-4,0.7226424086382812
2005-5,0.7229606054378753
2005-6,0.7232788022374694
2005-7,0.7235969990370635
2005-8,0.7239151958366576
2005-9,0.7242333926362517
2005-10,0.7245515894358459
2005-11,0.7248697862354399
2005-12,0.725187983035034
2006-1,0.7255061798346281
2006-2,0.7258052444095751
2006-3,0.7261043089845219
2006-4,0.7264033735594689
2006-5,0.7267024381344159
2006-6,0.7270015027093628
2006-7,0.7273005672843098
2006-8,0.7275996318592568
2006-9,0.7278986964342037
2006-10,0.7281977610091507
2006-11,0.7284968255840977
2006-12,0.7287958901590446
2007-1,0.7290949547339916
2007-2,0.72937483547869
2007-3,0.7296547162233884
2007-4,0.7299345969680868
2007-5,0.7302144777127852
2007-6,0.7304943584574837
2007-7,0.7307742392021821
2007-8,0.7310541199468806
2007-9,0.7313340006915791
2007-10,0.7316138814362775
2007-11,0.7318937621809759
2007-12,0.7321736429256743
2008-1,0.7324535236703728
2008-2,0.7327141689792213
2008-3,0.7329748142880698
2008-4,0.7332354595969182
2008-5,0.7334961049057667
2008-6,0.7337567502146152
2008-7,0.7340173955234637
2008-8,0.7342780408323122
2008-9,0.7345386861411607
2008-10,0.7347993314500092
2008-11,0.7350599767588576
2008-12,0.7353206220677061
2009-1,0.7355812673765546
2009-2,0.7358226256439517
2009-3,0.7360639839113489
2009-4,0.736305342178746
2009-5,0.7365467004461431
2009-6,0.7367880587135403
2009-7,0.7370294169809375
2009-8,0.7372707752483346
2009-9,0.7375121335157317
2009-10,0.7377534917831289
2009-11,0.737994850050526
2009-12,0.7382362083179231
2010-1,0.7384775665853203
2010-2,0.7386995862056647
2010-3,0.7389216058260091
2010-4,0.7391436254463535
2010-5,0.7393656450666978
2010-6,0.7395876646870422
2010-7,0.7398096843073866
2010-8,0.740031703927731
2010-9,0.7402537235480754
2010-10,0.7404757431684197
2010-11,0.7406977627887641
2010-12,0.7409197824091085
2011-1,0.7411418020294529
2011-2,0.741273437045517
2011-3,0.7414050720615811
2011-4,0.7415367070776452
2011-5,0.7416683420937092
2011-6,0.7417999771097734
2011-7,0.7419316121258375
2011-8,0.7420632471419015
2011-9,0.7421948821579657
2011-10,0.7423265171740298
2011-11,0.7424581521900938
2011-12,0.742589787206158
2012-1,0.742721422222222
2012-2,0.7430597654320986
2012-3,0.7433981086419751
2012-4,0.7437364518518517
2012-5,0.7440747950617282
2012-6,0.7444131382716047
2012-7,0.7447514814814813
2012-8,0.7450898246913579
2012-9,0.7454281679012343
2012-10,0.7457665111111109
2012-11,0.7461048543209875
2012-12,0.746443197530864
2013-1,0.7467815407407405
2013-2,0.7468841903292179
2013-3,0.7469868399176953
2013-4,0.7470894895061727
2013-5,0.7471921390946501
2013-6,0.7472947886831275
2013-7,0.7473974382716049
2013-8,0.7475000878600822
2013-9,0.7476027374485595
2013-10,0.7477053870370369
2013-11,0.7478080366255143
2013-12,0.7479106862139917
2014-1,0.7480133358024691
2014-2,0.7480967617455417
2014-3,0.7481801876886145
2014-4,0.7482636136316871
2014-5,0.7483470395747599
2014-6,0.7484304655178325
2014-7,0.7485138914609053
2014-8,0.748597317403978
2014-9,0.7486807433470506
2014-10,0.7487641692901233
2014-11,0.748847595233196
2014-12,0.7489310211762688
2015-1,0.7490144471193414
2015-2,0.7496687791464022
2015-3,0.7503231111734628
2015-4,0.7509774432005236
2015-5,0.7516317752275844
2015-6,0.7522861072546451
2015-7,0.7529404392817058
2015-8,0.7535947713087666
2015-9,0.7542491033358273
2015-10,0.7549034353628881
2015-11,0.7555577673899488
2015-12,0.7562120994170095
2016-1,0.7568664314440703
2016-2,0.756797237742889
2016-3,0.7567280440417077
2016-4,0.7566588503405265
2016-5,0.7565896566393452
2016-6,0.7565204629381639
2016-7,0.7564512692369826
2016-8,0.7563820755358013
2016-9,0.75631288183462
2016-10,0.7562436881334387
2016-11,0.7561744944322575
2016-12,0.7561053007310762
2017-1,0.7560361070298949
2017-2,0.7560288048104244
2017-3,0.7560215025909539
2017-4,0.7560142003714834
2017-5,0.7560068981520129
2017-6,0.7559995959325425
2017-7,0.755992293713072
2017-8,0.7559849914936014
2017-9,0.755977689274131
2017-10,0.7559703870546606
2017-11,0.75596308483519
2017-12,0.7559557826157195
2018-1,0.7559484803962491
2018-2,0.7558874840356146
2018-3,0.7558264876749801
2018-4,0.7557654913143456
2018-5,0.7557044949537111
2018-6,0.7556434985930766
2018-7,0.755582502232442
2018-8,0.7555215058718076
2018-9,0.755460509511173
2018-10,0.7553995131505385
2018-11,0.755338516789904
2018-12,0.7552775204292695
2019-1,0.755216524068635
2019-2,0.7550969522812763
2019-3,0.7549773804939174
2019-4,0.7548578087065586
2019-5,0.7547382369191997
2019-6,0.754618665131841
2019-7,0.7544990933444822
2019-8,0.7543795215571233
2019-9,0.7542599497697645
2019-10,0.7541403779824056
2019-11,0.7540208061950469
2019-12,0.753901234407688
2020-1,0.7537816626203292
2020-2,0.7536966752159378
2020-3,0.7536116878115463
2020-4,0.7535267004071549
2020-5,0.7534417130027634
2020-6,0.753356725598372
2020-7,0.7532717381939806
2020-8,0.7531867507895892
2020-9,0.7531017633851977
2020-10,0.7530167759808063
2020-11,0.7529317885764149
2020-12,0.7528468011720234
2021-1,0.752761813767632
2021-2,0.7527221305385988
2021-3,0.7526824473095658
2021-4,0.7526427640805327
2021-5,0.7526030808514995
2021-6,0.7525633976224665
2021-7,0.7525237143934334
2021-8,0.7524840311644002
2021-9,0.7524443479353672
2021-10,0.752404664706334
2021-11,0.7523649814773009
2021-12,0.7523252982482679
2022-1,0.7522856150192347
