,Paraná - IDH Educacao
2003-1,0.7287277163455822
2003-2,0.7290310883401615
2003-3,0.7293344603347408
2003-4,0.72963783232932
2003-5,0.7299412043238993
2003-6,0.7302445763184786
2003-7,0.7305479483130579
2003-8,0.7308513203076372
2003-9,0.7311546923022165
2003-10,0.7314580642967958
2003-11,0.731761436291375
2003-12,0.7320648082859543
2004-1,0.7323681802805336
2004-2,0.7326616591408862
2004-3,0.7329551380012388
2004-4,0.7332486168615914
2004-5,0.733542095721944
2004-6,0.7338355745822965
2004-7,0.7341290534426492
2004-8,0.7344225323030018
2004-9,0.7347160111633544
2004-10,0.735009490023707
2004-11,0.7353029688840595
2004-12,0.7355964477444121
2005-1,0.7358899266047647
2005-2,0.7361727239954989
2005-3,0.7364555213862332
2005-4,0.7367383187769674
2005-5,0.7370211161677015
2005-6,0.7373039135584357
2005-7,0.7375867109491699
2005-8,0.7378695083399042
2005-9,0.7381523057306384
2005-10,0.7384351031213725
2005-11,0.7387179005121067
2005-12,0.739000697902841
2006-1,0.7392834952935752
2006-2,0.7395548228792993
2006-3,0.7398261504650235
2006-4,0.7400974780507477
2006-5,0.7403688056364718
2006-6,0.740640133222196
2006-7,0.7409114608079201
2006-8,0.7411827883936443
2006-9,0.7414541159793685
2006-10,0.7417254435650926
2006-11,0.7419967711508167
2006-12,0.742268098736541
2007-1,0.7425394263222651
2007-2,0.7427984957675875
2007-3,0.74305756521291
2007-4,0.7433166346582325
2007-5,0.7435757041035549
2007-6,0.7438347735488773
2007-7,0.7440938429941998
2007-8,0.7443529124395223
2007-9,0.7446119818848447
2007-10,0.7448710513301671
2007-11,0.7451301207754896
2007-12,0.7453891902208121
2008-1,0.7456482596661345
2008-2,0.7458942826356635
2008-3,0.7461403056051925
2008-4,0.7463863285747216
2008-5,0.7466323515442507
2008-6,0.7468783745137797
2008-7,0.7471243974833087
2008-8,0.7473704204528377
2008-9,0.7476164434223668
2008-10,0.7478624663918958
2008-11,0.7481084893614249
2008-12,0.748354512330954
2009-1,0.748600535300483
2009-2,0.748832723458827
2009-3,0.7490649116171709
2009-4,0.749297099775515
2009-5,0.7495292879338589
2009-6,0.7497614760922029
2009-7,0.7499936642505469
2009-8,0.7502258524088908
2009-9,0.7504580405672349
2009-10,0.7506902287255788
2009-11,0.7509224168839228
2009-12,0.7511546050422667
2010-1,0.7513867932006107
2010-2,0.751604358212378
2010-3,0.7518219232241452
2010-4,0.7520394882359125
2010-5,0.7522570532476798
2010-6,0.752474618259447
2010-7,0.7526921832712142
2010-8,0.7529097482829815
