Ano,Alagoas - IDH Educacao
2008,0.6017657822659834
2009,0.6063964971494539
2010,0.610714311734448
2011,0.6147167911859588
2012,0.6185922195286196
2013,0.6212249044893379
2014,0.625243646530116
2015,0.6274306170742924
2016,0.6430446716020334
2017,0.6437760053840363
2018,0.6446647331462215
2019,0.644088799795878
2020,0.6441877815955034
2021,0.6427503071950945
2022,0.6394548805764667
