Ano,Minas Gerais - IDH Educacao
2008,0.7176224520642793
2009,0.7211667162733153
2010,0.7246345649093388
2011,0.7280210256704602
2012,0.7308370370370371
2013,0.7348234567901235
2014,0.7383920781893005
2015,0.7400914180384088
2016,0.7494676354595338
2017,0.7504192386831275
2018,0.7502755331088665
2019,0.7504823997551271
2020,0.7487080724601387
2021,0.7470451699565149
2022,0.7456856399525617
