,Distrito Federal - IDH Educacao
2003-1,0.7851372444068995
2003-2,0.7853129180116158
2003-3,0.7854885916163323
2003-4,0.7856642652210488
2003-5,0.7858399388257652
2003-6,0.7860156124304816
2003-7,0.7861912860351981
2003-8,0.7863669596399145
2003-9,0.7865426332446309
2003-10,0.7867183068493473
2003-11,0.7868939804540638
2003-12,0.7870696540587803
2004-1,0.7872453276634966
2004-2,0.7874205011479856
2004-3,0.7875956746324745
2004-4,0.7877708481169634
2004-5,0.7879460216014522
2004-6,0.7881211950859411
2004-7,0.7882963685704301
2004-8,0.788471542054919
2004-9,0.7886467155394079
2004-10,0.7888218890238967
2004-11,0.7889970625083856
2004-12,0.7891722359928746
2005-1,0.7893474094773635
2005-2,0.7895213253707803
2005-3,0.7896952412641971
2005-4,0.789869157157614
2005-5,0.7900430730510307
2005-6,0.7902169889444476
2005-7,0.7903909048378643
2005-8,0.7905648207312812
2005-9,0.7907387366246981
2005-10,0.7909126525181148
2005-11,0.7910865684115317
2005-12,0.7912604843049484
2006-1,0.7914344001983653
2006-2,0.7916063010298655
2006-3,0.7917782018613657
2006-4,0.7919501026928659
2006-5,0.7921220035243661
2006-6,0.7922939043558663
2006-7,0.7924658051873665
2006-8,0.7926377060188667
2006-9,0.7928096068503669
2006-10,0.7929815076818671
2006-11,0.7931534085133674
2006-12,0.7933253093448676
2007-1,0.7934972101763678
2007-2,0.7936663384751068
2007-3,0.7938354667738459
2007-4,0.7940045950725849
2007-5,0.794173723371324
2007-6,0.794342851670063
2007-7,0.7945119799688021
2007-8,0.7946811082675411
2007-9,0.7948502365662802
2007-10,0.7950193648650192
2007-11,0.7951884931637583
2007-12,0.7953576214624973
2008-1,0.7955267497612364
2008-2,0.7956923480563697
2008-3,0.7958579463515031
2008-4,0.7960235446466364
2008-5,0.7961891429417698
2008-6,0.7963547412369031
2008-7,0.7965203395320364
2008-8,0.7966859378271698
2008-9,0.7968515361223031
2008-10,0.7970171344174365
2008-11,0.7971827327125698
2008-12,0.7973483310077032
2009-1,0.7975139293028365
2009-2,0.7976752401235196
