,Rio Grande do Norte - IDH Educacao
2003-1,0.629166952826542
2003-2,0.6295921454805956
2003-3,0.6300173381346491
2003-4,0.6304425307887027
2003-5,0.6308677234427563
2003-6,0.6312929160968098
2003-7,0.6317181087508634
2003-8,0.632143301404917
2003-9,0.6325684940589705
2003-10,0.6329936867130241
2003-11,0.6334188793670777
2003-12,0.6338440720211312
2004-1,0.6342692646751849
2004-2,0.6346696205876967
2004-3,0.6350699765002086
2004-4,0.6354703324127204
2004-5,0.6358706883252323
2004-6,0.6362710442377442
2004-7,0.636671400150256
2004-8,0.637071756062768
2004-9,0.6374721119752799
2004-10,0.6378724678877917
2004-11,0.6382728238003036
2004-12,0.6386731797128155
2005-1,0.6390735356253273
2005-2,0.6394487535348365
2005-3,0.6398239714443457
2005-4,0.6401991893538549
2005-5,0.6405744072633641
2005-6,0.6409496251728732
2005-7,0.6413248430823825
2005-8,0.6417000609918917
2005-9,0.6420752789014008
2005-10,0.64245049681091
2005-11,0.6428257147204193
2005-12,0.6432009326299284
2006-1,0.6435761505394376
2006-2,0.6439259291844832
2006-3,0.6442757078295287
2006-4,0.6446254864745743
2006-5,0.6449752651196199
2006-6,0.6453250437646655
2006-7,0.6456748224097111
2006-8,0.6460246010547566
2006-9,0.6463743796998022
2006-10,0.6467241583448478
2006-11,0.6470739369898932
2006-12,0.6474237156349388
2007-1,0.6477734942799844
2007-2,0.6480975323991054
2007-3,0.6484215705182264
2007-4,0.6487456086373473
2007-5,0.6490696467564683
2007-6,0.6493936848755892
2007-7,0.6497177229947102
2007-8,0.6500417611138312
2007-9,0.6503657992329521
2007-10,0.6506898373520731
2007-11,0.651013875471194
2007-12,0.651337913590315
2008-1,0.651661951709436
2008-2,0.6519599480411714
2008-3,0.6522579443729069
2008-4,0.6525559407046422
2008-5,0.6528539370363776
2008-6,0.6531519333681131
2008-7,0.6534499296998484
2008-8,0.6537479260315838
2008-9,0.6540459223633193
2008-10,0.6543439186950547
2008-11,0.6546419150267901
2008-12,0.6549399113585255
2009-1,0.6552379076902609
2009-2,0.6555095609731498
2009-3,0.6557812142560386
2009-4,0.6560528675389276
2009-5,0.6563245208218164
2009-6,0.6565961741047053
2009-7,0.6568678273875941
2009-8,0.657139480670483
2009-9,0.6574111339533719
2009-10,0.6576827872362607
2009-11,0.6579544405191496
2009-12,0.6582260938020384
2010-1,0.6584977470849274
2010-2,0.6587427560575088
2010-3,0.6589877650300902
2010-4,0.6592327740026716
2010-5,0.659477782975253
2010-6,0.6597227919478343
2010-7,0.6599678009204157
2010-8,0.6602128098929971
2010-9,0.6604578188655785
2010-10,0.6607028278381599
2010-11,0.6609478368107413
2010-12,0.6611928457833227
2011-1,0.6614378547559041
2011-2,0.6615845183747303
2011-3,0.6617311819935565
2011-4,0.6618778456123826
2011-5,0.6620245092312088
2011-6,0.662171172850035
2011-7,0.6623178364688611
2011-8,0.6624645000876873
2011-9,0.6626111637065135
2011-10,0.6627578273253397
2011-11,0.6629044909441659
2011-12,0.663051154562992
2012-1,0.6631978181818182
2012-2,0.6635186363636364
2012-3,0.6638394545454546
2012-4,0.6641602727272727
2012-5,0.6644810909090909
2012-6,0.6648019090909091
2012-7,0.6651227272727273
2012-8,0.6654435454545454
2012-9,0.6657643636363636
2012-10,0.6660851818181818
2012-11,0.6664059999999999
2012-12,0.6667268181818181
2013-1,0.6670476363636363
2013-2,0.6672215782828282
2013-3,0.6673955202020201
2013-4,0.667569462121212
2013-5,0.667743404040404
2013-6,0.6679173459595958
2013-7,0.6680912878787878
2013-8,0.6682652297979798
2013-9,0.6684391717171716
2013-10,0.6686131136363636
2013-11,0.6687870555555555
2013-12,0.6689609974747474
2014-1,0.6691349393939393
2014-2,0.6691428209175083
2014-3,0.6691507024410773
2014-4,0.6691585839646463
2014-5,0.6691664654882155
2014-6,0.6691743470117845
2014-7,0.6691822285353535
2014-8,0.6691901100589225
2014-9,0.6691979915824915
2014-10,0.6692058731060606
2014-11,0.6692137546296296
2014-12,0.6692216361531986
2015-1,0.6692295176767676
2015-2,0.6700559208371595
2015-3,0.6708823239975512
2015-4,0.671708727157943
2015-5,0.6725351303183348
2015-6,0.6733615334787266
2015-7,0.6741879366391184
2015-8,0.6750143397995102
2015-9,0.675840742959902
2015-10,0.6766671461202938
2015-11,0.6774935492806856
2015-12,0.6783199524410773
2016-1,0.6791463556014692
2016-2,0.679170191628753
2016-3,0.6791940276560369
2016-4,0.6792178636833208
2016-5,0.6792416997106047
2016-6,0.6792655357378885
2016-7,0.6792893717651723
2016-8,0.6793132077924562
2016-9,0.67933704381974
