,Ceará - IDH Educacao
2003-1,0.6559213008638756
2003-2,0.6564899803217012
2003-3,0.657058659779527
2003-4,0.6576273392373527
2003-5,0.6581960186951784
2003-6,0.6587646981530042
2003-7,0.6593333776108299
2003-8,0.6599020570686556
2003-9,0.6604707365264814
2003-10,0.661039415984307
2003-11,0.6616080954421327
2003-12,0.6621767748999585
2004-1,0.6627454543577842
2004-2,0.6632847540823906
2004-3,0.663824053806997
2004-4,0.6643633535316035
2004-5,0.6649026532562099
2004-6,0.6654419529808163
2004-7,0.6659812527054227
2004-8,0.6665205524300292
2004-9,0.6670598521546356
2004-10,0.667599151879242
2004-11,0.6681384516038484
2004-12,0.6686777513284549
2005-1,0.6692170510530613
2005-2,0.6697265440888983
2005-3,0.6702360371247353
2005-4,0.6707455301605724
2005-5,0.6712550231964094
2005-6,0.6717645162322464
2005-7,0.6722740092680835
2005-8,0.6727835023039205
2005-9,0.6732929953397575
2005-10,0.6738024883755945
2005-11,0.6743119814114316
2005-12,0.6748214744472686
2006-1,0.6753309674831056
2006-2,0.6758102268746231
2006-3,0.6762894862661407
2006-4,0.6767687456576582
2006-5,0.6772480050491757
2006-6,0.6777272644406933
2006-7,0.6782065238322108
2006-8,0.6786857832237283
2006-9,0.6791650426152459
2006-10,0.6796443020067634
2006-11,0.6801235613982809
2006-12,0.6806028207897985
2007-1,0.681082080181316
2007-2,0.6815306789729639
2007-3,0.6819792777646119
2007-4,0.6824278765562599
2007-5,0.6828764753479079
2007-6,0.6833250741395558
2007-7,0.6837736729312037
2007-8,0.6842222717228517
2007-9,0.6846708705144996
2007-10,0.6851194693061475
2007-11,0.6855680680977956
2007-12,0.6860166668894435
2008-1,0.6864652656810915
2008-2,0.6868827769173197
2008-3,0.687300288153548
2008-4,0.6877177993897763
2008-5,0.6881353106260045
2008-6,0.6885528218622329
2008-7,0.6889703330984611
2008-8,0.6893878443346894
2008-9,0.6898053555709177
2008-10,0.690222866807146
2008-11,0.6906403780433742
2008-12,0.6910578892796025
2009-1,0.6914754005158308
2009-2,0.6918613972410893
2009-3,0.6922473939663478
2009-4,0.6926333906916063
2009-5,0.6930193874168649
2009-6,0.6934053841421234
2009-7,0.6937913808673819
2009-8,0.6941773775926404
2009-9,0.6945633743178989
2009-10,0.6949493710431575
2009-11,0.695335367768416
2009-12,0.6957213644936745
2010-1,0.696107361218933
2010-2,0.6964614164776717
2010-3,0.6968154717364103
2010-4,0.697169526995149
2010-5,0.6975235822538877
2010-6,0.6978776375126263
2010-7,0.698231692771365
2010-8,0.6985857480301036
2010-9,0.6989398032888423
2010-10,0.699293858547581
2010-11,0.6996479138063196
2010-12,0.7000019690650583
2011-1,0.700356024323797
2011-2,0.700687440703099
2011-3,0.701018857082401
2011-4,0.701350273461703
2011-5,0.701681689841005
2011-6,0.702013106220307
2011-7,0.702344522599609
2011-8,0.7026759389789109
2011-9,0.7030073553582129
2011-10,0.7033387717375149
2011-11,0.7036701881168169
2011-12,0.7040016044961189
2012-1,0.7043330208754209
2012-2,0.7045922779648336
2012-3,0.7048515350542462
2012-4,0.7051107921436588
2012-5,0.7053700492330714
2012-6,0.7056293063224841
2012-7,0.7058885634118968
2012-8,0.7061478205013094
2012-9,0.7064070775907221
2012-10,0.7066663346801347
2012-11,0.7069255917695473
2012-12,0.7071848488589599
2013-1,0.7074441059483726
2013-2,0.7077249677952363
2013-3,0.7080058296421
2013-4,0.7082866914889637
2013-5,0.7085675533358274
2013-6,0.7088484151826911
2013-7,0.7091292770295547
2013-8,0.7094101388764185
2013-9,0.7096910007232822
2013-10,0.7099718625701459
2013-11,0.7102527244170096
2013-12,0.7105335862638733
2014-1,0.710814448110737
2014-2,0.7110353817781727
2014-3,0.7112563154456084
2014-4,0.711477249113044
2014-5,0.7116981827804797
2014-6,0.7119191164479154
2014-7,0.712140050115351
2014-8,0.7123609837827867
2014-9,0.7125819174502224
2014-10,0.7128028511176581
2014-11,0.7130237847850938
2014-12,0.7132447184525293
2015-1,0.713465652119965
2015-2,0.7148969782846232
2015-3,0.7163283044492814
2015-4,0.7177596306139395
2015-5,0.7191909567785978
2015-6,0.7206222829432559
2015-7,0.7220536091079142
2015-8,0.7234849352725723
2015-9,0.7249162614372304
2015-10,0.7263475876018887
2015-11,0.7277789137665468
2015-12,0.729210239931205
2016-1,0.7306415660958632
2016-2,0.7308130931117409
2016-3,0.7309846201276187
2016-4,0.7311561471434964
2016-5,0.7313276741593742
2016-6,0.7314992011752519
2016-7,0.7316707281911297
2016-8,0.7318422552070075
2016-9,0.7320137822228853
2016-10,0.732185309238763
2016-11,0.7323568362546408
2016-12,0.7325283632705185
2017-1,0.7326998902863963
2017-2,0.7328339803643235
2017-3,0.7329680704422508
2017-4,0.733102160520178
2017-5,0.7332362505981053
2017-6,0.7333703406760325
2017-7,0.7335044307539598
2017-8,0.733638520831887
2017-9,0.7337726109098142
2017-10,0.7339067009877415
2017-11,0.7340407910656687
2017-12,0.734174881143596
2018-1,0.7343089712215232
2018-2,0.7342658573671408
2018-3,0.7342227435127584
2018-4,0.734179629658376
2018-5,0.7341365158039935
2018-6,0.7340934019496111
2018-7,0.7340502880952288
2018-8,0.7340071742408464
2018-9,0.733964060386464
2018-10,0.7339209465320815
2018-11,0.7338778326776991
2018-12,0.7338347188233167
2019-1,0.7337916049689344
2019-2,0.7337445716732445
2019-3,0.7336975383775546
2019-4,0.7336505050818647
2019-5,0.7336034717861748
2019-6,0.7335564384904849
2019-7,0.733509405194795
2019-8,0.7334623718991052
2019-9,0.7334153386034153
2019-10,0.7333683053077255
2019-11,0.7333212720120356
2019-12,0.7332742387163457
2020-1,0.7332272054206558
2020-2,0.7329789266738426
2020-3,0.7327306479270294
2020-4,0.7324823691802161
2020-5,0.7322340904334029
2020-6,0.7319858116865897
2020-7,0.7317375329397765
2020-8,0.7314892541929633
2020-9,0.7312409754461501
2020-10,0.7309926966993369
2020-11,0.7307444179525237
2020-12,0.7304961392057104
2021-1,0.7302478604588972
2021-2,0.7299770109169191
2021-3,0.7297061613749412
2021-4,0.7294353118329631
2021-5,0.729164462290985
2021-6,0.7288936127490069
2021-7,0.7286227632070288
2021-8,0.7283519136650508
2021-9,0.7280810641230727
2021-10,0.7278102145810946
2021-11,0.7275393650391166
2021-12,0.7272685154971386
2022-1,0.7269976659551605
