Ano,Acre - Consumo de Cimento (t)
2014,171.7092857142857
2015,151.48662857142855
2016,134.2230857142857
2017,150.491
2018,148.696
2019,153.80599999999998
2020,178.033
2021,189.357
2022,202.321
