Ano,Piauí - Consumo de Cimento (t)
2008,449.076
2009,536.766
2010,639.535
2011,625.0219999999999
2012,687.536
2013,778.779
2014,755.7138571428571
2015,794.9454857142857
2016,842.6876571428572
2017,831.356
2018,626.223
2019,702.437
2020,788.164
2021,826.368
2022,804.4169999999999
