Ano,Piauí - Produção de Cimento (t)
2014,534.5695992749867
2015,485.5445221735698
2016,383.1950125901188
2017,274.2637535745655
2018,214.60239631262087
2019,182.0658115315109
2020,164.95134781084488
2021,157.36974780214882
2022,155.63343615366063
