Ano,Piauí - Consumo de Cimento (t)
2014,765.6151037479295
2015,796.302369190816
2016,782.6446396656069
2017,733.3296426100858
2018,716.1636324615897
2019,754.0862093158153
2020,785.2940323591474
2021,799.1850040891492
2022,807.5970845369249
