Ano,Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado
2014,30709987.810025305,1324714.0102703068,7.820611412428704,24677631.600737877
2015,31076110.006816354,1310802.9955756543,7.837545752919888,24738709.972651396
2016,31272508.166543156,1307005.3688459548,7.840583505297314,24743494.532734126
2017,31358793.768738974,1302182.3812541447,7.848958460514045,24755401.427464496
2018,31298851.079694334,1302198.428022702,7.8483065761387785,24725354.27577963
2019,31142417.556936793,1306516.2672135218,7.84287787271469,24700723.199462462
2020,30761674.906121906,1314933.1889587773,7.822100627306022,24616475.032702662
2021,30122879.868616268,1317970.5543067702,7.792038088542186,24494238.145620998
2022,29351459.338515356,1321356.6856231196,7.7551098850678795,24342660.695334792
