DateTime,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$),Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$),Imóvel Área - Privativa (m²),Imóvel Área - Total (m²),Número de Apartamentos,Número de Casas,Valor Imóveis - Avaliação (R$),Valor Imóveis - Compra (R$),Quantidade de imóves - Condomínio,Quantidade de imóves – Isolado
2014-11-30,54568403.86,242276506.34,2204698825.49,3200472597.09,5179210280.82,27021600,76230928.4,307672463.21,642706129.83,317998024946.79,21978400836.71,,352855817617.02,11374740.01,932101267.63,1605465142.98,8829284874.41,10352393222.82,9120817.78,216430024.36,2992261.91,246667131.26,865739725.6,11975189957.45,67608422374.83,146942069550.21,201065525628.1,1311725867.48,1987121803.92,27655772177.13,27114738648.21,1.3,2.3,1.22,0.93,4.42,0.15,0.41,0.42,0,514771542200,1431870391.22,,43316423619.68,143387257374.96,,,,,,,,
2014-12-31,61867641.36,268609361.49,2428256390.64,3459281392.51,5896671289.38,184208377.48,47218970.39,448757873.06,689599458.4,325025844983.33,22426803153.54,,356631479869.94,12048245.09,1002733658.77,1672857305.93,8747046269.51,9718784794.57,10104608.97,207079470.65,2997451.45,260188976.52,910821306.07,11988997632.24,69049902024.58,149723111637.21,204920968198.25,1267563367.95,2150049011.9,28198255511.45,27079403268.94,1.12,1.81,1.16,0.94,4.28,0.1,0.48,0.44,0,522343501310,1368525621.91,,46984403605.33,150908631060.54,,,,,,,,
2015-01-31,37462023.97,191834035.64,2165005316.05,2740439299.68,5887511142.74,40834394.04,27447745.8,156126521.58,333339480.04,331478991617.8,22811476183.94,,357325506115.31,12067368.39,1056808132.22,1826039710.23,9011638810.51,10041247716.02,14692720.75,210508245.59,2997594.34,298388123.24,935759174.59,11958451537.68,70468160577.27,151746896689.31,208819718076.38,1180976423.16,2170633249.57,28567783270.58,26964357617.13,1.27,2.1,1.31,0.94,4.68,0.2,0.89,0.51,0.01,520702333160,1361301605.78,,47088949644.78,159667006385.09,,,,,,,,
2015-02-28,26218101.89,185685584.66,1536128250.49,2684561720.91,3651254156.22,143803586.55,4888640.89,212642383.64,433275270.61,335709575301.45,23159406477.98,,356690790953.5,9689765.12,1061331926.27,1963714239.57,8884055487.32,10614793623.71,10413696.12,224511968.3,2799330.41,308654938.05,948802410.32,11911624261.34,71287744858.38,153732391600.51,210913683549.4,1103164617.54,2250003337.63,29213523709.54,26929744219.67,1.41,2.32,1.47,0.8,4.79,0.24,0.55,0.55,0.12,518719251100,1333073845.59,,65683772430.28,165544869456.41,,,,,,,,
2015-03-31,47786853.65,237439151.45,2243105315.86,3357952374.19,5342452372.18,17854873.36,19938517.34,308408382.43,656754195.85,341747556548.33,23604460983.33,,359254970125.17,9949789.67,1083896417.73,1998163500.62,8839291181.27,10454945994.34,11656330.07,426858958.69,34207705.96,304869795.24,980577847.91,11897134820.81,72601542386.3,156338591995.04,214063310621.85,1036080913.28,2872848735.56,28959506028.28,26698912631.15,1.34,2.05,1.4,0.74,4.78,0.39,0.69,0.54,0.1,512301870190,1304172198,,55950858541.54,170238624791.88,,,,,,,,
2015-04-30,39015701.22,190751593.06,2169373403.11,3077083405.55,6042216709.61,7894858.33,39189312.04,218695739.02,360713536.45,348660523375.73,24000332266.59,,364927176641.27,8830774.88,1104227811.49,1995849954.57,8787880514.11,9685198170.09,14398474.95,424306818.82,42832501.3,446610236.07,1005827532.29,11836035585.67,73992421603.98,158702161325.59,218219391430.27,1010926463.23,2871601714.61,29433413301.49,26567942455.23,1.46,2.28,1.48,0.66,4.86,0.78,0.98,1.06,0.09,510116061790,1252670257.89,,56710058075.38,175137918559.93,,,,,,,,
2015-05-31,33189863.47,205495677.3,1705005006.06,3730654052,2745380307.9,105403900,37310167.37,274571189.38,611971481.65,353072708027.8,24409839050.73,,367071132460.83,9730189.09,1125528423.52,2089441887.26,8966432511.41,9817369894.16,14387027.17,406282943.72,44704465.5,653096066.63,1026553853.07,11836075023.25,75061111075.84,161802732377.31,219467060468.22,968285732.43,2963031413.95,30087999762.95,26589427641.61,1.51,2.29,1.52,0.72,4.95,0.34,0.47,0.99,0.26,507703603810,1209877109.34,,58794199843.9,179569068570.05,,,,,,,,
2015-06-30,48442506.15,256085100.4,1559160279.01,4044334263.82,2692963972.23,11295475.33,148835406.43,145491572.64,469321102.56,354637031839.46,24817168024.47,,367161665363.02,14139401.4,1067741108.33,2052171739.07,8671860680.59,9292927506.55,13433980.08,425674758.54,53356028.1,685681250.12,1062235137.53,11830762309.23,75869264833.37,165085918386.02,220490403349.7,954213196.23,2929274018.89,30544067160.38,26765387781.7,1.36,1.95,1.45,1.13,4.59,0.32,0.48,0.58,0.26,503757142960,1162362246.95,,61683706594.19,182537960673.85,,,,,,,,
2015-07-31,57692616.77,207192645.56,1624352866.47,4487517263.51,2552297814.85,2840270.18,96133052.71,298811376.91,488521201.37,357456396736.45,25248844963.03,,371108394453.35,11482259.33,1081681274.58,2108484788.84,8717294717.81,9408625534.32,14268042.85,560757906.53,40213042.67,713055832.14,1107790877.95,11802558414.95,76804036255.45,168935623465.03,221460884360.09,939399613.29,2917828534.9,31098859469.86,26986461777.31,1.44,2,1.48,0.91,4.69,0.52,0.84,0.62,0.07,504609867080,1098809845.63,,58774445646.53,181986898350.43,,,,,,,,
2015-08-31,50757266.96,178679877.13,1603226280.55,4155809637.2,2408025712.15,51811876.18,107409387.86,35043529.73,465153749.39,359435357626.06,25650186987.21,,373095298866.11,11064141.67,1098109030.6,2119514254.6,8675290267.21,9376099289.01,17546837.76,589015104.73,30564838.16,709911519.43,1147153313.96,11757945125.36,77749612305.06,172254827409.09,222315914299.31,918669872.53,2919768367.92,31309989808.73,27240334840.45,1.48,1.96,1.49,0.84,4.76,0.49,1.31,0.64,0.07,500781435550,1060104370.06,,58746887276.07,183089639167.76,,,,,,,,
2015-09-30,37369396.84,217538270.27,1540385844.78,3912889522.81,2179881648.65,15310204.35,145951866.08,160386650.98,311686519.62,360952109012.01,26075924952.54,,373678209929.25,14088676.21,1111252861.54,2156222807.77,8667758959.79,9417408853.81,17239110.59,587177679.4,30182491.17,747835023.27,1169277580.69,11828370861.27,78621456178.89,175640664640.87,223082113246.7,926410884.28,2917144757.66,31710133125,27395577926.65,1.52,1.87,1.53,0.92,4.89,0.45,1.28,0.65,0.06,498685937430,1034661925.93,,58689856766.72,184093477463.22,,,,,,,,
2015-10-31,37066664.78,234685066.5,1535101656.26,3373841935.34,1746985265.72,73318424.09,110548061.92,91661385.45,50042774.39,364366399347.24,26421660858.4,,374908318939.91,13891701.35,1150984345.58,2260298423.16,8849524297.62,9902229688.35,17391489.97,520549257.37,30195784.7,795803374.09,1192714469.88,11822343596.02,79581892074.21,178701756465.62,223434401600.76,917346991.51,2916941770.99,32086141252.12,27395958704.89,1.77,2.23,1.69,1,5.39,0.6,1.32,1.08,0.06,498992914940,1014136604.51,,58510696454.81,185562141310.39,,,,,,,,
2015-11-30,117131517.48,164025217.49,1388586224.28,3781818165.26,1720609074.89,463906563.77,192719579.34,50374596.69,465616515.04,366785422187.25,26802395676.54,,376484794296.87,62301184.19,1208963485.99,2335507686.87,9100285269.12,10161494524.49,17545217.38,524479647.6,65946504.07,619712790.17,1864462808.47,11769695814.39,79680087007.26,181885740192.31,223689100522.91,934098792.18,11822479871.56,23349056156.52,27483173037.05,1.86,2.27,1.76,1.59,5.66,1.19,1.36,1.27,0.22,501191419210,1007861451.06,,58574364247.02,186234663906.66,,,,,,,,
2015-12-31,48341828.18,212682815.61,1183586089,4751904293.01,3488878749.68,3903926.29,228733042.64,66724073.51,383230736.65,370117315389.84,27210293405.89,,376745153030.15,45965871.02,1262554573.94,2309460961.05,9371680974.6,10244721123.95,17240360.6,524880750.69,107195649.09,661131057.94,1867732782.94,11745110797.29,69591448315.38,185986050511.81,235280740400.97,982514615.24,11877079857.45,23582176737,27500936854.93,1.56,2.03,1.82,1.45,5.35,0.81,1.29,1.18,0.47,509223044900,1042022285.35,,60566366361.45,190536647822.09,,,,,,,,
2016-01-31,41242387.37,183806974.68,743295712.65,2730129491.36,1636985079.19,13909169.06,128745365.46,28926733.14,64153374.02,371596996300.91,27467821521.98,,372657753849.14,27592910.74,1333598145.98,2455279418.97,9678505540.8,10498568015.22,15583570.55,572402561.88,87521212.55,655524788.89,1866192578.29,11743975527.09,69940002789,188175700041.37,235447288720.41,993706015.4,11938753729.27,23632234809.63,27312562694.24,1.66,2.08,2.01,1.17,5.98,1.28,1.15,1.12,0.5,502863206270,1162504948.21,,60580556662.81,191633667843.04,,,,,,,,
2016-02-29,37862004.57,159426101.63,759586148.94,3038470740.5,1736599253.58,16806607.44,162349571.18,19674119.71,156199340.02,381351977756.66,27726678424.79,,380508222789.27,32219366.55,1388462758.57,2624312198.43,9989325093.27,10944760082.93,22166120.25,869706174.52,104885567.08,664445178.11,1877442385.4,11684610634.48,70096577762.36,190472449780.59,235446780442.44,1028962873.01,12015372599.37,23657678980.52,27069585766.22,1.75,2.12,2.1,1.37,6.31,1.45,1.86,1.2,0.38,499291025320,1154323110.9,,61025941140.07,192519103927.99,,,,,,,,
2016-03-31,48750677.58,202312394.02,808949027.61,3183442242.78,3681898663.77,30408359.95,198810619.91,64757678.53,113511301.37,384113655372.32,28024393124.16,,382360488330.59,36686618.19,1432108426.85,2494724203.72,11266096267.31,10090117336.24,21538056.17,877972126.31,104144479.14,773721467.75,1896921843.77,11663281674.92,64348642891.04,174507361672.48,261007263245.48,1085240299.94,12107891693.96,23758816423.71,26903411927.48,1.69,1.97,2.2,1.52,6.44,1.23,1.77,1.32,0.39,497122930110,1175778210.97,,61280262869.51,193498009929.06,,,,,,,,
2016-04-30,40569858.67,213116827.79,649101536.47,4032460927.33,2060331149.99,10319253.7,126742270.24,74445903.38,170366959.53,384667142899.72,28335129044.49,,380365076527.74,43269623.89,1467513126.96,2354940954.31,10700853800.7,11661385692.71,27150693.29,1469366604.72,126163317.43,825371947.48,1917737501.75,11671485278.96,64205286608.44,196485779413.4,242834332327.81,1097005335.04,12185855605.71,23750291325.99,27087752652.58,1.76,2.07,1.98,1.64,6.54,1.69,2.3,1.45,0.41,494005241070,1186784084.3,,58681738299.35,191922926425.73,,,,,,,,
2016-05-31,41986596.88,197981907.79,694738609.59,3776544624.17,2325492458.29,27560354.29,208126147.92,27522279.57,76837305.53,387630170045.89,28594190602.23,,384338404764.79,42523227.13,1496291388.28,2414171033.83,10979631301.98,12057623906.41,29638883.03,1422797414.81,194595922.5,1016017926.08,1929659659.4,11597259441.12,64575109784.95,199546587334.1,242981339036.06,1129701673.72,12647198829,23345751389.22,26885359066.44,1.76,2.04,1.96,1.56,6.48,1.83,2.72,2.21,0.97,492893609360,1139750664.91,,64963847718.54,188387111285.73,,,,,,,,
