,Acre - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Acre - Desemprego,Acre - IDH,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado
2003-1,3.26,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,8.722906022641007,0.6913196105136911,7285706.872941417,413409.2550318821,9.31841697787915,6587220.475573105
2003-2,2.191,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,8.718027644539344,0.6916169826942586,7294880.829876093,413607.8435604468,9.319989882660902,6590337.579387951
2003-3,2.154,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,8.713149266437682,0.6919143548748261,7304054.78681077,413806.43208901136,9.321562787442655,6593454.683202797
2003-4,2.643,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,8.70827088833602,0.6922117270553937,7313228.743745446,414005.020617576,9.323135692224406,6596571.787017643
2003-5,2.546,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,8.703392510234357,0.6925090992359612,7322402.700680124,414203.60914614063,9.32470859700616,6599688.890832489
2003-6,3.04,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,8.698514132132694,0.6928064714165287,7331576.6576148,414402.1976747053,9.326281501787912,6602805.994647335
2003-7,4.963,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,8.693635754031032,0.6931038435970962,7340750.614549477,414600.78620326985,9.327854406569664,6605923.098462181
2003-8,2.924,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,8.68875737592937,0.6934012157776638,7349924.571484153,414799.37473183445,9.329427311351417,6609040.202277027
2003-9,5.276,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,8.683878997827707,0.6936985879582314,7359098.52841883,414997.9632603991,9.33100021613317,6612157.306091873
2003-10,5.262,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,8.679000619726043,0.6939959601387988,7368272.485353507,415196.5517889637,9.332573120914924,6615274.409906719
