,Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Minas Gerais - value,Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado
2003-1,0.7565371148204723,247.134,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,0.3345360459481215,648.89116,8.242461537567124,293775203.7644595,17250773.822793443,14.096054158781325,275911748.7069836
2003-2,0.756708211319166,305.708,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,0.3356703978945113,652.3963138461539,8.236470415606963,294147980.8001445,17269592.65609134,14.102603076736544,276064795.0573721
2003-3,0.7568793078178597,284.168,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,0.3365530144162337,655.9115731054131,8.230479293646802,294520757.8358295,17288411.489389233,14.109151994691768,276217841.4077607
2003-4,0.7570504043165535,286.594,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,0.33653098238474,656.7464302482704,8.224488171686641,294893534.8715145,17307230.32268713,14.11570091264699,276370887.75814927
2003-5,0.7572215008152472,312.455,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,0.3364055318384156,660.1146716275807,8.218497049726482,295266311.9071995,17326049.155985028,14.122249830602213,276523934.1085378
2003-6,0.7573925973139409,299.651,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,0.335765690691913,661.4202382942473,8.21250592776632,295639088.9428845,17344867.98928292,14.128798748557434,276676980.4589263
2003-7,0.7575636938126347,340.885,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,0.3356249559233373,666.4659479716668,8.20651480580616,296011865.9785695,17363686.822580818,14.135347666512656,276830026.8093149
2003-8,0.7577347903113284,322.275,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,0.3343562234594034,668.8839167216668,8.200523683845999,296384643.01425457,17382505.655878715,14.141896584467878,276983073.1597035
2003-9,0.7579058868100221,345.219,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,0.3323442108107594,673.6921894489394,8.194532561885838,296757420.0499396,17401324.48917661,14.1484455024231,277136119.510092
2003-10,0.7580769833087159,352.678,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,0.330185600544828,677.8824541548217,8.188541439925679,297130197.0856246,17420143.322474506,14.154994420378324,277289165.86048055
2003-11,0.7582480798074096,295.72,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,0.3301422902783782,679.8870827262504,8.182550317965518,297502974.1213096,17438962.155772403,14.161543338333544,277442212.21086913
2003-12,0.7584191763061033,270.978,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,0.330036767034962,684.3133049484726,8.176559196005357,297875751.1569946,17457780.989070296,14.168092256288768,277595258.5612577
2004-1,0.7585902728047971,249.68,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,0.3300595492696466,691.6020617052293,8.170568074045196,298248528.1926796,17476599.822368193,14.17464117424399,277748304.91164625
2004-2,0.7587509418921511,219.561,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,0.3306173036766531,696.2192459157556,8.16863015239404,298575535.0132668,17495129.96878153,14.17911752753992,277852009.83589906
2004-3,0.7589116109795052,304.641,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,0.3313371134350217,703.7686305311402,8.166692230742887,298902541.833854,17513660.11519487,14.183593880835849,277955714.7601519
2004-4,0.7590722800668592,262.564,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,0.331732900196302,708.0032805311401,8.164754309091732,299229548.65444124,17532190.261608206,14.18807023413178,278059419.68440473
2004-5,0.7592329491542132,299.209,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,0.3320590995496532,715.4832561408963,8.162816387440577,299556555.4750285,17550720.408021543,14.192546587427708,278163124.6086576
2004-6,0.7593936182415674,303.866,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,0.3324447931580461,719.9879942361343,8.160878465789423,299883562.29561573,17569250.55443488,14.197022940723638,278266829.5329104
2004-7,0.7595542873289214,320.442,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,0.3331931897835138,726.889715166367,8.158940544138268,300210569.1162029,17587780.70084822,14.20149929401957,278370534.4571632
2004-8,0.7597149564162754,318.685,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,0.3339039775265765,730.778874257276,8.157002622487113,300537575.93679017,17606310.84726156,14.2059756473155,278474239.3814161
2004-9,0.7598756255036295,315.841,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,0.3335193921498052,733.8028075906094,8.15506470083596,300864582.7573774,17624840.993674897,14.21045200061143,278577944.3056689
2004-10,0.7600362945909835,300.355,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,0.3330622289429346,737.586742373218,8.153126779184804,301191589.57796466,17643371.140088234,14.21492835390736,278681649.22992176
2004-11,0.7601969636783376,297.717,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,0.3325720076658961,740.3391679051329,8.151188857533649,301518596.3985519,17661901.28650157,14.219404707203289,278785354.15417457
