,Distrito Federal - value,Distrito Federal - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Distrito Federal - IDH,Distrito Federal - Consumo de Cimento (t),Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado,Distrito Federal - Produção de Cimento (t)
2003-1,0.2542268744495767,8.293882125751406,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,0.8269707095205188,50.047,118401741.72880124,3570615.8656266965,43.6394300247382,109246465.15686002,156.62572
2003-2,0.2526547312662153,8.28788685591613,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,0.8270629450418,48.11,118551149.57961412,3573184.075185873,43.65130023038412,109302470.07217778,157.6785276923077
2003-3,0.2509717408339344,8.281891586080853,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,0.8271551805630811,49.006,118700557.43042696,3575752.2847450497,43.66317043603003,109358474.98749556,159.19026843304843
2003-4,0.2491790192084148,8.275896316245577,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,0.8272474160843624,48.445,118849965.28123984,3578320.494304226,43.67504064167595,109414479.90281332,160.68837557590558
2003-5,0.2470695644738524,8.2699010464103,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,0.8273396516056436,51.436,118999373.1320527,3580888.7038634024,43.68691084732186,109470484.81813107,162.8474100586642
2003-6,0.2448402820814358,8.263905776575024,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,0.8274318871269247,51.884,119148780.98286556,3583456.913422579,43.69878105296778,109526489.73344883,165.2384100586642
2003-7,0.2426963405654497,8.257910506739748,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,0.827524122648206,57.034,119298188.83367842,3586025.122981755,43.710651258613694,109582494.6487666,167.8232487683416
2003-8,0.2402350187336562,8.251915236904471,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,0.8276163581694872,52.525,119447596.68449128,3588593.332540932,43.722521464259614,109638499.56408438,171.25434251834162
2003-9,0.2378617932020443,8.245919967069195,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,0.8277085936907683,55.603,119597004.53530414,3591161.542100108,43.734391669905534,109694504.47940214,174.18155463955372
2003-10,0.2353740979290598,8.239924697233919,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,0.8278008292120496,60.077,119746412.386117,3593729.751659285,43.74626187555145,109750509.39471991,176.26190758073022
2003-11,0.2327693237495657,8.233929427398643,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,0.8278930647333308,55.04,119895820.23692988,3596297.9612184614,43.75813208119737,109806514.31003769,177.08590758073024
