,Rio de-01eiro - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio De Janeiro - Consumo de Cimento (t),Rio De Janeiro - Produção de Cimento (t),Rio de Janeiro - IDH,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado,Rio de Janeiro - Desemprego
2003-1,0.291136725087858,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,254.362,199.08128,0.7734886331867591,358342991.36765146,18135342.363087524,22.143720290058155,347284638.94006354,8.356511888457344
2003-2,0.293537640644443,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,252.842,198.56178,0.7735473718421904,358744115.32596684,18141076.667382248,22.14922772432561,347405632.09867275,8.350331738774567
2003-3,0.2959139116009395,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,229.385,198.77333555555555,0.7736061104976215,359145239.28428227,18146810.97167697,22.15473515859306,347526625.2572819,8.34415158909179
2003-4,0.2982643476564575,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,243.407,198.75379984126985,0.7736648491530527,359546363.2425977,18152545.275971696,22.160242592860516,347647618.4158911,8.337971439409014
2003-5,0.3005877301868387,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,256.535,198.72145501368365,0.7737235878084839,359947487.2009131,18158279.580266416,22.165750027127963,347768611.5745003,8.331791289726239
2003-6,0.3028870303585866,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,243.236,197.4416216803503,0.7737823264639152,360348611.1592285,18164013.88456114,22.171257461395417,347889604.73310953,8.325611140043462
2003-7,0.3051611976025158,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,269.774,197.4670087771245,0.7738410651193464,360749735.1175439,18169748.188855864,22.17676489566287,348010597.89171875,8.319430990360685
2003-8,0.3071600963910781,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,243.189,197.9658212771245,0.7738998037747775,361150859.0758593,18175482.493150588,22.18227232993032,348131591.0503279,8.313250840677908
2003-9,0.3090407290725479,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,264.695,197.29954854985175,0.7739585424302088,361551983.0341747,18181216.797445312,22.18777976419777,348252584.2089371,8.30707069099513
2003-10,0.3108858323237937,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,268.955,197.73593090279292,0.77401728108564,361953106.99249005,18186951.101740032,22.193287198465224,348373577.3675463,8.300890541312356
2003-11,0.3126941167426013,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,247.368,197.93261661707868,0.7740760197410712,362354230.9508055,18192685.40603476,22.19879463273268,348494570.5261555,8.294710391629579
2003-12,0.3144642664327712,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,247.521,197.8155332837453,0.7741347583965024,362755354.9091209,18198419.71032948,22.20430206700013,348615563.6847647,8.288530241946802
2004-1,0.3160766632068779,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,256.494,197.53064139185344,0.7741934970519336,363156478.8674363,18204154.014624204,22.209809501267586,348736556.8433739,8.282350092264025
2004-2,0.3176500645712137,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,214.974,197.05785191816923,0.7742535449921647,363514658.37355393,18206904.47934482,22.21397460719339,348824145.59373134,8.280467837896708
2004-3,0.3191831061593667,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,273.646,198.5961083284256,0.7743135929323957,363872837.8796716,18209654.94406543,22.218139713119196,348911734.34408885,8.278585583529393
2004-4,0.3206335741814543,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,238.045,198.86998332842563,0.7743736408726267,364231017.3857892,18212405.408786044,22.222304819045,348999323.0944463,8.276703329162077
