,Santa Catarina - IDH,Santa Catarina - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Desemprego,Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2009-3,0.8029691497811676,0.3285901701056081,0.4381030668091561,-8556.283355305572,2.384914975903917,0.6947273574987124,0.4744121661088831,189159329.91364485,7708475.585179822,0.5234789989371754,8.043903176332075,231.075,31.866503363560287,142015180.56415868,6851915.2530843,20.05218261875685,125228338.15343194
2009-4,0.8030207305927402,0.3290938043743232,0.45007711682254,-8805.162211693303,2.3630365952461503,0.6925605788455927,0.4999622144350261,189318976.8222804,7712426.486423344,0.5478423802413089,8.040886933060847,223.196,32.013727963127096,142321821.34762266,6856478.551474834,20.056249297156302,125304869.60230447
2009-5,0.8030723114043128,0.3298023805894334,0.450431778065969,-8667.302626906909,2.3525692667827225,0.8262641115749951,0.4981088282193594,189478623.73091587,7716377.387666867,0.6069054336378797,8.037870689789619,227.301,32.31034442378487,142628462.13108665,6861041.849865367,20.060315975555756,125381401.05117704
2009-6,0.8031238922158853,0.3307239442553756,0.4443889715056729,-8866.763268778828,2.338774353162325,0.8459717013893588,0.4904351794060748,189638270.6395514,7720328.288910389,0.5851435517618442,8.034854446518391,229.39,33.20047436274247,142935102.91455063,6865605.1482559,20.064382653955203,125457932.5000496
2009-7,0.8031754730274578,0.3320708517104629,0.4406435988198508,-9104.309037125651,2.304832376935664,1.0287709072004996,0.4945814397751699,189797917.5481869,7724279.190153912,0.5788217871313215,8.031838203247162,231.08,34.49432290670183,143241743.69801462,6870168.446646433,20.068449332354653,125534463.94892214
2009-8,0.8032270538390305,0.3334434497794308,0.4435740975951859,-9151.584889714371,2.2790124389025963,0.9676854539357764,0.519129981023956,189957564.45682243,7728230.091397434,0.5750680318928113,8.028821959975934,229.331,36.35173498592452,143548384.48147857,6874731.745036966,20.072516010754104,125610995.3977947
2009-9,0.803278634650603,0.3348463270994666,0.4517057294318006,-9303.102943424732,2.248138981864224,0.724499229322103,0.5322073984035939,190117211.36545795,7732180.992640956,0.5778898181752461,8.025805716704706,216.467,38.19063873461786,143855025.26494256,6879295.043427499,20.076582689153557,125687526.84666725
2009-10,0.8033302154621756,0.3364841558346784,0.4562242724341889,-9568.345532304107,2.217904930844287,0.7633071541231229,0.5355829324010861,190276858.27409345,7736131.893884479,0.5785426926291699,8.022789473433479,232.457,41.03228075785513,144161666.04840654,6883858.341818032,20.080649367553004,125764058.2955398
2009-11,0.8033817962737482,0.3381576118124241,0.4618168766069392,-9497.345398002251,2.177604887432468,0.7775651006383951,0.5460484315742349,190436505.18272892,7740082.795128002,0.5912075438524862,8.01977323016225,237.628,43.261838143505976,144468306.8318705,6888421.640208565,20.08471604595245,125840589.74441236
2009-12,0.8034333770853208,0.3396591281190542,0.4644167127850657,-9190.300907588446,2.124224012723041,0.6588931475137494,0.5427257627326397,190596152.09136447,7744033.696371524,0.5870573500038764,8.016756986891023,201.227,45.70532703074839,144774947.61533448,6892984.9385990985,20.088782724351905,125917121.1932849
2010-1,0.8034849578968933,0.3409808885525845,0.4691088914703447,-9688.588371030834,2.0799573598611705,0.8031841697782718,0.5528867394615864,190755799.0,7747984.597615046,0.6027048817569469,8.013740743619795,198.686,48.086033163403016,145081588.39879847,6897548.236989631,20.092849402751355,125993652.64215744
2010-2,0.8035315599696903,0.3425313140215237,0.4638866746250542,-9576.958631035535,2.030863470139216,0.5926900446632651,0.5359195328522104,190858600.18802968,7751204.361214897,0.5955700194878013,8.01265035186687,202.264,50.980701271252045,145357752.2536847,6896774.853482168,20.095025905847447,126048311.34512436
2010-3,0.8035781620424871,0.3441108225638773,0.4529411903376403,-9737.230041667011,1.9872203448387613,0.7585008947055016,0.5269652285318539,190961401.3760593,7754424.124814747,0.5982752954789717,8.011559960113946,241.177,54.074550842640924,145633916.10857093,6896001.469974705,20.097202408943534,126102970.04809128
2010-4,0.803624764115284,0.3457198293531158,0.455830055988475,-10059.393149424635,1.938766300428007,0.6804934266711138,0.5365275225694347,191064202.56408903,7757643.888414597,0.5978042087664871,8.010469568361021,215.317,56.93440874315068,145910079.96345717,6895228.086467242,20.099378912039636,126157628.7510582
2010-5,0.803671366188081,0.3471547518251398,0.4519925678913392,-9786.943488370514,1.900423502203311,0.8415792375791469,0.5422255150798765,191167003.7521188,7760863.652014448,0.6184467692784309,8.009379176608096,223.331,60.55032359778373,146186243.8183434,6894454.70295978,20.101555415135724,126212287.45402507
2010-6,0.8037179682608778,0.3486118450727869,0.4452546601697086,-9905.786117325402,1.8856666637377413,0.7475516797723416,0.526058037576734,191269804.9401484,7764083.415614299,0.5958291622572781,8.008288784855171,238.782,63.86237864819604,146462407.67322963,6893681.3194523165,20.103731918231816,126266946.156992
