,Paraíba - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Paraíba - Produção de Cimento (t),Paraíba - value,Paraíba - IDH,Paraíba - PIB - Estadual,Paraíba - PIB - Construção Civil,Paraíba - PIB - Per Capita,Paraíba - PIB - Preços de Mercado,Paraíba - Consumo de Cimento (t)
2003-1,8.315958175499443,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,118.92616,0.1823042794504779,0.6565097942884002,30172923.326609813,1631333.837768111,7.291168798323116,27363422.5763658,38.426
2003-2,8.309894609466514,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,117.72489076923078,0.1859090940822141,0.6569488898341695,30210100.315701537,1632949.8117610218,7.293438382167684,27375155.58698456,31.672
2003-3,8.303831043433584,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,118.50196484330483,0.189592879847924,0.6573879853799389,30247277.30479326,1634565.7857539332,7.295707966012253,27386888.597603317,28.775
2003-4,8.297767477400654,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,119.39067912901916,0.1933526791433494,0.6578270809257083,30284454.29388498,1636181.7597468444,7.297977549856821,27398621.60822207,28.571
2003-5,8.291703911367726,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,121.51754119798468,0.1971855343642326,0.6582661764714778,30321631.282976706,1637797.7337397556,7.300247133701389,27410354.61884083,31.613
2003-6,8.285640345334798,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,122.28107453131798,0.201088487906316,0.6587052720172472,30358808.27206843,1639413.7077326667,7.302516717545957,27422087.629459582,26.158
2003-7,8.279576779301868,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,123.91117130551154,0.2050585821653419,0.6591443675630165,30395985.26116015,1641029.681725578,7.304786301390525,27433820.640078343,32.996
2003-8,8.273513213268938,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,125.09914005551153,0.2090928595370524,0.6595834631087859,30433162.250251874,1642645.655718489,7.307055885235093,27445553.650697105,31.318
2003-9,8.26744964723601,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,126.21129157066304,0.2131883624171894,0.6600225586545553,30470339.2393436,1644261.6297114005,7.309325469079662,27457286.661315866,34.517
2003-10,8.261386081203081,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,127.44090921772188,0.217342133201496,0.6604616542003248,30507516.228435323,1645877.6037043117,7.31159505292423,27469019.67193462,36.194
2003-11,8.255322515170151,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,127.37893778915044,0.2215512142857132,0.6609007497460941,30544693.217527047,1647493.577697223,7.313864636768798,27480752.682553377,33.993
2003-12,8.249258949137221,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,127.44607667803932,0.2258126480655848,0.6613398452918635,30581870.206618767,1649109.5516901342,7.316134220613367,27492485.69317213,38.522
2004-1,8.243195383104293,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,128.04621181317447,0.2301234769368514,0.6617789408376329,30619047.19571049,1650725.5256830454,7.318403804457935,27504218.70379089,31.891
2004-2,8.24121604625726,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,128.47902760264816,0.2344807432952569,0.6621760620466068,30655204.55929436,1651783.824037158,7.321032459007624,27516646.01520092,26.089
2004-3,8.23923670941023,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,130.45495067957123,0.2388814895365419,0.6625731832555807,30691361.92287823,1652842.1223912705,7.323661113557312,27529073.32661094,32.066
2004-4,8.237257372563198,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,130.6696256795712,0.2433227580564502,0.6629703044645546,30727519.286462106,1653900.4207453832,7.326289768107,27541500.638020966,26.351
2004-5,8.235278035716167,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,131.77840616737612,0.2478015912507225,0.6633674256735286,30763676.65004597,1654958.7190994958,7.328918422656689,27553927.94943099,27.348
2004-6,8.233298698869135,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,132.02957283404277,0.2523150315151026,0.6637645468825024,30799834.013629843,1656017.0174536083,7.331547077206378,27566355.260841016,25.12
2004-7,8.231319362022102,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,132.98127050846136,0.2568601212453315,0.6641616680914764,30835991.37721372,1657075.315807721,7.334175731756066,27578782.572251044,27.654
2004-8,8.229340025175071,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,133.96204323573411,0.2614339028371519,0.6645587893004503,30872148.740797587,1658133.6141618337,7.336804386305754,27591209.88366107,28.168
2004-9,8.227360688328039,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,134.40762101351186,0.2660334186863062,0.6649559105094242,30908306.104381457,1659191.9125159462,7.339433040855443,27603637.195071094,34.218
2004-10,8.225381351481008,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,134.41368623090315,0.2706557111885365,0.6653530317183981,30944463.467965327,1660250.2108700587,7.342061695405132,27616064.50648112,30.44
2004-11,8.223402014633976,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,134.89496282664788,0.275297822739585,0.665750152927372,30980620.8315492,1661308.5092241713,7.344690349954821,27628491.817891143,30.988
2004-12,8.221422677786945,0.4969515420076215,-6921.044658255659,4.995239879121229,1.1747086678519794,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,135.75419199331455,0.2799567957351938,0.6661472741363459,31016778.195133068,1662366.807578284,7.3473190045045085,27640919.129301168,34.23
2005-1,8.219443340939913,0.483143045759377,-7202.757774714469,4.860078219431911,1.4639532115258698,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,135.7152328096411,0.2846296725711055,0.6665443953453198,31052935.558716934,1663425.1059323966,7.349947659054197,27653346.440711197,32.45
2005-2,8.212076459295536,0.4753697952172824,-7128.700399706268,4.725791184629883,1.4873522528925844,0.479032861785929,181632962.2895496,7468228.679464037,0.6298003725137261,136.05309143840924,0.2893134956430619,0.6669007089073576,31086675.589877617,1665567.0481353377,7.352321864304755,27664567.523871515,27.763
2005-3,8.20470957765116,0.4664937288356185,-7221.778170229833,4.596932598972333,1.394672339987124,0.4648610952618953,181798552.067525,7473541.688772862,0.6197803250738215,137.61068737043328,0.2940053073468058,0.6672570224693954,31120415.62103829,1667708.9903382785,7.354696069555311,27675788.607031837,30.131
2005-4,8.197342696006782,0.4550001182228941,-7427.695727374902,4.479302822781261,1.513866283918324,0.4371435666899209,181964141.8455004,7478854.698081687,0.6089935578495764,138.58927354445632,0.2987021500780791,0.6676133360314334,31154155.652198978,1669850.9325412195,7.357070274805869,27687009.69019216,27.103
2005-5,8.189975814362406,0.4387655535867955,-7307.848389698152,4.361373483938184,1.5686237807140602,0.4197283588146051,182129731.6234758,7484167.707390512,0.6112913639662371,139.61995914477137,0.303401066232624,0.6679696495934712,31187895.683359656,1671992.8747441606,7.359444480056426,27698230.77335248,28.053
2005-6,8.18260893271803,0.4302028729547594,-7431.800235590503,4.256101726196984,1.400078135123935,0.4199780553732319,182295321.4014512,7489480.716699338,0.5804670357747842,140.38921257225684,0.3080990982061828,0.668325963155509,31221635.71452033,1674134.8169471016,7.361818685306984,27709451.8565128,21.631
2005-7,8.175242051073653,0.4313751989691616,-7447.830376487559,4.16168717243741,1.5002475733361442,0.426655987569031,182460911.1794265,7494793.726008162,0.5645649922940777,141.09170518533722,0.3127932883944977,0.6686822767175468,31255375.74568101,1676276.759150043,7.364192890557542,27720672.93967312,28.751
2005-8,8.167875169429276,0.4316478866297594,-7426.454566904413,4.079825078928361,1.366263537502306,0.4533210772878235,182626500.957402,7500106.735316987,0.5609756759595197,141.59363444819078,0.3174806791933113,0.6690385902795846,31289115.776841693,1678418.7013529837,7.366567095808098,27731894.02283344,29.638
2005-9,8.1605082877849,0.4277093852365702,-7512.020875107958,4.012628248908924,1.489061200727286,0.4844114534007803,182792090.7353773,7505419.744625812,0.5646643450021134,142.44266494600058,0.3221583129983653,0.6693949038416224,31322855.80800237,1680560.6435559243,7.368941301058656,27743115.10599376,29.64
2005-10,8.153141406140524,0.4225131084131527,-7687.979669089395,3.9602332396446167,1.2109586000669308,0.4945726100320757,182957680.51335275,7510732.753934638,0.5644640550493971,143.36989705570136,0.3268232322054021,0.6697512174036602,31356595.83916305,1682702.5857588656,7.371315506309213,27754336.18915408,29.79
2005-11,8.145774524496145,0.410747290823505,-7676.736667287167,3.9221772649399615,1.6422607052183609,0.4959029929217597,183123270.29132813,7516045.763243463,0.5622657106505984,144.14734578708865,0.3314724792101644,0.6701075309656981,31390335.87032373,1684844.5279618064,7.37368971155977,27765557.272314403,34.715
2005-12,8.138407642851769,0.4101195327303973,-7542.184036343686,3.892160292125506,1.377980104178371,0.5121818479826961,183288860.0693036,7521358.772552288,0.5630711908624105,145.6705377870466,0.3361030964083937,0.6704638445277359,31424075.90148441,1686986.4701647474,7.376063916810327,27776778.35547472,45.4
2006-1,8.131040761207393,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0704709367180183,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,146.14062883008756,0.3407121261958327,0.6708201580897737,31457815.93264509,1689128.4123676885,7.378438122060885,27787999.438635044,42.579
2006-2,8.128984454180562,0.4028183365263698,-7956.205189035386,3.846872965752776,1.272740378704435,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,146.02724958553478,0.3452966109682238,0.6711368306947348,31485842.736597497,1690481.4130939285,7.379389491446107,27793758.58551072,35.468
2006-3,8.12692814715373,0.3998570076790366,-8153.367564422752,3.842818789820434,1.087038179944784,0.5216724461884032,183769667.35580307,7537087.826292059,0.558308779155122,146.49149901375694,0.3498535931213086,0.671453503299696,31513869.540549904,1691834.4138201682,7.380340860831327,27799517.732386388,40.803
2006-4,8.1248718401269,0.3979963710958243,-8423.448244351577,3.836249908110392,1.2439483036977474,0.5491307539299164,183927276.1100652,7542295.848507533,0.5671710316312383,146.4039387756791,0.3543801150508299,0.6717701759046572,31541896.34450231,1693187.4145464082,7.381292230216549,27805276.87926206,26.305
2006-5,8.122815533100068,0.4056653747218318,-8229.867308086905,3.840605092822108,0.9925459420462728,0.5836820001689738,184084884.86432725,7547503.870723005,0.5968232499556683,147.58037373682416,0.3588732191525301,0.6720868485096183,31569923.14845472,1694540.415272648,7.38224359960177,27811036.02613773,33.667
2006-6,8.120759226073238,0.4149031030845876,-8333.395980655183,3.8357922282673904,1.1619063477174951,0.6123741776559579,184242493.6185893,7552711.892938478,0.6052265435927703,147.99741389130267,0.3633299478221508,0.6724035211145795,31597949.952407125,1695893.415998888,7.383194968986992,27816795.173013404,28.367
2006-7,8.118702919046406,0.4267485653722618,-8363.641502791654,3.834296240076312,1.0107148892098956,0.6206261710016543,184400102.37285143,7557919.915153951,0.6134655051430675,149.16292085165492,0.3677473434554349,0.6727201937195406,31625976.75635953,1697246.416725128,7.384146338372213,27822554.31988908,29.61
2006-8,8.116646612019576,0.4258794259587617,-8483.803210688488,3.837301314139748,1.137471455329126,0.6093984595457096,184557711.1271135,7563127.937369425,0.6251193452031805,150.65511779743437,0.372122448448124,0.6730368663245017,31654003.560311936,1698599.4174513677,7.385097707757434,27828313.466764744,36.666
2006-9,8.114590304992745,0.427904503700878,-8564.573776025667,3.830845488644045,1.0587078803302106,0.6087555012956766,184715319.8813756,7568335.959584897,0.6374779078573267,151.84289482930583,0.376452305195961,0.6733535389294628,31682030.364264343,1699952.4181776077,7.386049077142656,27834072.613640416,38.206
2006-10,8.112533997965913,0.4308949403404751,-8753.077264130869,3.820865481468113,1.421378557730808,0.6272259685547825,184872928.63563767,7573543.98180037,0.6494765821002537,153.64549225411795,0.3807339560946875,0.673670211534424,31710057.16821675,1701305.4189038477,7.387000446527876,27839831.76051609,38.481
2006-11,8.110477690939083,0.4297781875807803,-8585.918047929645,3.797759546537678,1.4120349588618786,0.6138016533493752,185030537.38989973,7578752.004015843,0.6544472076430272,154.59285564234682,0.3849644435400458,0.6739868841393851,31738083.97216916,1702658.4196300874,7.387951815913098,27845590.90739176,40.313
2006-12,8.108421383912251,0.4275878752901689,-8102.613779191029,3.778681269312833,1.1875702591687969,0.5948781830476984,185188146.14416185,7583960.026231317,0.6529124218025248,155.6132003936876,0.3891408099277786,0.6743035567443463,31766110.776121564,1704011.4203563272,7.388903185298319,27851350.054267436,40.005
2007-1,8.106365076885421,0.4261722902551189,-8429.349883699913,3.758139256867763,1.0484592446587069,0.5915910920220523,185345754.8984239,7589168.048446789,0.652250285916937,155.93324138145033,0.3932600976536282,0.6746202293493074,31794137.58007397,1705364.4210825672,7.389854554683541,27857109.201143105,44.532
2007-2,8.10385504513819,0.4272545197346237,-8207.504212454718,3.739732339264414,0.8421045009906388,0.5821912594010402,185495361.54458392,7594051.910447072,0.6486758561842155,155.07803747475256,0.39724,0.6748984276870513,31818749.75786324,1706888.781485309,7.390699556349514,27861102.709793605,34.753
2007-3,8.101345013390958,0.421374616153345,-8302.699392306728,3.706955628134506,1.018140906308683,0.5624597981278792,185644968.19074392,7598935.772447355,0.6396733150346336,155.90926086324936,0.4014707692307693,0.6751766260247951,31843361.935652517,1708413.1418880504,7.391544558015486,27865096.21844411,41.195
2007-4,8.098834981643726,0.4226987158945232,-8434.701866226666,3.675935689954143,0.9033883329680754,0.5607781390026951,185794574.836904,7603819.634447637,0.6337527638093442,156.0851501182048,0.405174472934473,0.675454824362539,31867974.113441788,1709937.502290792,7.392389559681458,27869089.72709461,35.818
2007-5,8.096324949896495,0.4265292995204747,-8141.051175182823,3.63852003418216,0.9401668232327632,0.5641176200703027,185944181.483064,7608703.49644792,0.653237645563625,156.36486188501596,0.4091030443630444,0.6757330227002828,31892586.29123106,1711461.8626935338,7.393234561347431,27873083.23574511,40.25
2007-6,8.093814918149263,0.427912233110958,-8026.170619784551,3.601931188268772,0.8058311751117864,0.557268421320419,186093788.129224,7613587.358448203,0.6449100186574492,156.69347214502096,0.4125513202251134,0.6760112210380267,31917198.46902033,1712986.2230962757,7.394079563013404,27877076.744395614,33.23
2007-7,8.091304886402032,0.4270491588284315,-7955.022260278307,3.560009340555952,1.076324332364028,0.5417029185846474,186243394.77538395,7618471.220448485,0.63275579381832,157.46702846283247,0.4156513202251134,0.6762894193757705,31941810.6468096,1714510.5834990172,7.394924564679377,27881070.253046118,39.598
2007-8,8.0887948546548,0.4251241376010696,-7983.790257906689,3.5118118337828608,0.928096428428659,0.5383365294217008,186393001.421544,7623355.082448767,0.6268005040535086,158.4213819991079,0.419312610547694,0.6765676177135144,31966422.82459887,1716034.9439017586,7.395769566345349,27885063.76169661,44.056
2007-9,8.086284822907569,0.4202971223147698,-7895.376088335307,3.469607481841116,0.8415331129361044,0.5168062325264737,186542608.067704,7628238.94444905,0.6258989699329778,159.10658092871847,0.4230157355476939,0.6768458160512583,31991035.002388146,1717559.3043045003,7.396614568011322,27889057.27034712,42.388
2007-10,8.083774791160337,0.422186667969427,-7988.122113095049,3.4226070580234054,0.9901874062377624,0.492773472916794,186692214.713864,7633122.806449333,0.617964982686669,159.23410982632495,0.4263611900931485,0.677124014389002,32015647.180177413,1719083.664707242,7.397459569677295,27893050.77899762,57.413
2007-11,8.081264759413106,0.4244249038787387,-8017.515428278837,3.3732677481944013,0.9668064819595842,0.4788592048124005,186841821.360024,7638006.668449616,0.6145670424343683,158.8713182502152,0.4292729547990309,0.677402212726746,32040259.357966688,1720608.0251099835,7.398304571343267,27897044.28764812,58.177
2007-12,8.078754727665874,0.4244999572063965,-7877.11519891132,3.3132900029546954,0.8691533889591027,0.4548379030142503,186991428.006184,7642890.530449898,0.6103282941034248,158.92101156578923,0.4317872405133166,0.6776804110644897,32064871.53575596,1722132.3855127252,7.39914957300924,27901037.796298623,51.898
2008-1,8.076244695918643,0.4249975168895801,-8333.785630800456,3.2555579562369243,1.1129169419380611,0.4442798633210167,187141034.652344,7647774.392450181,0.6123131329450783,158.91232735719214,0.4343427960688721,0.6779586094022336,32089483.71354523,1723656.745915467,7.399994574675213,27905031.304949123,57.802
2008-2,8.078675679132152,0.4302154047083354,-7957.479510093275,3.199376609861489,0.9254570735761608,0.4446804445496704,187282618.10601315,7652174.341637064,0.6130114959204532,159.41972936794934,0.4363968501229262,0.6781995001626195,32106905.88877682,1724826.9709159008,7.399761298179544,27904618.29167031,58.541
2008-3,8.081106662345661,0.4313867734467428,-7892.607761543437,3.141468520965748,0.843959701601586,0.4484128206903977,187424201.5596823,7656574.290823947,0.6213585443907181,160.58863711861088,0.4389389553860841,0.6784403909230055,32124328.06400841,1725997.1959163344,7.399528021683876,27904205.278391503,56.598
2008-4,8.083537645559169,0.4338669727481246,-8007.976541076512,3.0675634134381013,1.0100789688419711,0.4473258895577853,187565785.01335144,7660974.24001083,0.6263187436812404,161.29331340646505,0.4415799810271097,0.6786812816833914,32141750.23924001,1727167.4209167685,7.399294745188207,27903792.26511269,54.107
2008-5,8.085968628772678,0.4321500462512327,-7622.164669581103,2.983508587016217,0.8788234320750334,0.4544319127338644,187707368.4670206,7665374.189197713,0.646709513314914,161.97299452137906,0.4443299810271098,0.6789221724437774,32159172.4144716,1728337.645917202,7.39906146869254,27903379.25183388,56.019
2008-6,8.088399611986187,0.416568100772241,-7526.222983080984,2.8968331481222203,0.7991930023670225,0.4203655844188621,187848951.92068976,7669774.1383845955,0.6287480084855108,162.2671296394312,0.4465251029783292,0.6791630632041633,32176594.589703187,1729507.8709176355,7.398828192196871,27902966.23855507,46.593
