,Mato Grosso Do Sul - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Mato Grosso do Sul - IDH,Mato Grosso Do Sul - Produção de Cimento (t),Mato Grosso do Sul - Desemprego,Mato Grosso do Sul - value,Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado
2010-3,66.686,0.4529411903376403,-9737.230041667011,1.9872203448387613,0.7585008947055016,0.5269652285318539,190961401.3760593,7754424.124814747,0.5982752954789717,0.7485955252943784,75.18101978403091,8.002075771558983,0.3156967805575016,51123705.363417424,2290940.50161697,16.71991593102247,41451851.47288507
2010-4,63.328,0.455830055988475,-10059.393149424635,1.938766300428007,0.6804934266711138,0.5365275225694347,191064202.56408903,7757643.888414597,0.5978042087664871,0.7486723590755119,75.53619573938595,8.001182573551445,0.3174166726629219,51235617.52504596,2291334.001576076,16.729224611135976,41486826.117950775
2010-5,68.015,0.4519925678913392,-9786.943488370514,1.900423502203311,0.8415792375791469,0.5422255150798765,191167003.7521188,7760863.652014448,0.6184467692784309,0.7487491928566453,76.10487554092494,8.000289375543908,0.318914505428358,51347529.686674505,2291727.50153518,16.73853329124948,41521800.76301648
2010-6,69.188,0.4452546601697086,-9905.786117325402,1.8856666637377413,0.7475516797723416,0.526058037576734,191269804.9401484,7764083.415614299,0.5958291622572781,0.7488260266377788,76.07368119248385,7.999396177536369,0.320169128056228,51459441.84830304,2292121.001494284,16.747841971362988,41556775.40808217
2010-7,81.537,0.4546156103614938,-10012.607609861,1.8938061232400991,0.6585535280859806,0.5522966590697518,191372606.1281781,7767303.179214149,0.5865859204975183,0.7489028604189123,76.40428868628096,7.99850297952883,0.3213263336059405,51571354.00993158,2292514.501453388,16.757150651476493,41591750.05314788
2010-8,75.708,0.4638587019783974,-10127.16701415496,1.9055306692046643,0.8571799086828237,0.5776013784579778,191475407.31620777,7770522.942813999,0.5826586136352507,0.7489796942000457,76.80775688645143,7.997609781521292,0.3225479475944397,51683266.17156012,2292908.001412492,16.766459331590003,41626724.69821358
2010-9,70.757,0.4761580018141546,-10250.239819329276,1.9300080246741709,0.9272688877681192,0.5772035539111675,191578208.50423744,7773742.706413849,0.5845130658367664,0.7490565279811792,77.23773444624771,7.996716583513754,0.3237951489840965,51795178.33318866,2293301.5013715965,16.77576801170351,41661699.34327927
2010-10,69.162,0.4806927669176689,-9855.109255533838,1.9496834440674369,0.8758085186592697,0.5519922392666898,191681009.69226712,7776962.4700137,0.5851989203903505,0.7491333617623126,77.67813355555597,7.995823385506216,0.3250275452611783,51907090.494817205,2293695.0013307007,16.785076691817014,41696673.988344975
2010-11,70.414,0.4792117692065355,-9697.432210565865,1.9809369678190991,0.8037657062983529,0.5389303803124353,191783810.88029683,7780182.233613551,0.5889002595704534,0.749210195543446,78.29108219855252,7.994930187498678,0.3262481756363014,52019002.65644574,2294088.5012898054,16.79438537193052,41731648.63341068
2010-12,69.464,0.4797986866964565,-10050.732911371206,2.016086379686157,0.7859094411250622,0.5226303587391766,191886612.0683265,7783401.997213401,0.5859531226578283,0.7492870293245795,78.70709545239386,7.994036989491139,0.3274645726326539,52130914.818074286,2294482.0012489096,16.803694052044026,41766623.27847637
2011-1,69.038,0.485803381917484,-10517.124472033394,2.035093128055376,0.9418321282514702,0.5232972131171288,191989413.25635612,7786621.760813251,0.5868072050415946,0.7493638631057129,78.74155896521775,7.993143791483601,0.3286762845927069,52242826.97970282,2294875.501208014,16.813002732157532,41801597.92354208
2011-2,65.487,0.4823188015534446,-10136.637212959104,2.0617197249168107,0.9643537751632691,0.5089693151224648,192095145.77648595,7788997.896079644,0.5919181218163453,0.749419682257678,78.84304599911134,7.857085597355423,0.3298846043341616,52343759.06871787,2294365.2266732613,16.819234314481253,41829549.67570211
2011-3,62.968,0.4765888567715217,-10178.562458683811,2.079526018829988,0.8509315411312844,0.4966673062887451,192200878.2966157,7791374.031346036,0.5978188398925539,0.7494755014096429,79.35329243610472,7.721027403227245,0.3310977520059733,52444691.1577329,2293854.952138509,16.82546589680497,41857501.42786214
2011-4,67.299,0.4724763218727945,-10225.7655016099,2.095742570726438,0.9119394548460248,0.483448023435273,192306610.81674543,7793750.166612428,0.6056625101161331,0.749531320561608,79.70698956026955,7.584969209099066,0.3325495018755793,52545623.24674794,2293344.6776037565,16.831697479128692,41885453.18002217
2011-5,78.552,0.4647701832003508,-9993.389038138808,2.1045733049199136,0.981952980012904,0.4794375297414004,192412343.33687523,7796126.30187882,0.631128227052354,0.7495871397135729,80.10143208917286,7.448911014970888,0.3336424984411493,52646555.335762985,2292834.403069004,16.837929061452414,41913404.93218221
2011-6,80.201,0.460777089427583,-9975.112230204764,2.095226448555367,0.8370840617867931,0.4943626052826666,192518075.857005,7798502.437145213,0.5950919575302004,0.749642958865538,80.17060566193791,7.31285282084271,0.3346995601264735,52747487.42477803,2292324.128534252,16.84416064377613,41941356.68434224
2011-7,82.136,0.4586625612219078,-9903.241596764476,2.0859703688695106,0.865031119055218,0.4999529609128011,192623808.3771348,7800878.572411605,0.5975398841785342,0.7496987780175031,80.13775738924824,7.176794626714532,0.3357445820592509,52848419.513793066,2291813.853999499,16.850392226099853,41969308.43650228
2011-8,92.562,0.4606629482097047,-9768.231853083638,2.087218082990609,0.8749809524957644,0.5104707470584671,192729540.8972645,7803254.707677998,0.5950647433019467,0.749754597169468,80.0942322606057,7.040736432586353,0.3367809065322073,52949351.6028081,2291303.579464746,16.856623808423574,41997260.18866231
2011-9,87.281,0.4606035369977562,-9679.164240091171,2.075344728788324,1.051632929733649,0.5256001504469264,192835273.4173943,7805630.84294439,0.6015952884327453,0.7498104163214331,80.12068584007777,6.904678238458175,0.3377440184702494,53050283.69182315,2290793.3049299945,16.862855390747292,42025211.94082234
2011-10,83.106,0.4616014514378777,-9537.77691961498,2.077328519541877,0.8454056053728413,0.5230163290600557,192941005.93752408,7808006.978210783,0.6045280531318781,0.749866235473398,80.31320188595882,6.768620044329997,0.3387970203056898,53151215.78083819,2290283.030395242,16.869086973071013,42053163.692982376
2011-11,79.173,0.4639560877440755,-9968.453886702957,2.074663694821419,0.9095885485065074,0.5203108881755449,193046738.45765385,7810383.113477174,0.6075073462033619,0.7499220546253631,80.25915103851558,6.632561850201818,0.3399663838104202,53252147.86985323,2289772.7558604893,16.875318555394735,42081115.4451424
