Previsto (mil ton.),2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Acre,11.600504,11.751648,12.151968,12.83948,13.646561,13.859261,14.152263,14.439592,14.252661,13.831381,13.584169,13.608988
Alagoas,29.71734,30.790043,31.285877,31.341537,31.578241,32.23246,31.394968,32.157215,33.261837,32.925438,32.551971,32.006081
Amapá,11.221207,11.058695,10.99603,10.98031,11.062098,11.118855,11.294769,11.476632,11.527362,11.628198,11.722578,11.762112
Amazonas,45.087658,42.223373,46.275936,42.552906,46.378456,43.022514,45.80545,44.377563,47.279137,46.058571,48.282455,46.087963
Bahia,247.232513,240.201019,248.494553,239.684845,249.889847,252.394196,226.865524,248.820847,249.677246,238.57666,243.059937,236.575638
Ceara,153.220657,153.829376,154.371979,155.016617,155.40451,155.548798,155.410965,155.412277,155.52536,155.762726,155.51918,155.504944
Distrito Federal,48.204628,49.959034,50.695339,50.879974,52.087044,53.794441,53.624947,55.604603,58.279102,59.921253,60.83437,60.996178
Espirito Santo,96.325592,96.846024,95.923683,95.599258,96.225479,96.9356,96.118698,93.588684,93.571915,92.796181,92.612732,92.745468
Goiais,173.909943,170.821457,171.106476,174.612274,180.690964,185.375885,188.797394,192.854401,192.794922,195.206177,190.589645,190.64798
Maranhão,65.824936,69.412689,71.540741,74.28553,75.787811,77.230865,75.782158,81.154274,82.140671,83.379723,84.009895,83.930321
Mato Grosso,97.113823,94.449959,97.644699,102.029678,105.43634,106.733215,107.759109,106.722961,104.713547,102.295921,99.277878,97.091026
Mato Grosso do Sul,71.616821,72.316521,74.325638,77.796371,82.109924,85.99527,86.92141,87.51268,88.551758,89.222,88.788895,88.209419
Minas Gerais,463.388092,475.658875,478.311279,480.025726,483.019623,487.029205,437.75177,496.397766,501.659851,506.355286,516.804688,457.306244
Pará,121.665024,125.634117,125.141136,125.037247,126.445412,128.286148,124.499413,126.398033,129.998184,127.214462,125.325073,122.694801
Paraíba,60.993019,61.432884,62.043068,62.343788,63.099464,64.089684,65.193291,66.563271,68.489441,69.72319,71.712349,73.871574
Paraná,311.457367,318.633545,316.892365,318.26825,319.344666,320.551208,309.598053,332.85022,329.959564,323.080017,325.149719,318.453064
Pernambuco,135.425552,133.304733,133.970078,133.803223,134.518219,133.735245,134.03244,136.022797,137.167938,138.427338,138.30484,138.232834
Piauí,61.33947,60.160614,59.585686,60.362049,61.198357,61.31308,58.974072,62.842762,61.57058,61.36866,59.89613,59.565815
Rio Grande do Sul,223.429413,225.057251,230.11702,230.510666,230.596878,230.855881,229.873825,228.411545,232.600189,236.112183,236.657227,230.489471
Rio de Janeiro,207.831299,205.015594,204.49585,204.843185,205.784088,189.044403,189.989349,189.54361,190.659973,190.934174,192.481384,193.132401
Rio Grande do Norte,48.457928,49.945183,50.881908,50.939217,50.833763,51.323463,50.461178,51.10009,52.18618,52.2472,51.563957,50.719185
Rondônia,33.005653,32.539772,31.842428,31.732412,31.495205,31.10677,30.978979,31.674988,30.827982,30.681976,31.241756,31.316656
Roraima,7.445918,7.522638,7.585096,7.637464,7.668759,7.661864,7.647221,7.672256,7.703093,7.74969,7.82033,7.899413
Santa Catarina,253.353317,256.912781,252.835281,253.951004,229.180222,229.509476,224.681152,231.159302,230.94722,227.810349,226.826218,230.695312
São Paulo,820.398865,845.005554,833.453491,838.528076,841.658325,842.437561,843.074524,829.204285,829.648865,837.332825,844.367188,848.12677
Sergipe,30.656488,31.58276,32.015732,32.134586,32.381744,33.571915,32.205311,33.262463,34.192162,33.426807,32.436539,31.34936
Tocantins,30.756824,31.492544,32.956749,34.822922,37.372169,39.588867,39.937222,40.089756,40.500793,40.549477,39.690262,38.237206
