,Amazonas - Consumo de Cimento (t),Amazonas - IDH,Amazonas - value,Amazonas - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Amazonas - Produção de Cimento (t),Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado
2003-1,28.193,0.6958981976409983,0.3302786293579274,8.63094167820409,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,51.31308,47544687.674064346,2519796.2103436003,12.490621318989646,43185181.42088147
2003-2,31.226,0.696042688287905,0.3311372077954465,8.62487239825774,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,51.55419538461539,47601898.65275156,2521320.868973269,12.49216413615344,43201536.00382865
2003-3,33.484,0.6961871789348117,0.3313060969167054,8.61880311831139,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,51.5233064957265,47659109.63143877,2522845.527602938,12.493706953317233,43217890.586775824
2003-4,31.596,0.6963316695817185,0.3317909253043227,8.612733838365042,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,51.63962792429793,47716320.61012598,2524370.186232608,12.495249770481026,43234245.16972301
2003-5,32.919,0.6964761602286254,0.3321892812208954,8.606664558418691,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,51.83845551050483,47773531.58881319,2525894.844862276,12.49679258764482,43250599.75267018
2003-6,32.198,0.696620650875532,0.3324983877135361,8.60059527847234,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,51.88248884383816,47830742.567500405,2527419.503491945,12.498335404808612,43266954.33561736
2003-7,37.274,0.6967651415224388,0.3325116249003285,8.594525998525992,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,52.34184368254784,47887953.54618762,2528944.1621216144,12.499878221972406,43283308.91856453
2003-8,37.605,0.6969096321693456,0.3328511502042184,8.588456718579643,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,52.32221868254783,47945164.52487484,2530468.820751284,12.5014210391362,43299663.50151171
2003-9,38.386,0.6970541228162523,0.3331151004113541,8.582387438633292,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,52.23615807648723,48002375.50356205,2531993.479380952,12.502963856299992,43316018.08445889
2003-10,39.519,0.6971986134631591,0.3343220002238347,8.576318158686941,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,52.19389337060488,48059586.48224926,2533518.138010621,12.504506673463784,43332372.66740606
2003-11,39.614,0.697343104110066,0.3352790363183034,8.570248878740593,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,52.1094647991763,48116797.46093647,2535042.79664029,12.50604949062758,43348727.25035324
2003-12,36.333,0.6974875947569726,0.3365935754429253,8.564179598794244,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,52.27277035473186,48174008.43962368,2536567.4552699598,12.507592307791372,43365081.83330041
2004-1,34.293,0.6976320854038794,0.3384891625048575,8.558110318847893,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,52.14577035473186,48231219.418310896,2538092.113899628,12.509135124955163,43381436.41624759
2004-2,48.623,0.6977661524939551,0.3405866350084142,8.555495007999722,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,52.20479667052133,48281638.85881487,2538272.0313466378,12.50931604264761,43391036.479510486
2004-3,34.555,0.6979002195840309,0.3426868899066742,8.55287969715155,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,52.61951461923928,48332058.29931884,2538451.948793647,12.509496960340057,43400636.54277338
2004-4,57.805,0.6980342866741066,0.3447907124124675,8.550264386303379,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,52.80761461923928,48382477.73982281,2538631.8662406565,12.509677878032502,43410236.60603627
2004-5,39.036,0.6981683537641823,0.346482444664004,8.547649075455206,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,52.761199985092944,48432897.18032679,2538811.7836876656,12.509858795724949,43419836.66929916
2004-6,55.436,0.6983024208542581,0.3483665507241069,8.545033764607036,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,52.68165236604531,48483316.62083076,2538991.701134675,12.510039713417392,43429436.73256206
2004-7,56.242,0.6984364879443338,0.3502435383179162,8.542418453758863,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,52.82107097069648,48533736.06133473,2539171.6185816843,12.51022063110984,43439036.79582495
2004-8,58.105,0.6985705550344095,0.3516973806883654,8.539803142910692,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,52.95507097069648,48584155.50183871,2539351.536028694,12.510401548802284,43448636.85908784
2004-9,41.072,0.6987046221244853,0.3535445708779739,8.537187832062521,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,52.67787097069648,48634574.94234268,2539531.4534757035,12.510582466494728,43458236.922350734
2004-10,55.694,0.6988386892145609,0.3553856432511028,8.534572521214349,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,52.58287097069648,48684994.38284665,2539711.3709227126,12.510763384187172,43467836.98561363
2004-11,44.211,0.6989727563046366,0.3569067208933748,8.531957210366178,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,52.61240288559009,48735413.82335062,2539891.288369722,12.510944301879618,43477437.04887653
2004-12,62.31,0.6991068233947124,0.3585184105711919,8.529341899518005,0.4969515420076215,-6921.044658255659,4.995239879121229,1.1747086678519794,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,52.61242371892343,48785833.2638546,2540071.205816732,12.511125219572063,43487037.11213941
2005-1,39.696,0.6992408904847881,0.3601341158291887,8.526726588669835,0.483143045759377,-7202.757774714469,4.860078219431911,1.4639532115258698,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,52.45875024953568,48836252.70435857,2540251.123263741,12.51130613726451,43496637.17540231
