,Ceará - Desemprego,Ceará - Consumo de Cimento (t),Ceará - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Ceará - IDH,Ceará - PIB - Estadual,Ceará - PIB - Construção Civil,Ceará - PIB - Per Capita,Ceará - PIB - Preços de Mercado,Ceará - Produção de Cimento (t)
2003-1,8.27445922175993,81.265,0.3013763424750394,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,0.6840404850485825,69653520.24417323,4525723.594445789,7.532751262130655,62938208.50048655,107.673
2003-2,8.268511856479037,65.2,0.3013929691569499,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,0.6844759997704507,69743541.64072639,4530358.82907836,7.535807885983135,62971782.35180053,107.23796153846152
2003-3,8.262564491198145,55.165,0.3013089442402712,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,0.684911514492319,69833563.03727955,4534994.06371093,7.538864509835614,63005356.20311452,108.74218376068374
2003-4,8.25661712591725,53.928,0.3009168627319151,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,0.6853470292141872,69923584.43383269,4539629.2983435,7.541921133688094,63038930.054428495,109.39111233211231
2003-5,8.250669760636358,65.334,0.3004174954473406,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,0.6857825439360554,70013605.83038585,4544264.5329760695,7.544977757540574,63072503.90574248,111.60245715969852
2003-6,8.244722395355465,64.323,0.2993993850832381,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,0.6862180586579237,70103627.22693901,4548899.76760864,7.548034381393053,63106077.75705646,112.34415715969853
2003-7,8.23877503007457,80.404,0.2982675053624252,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,0.6866535733797919,70193648.62349215,4553535.00224121,7.551091005245533,63139651.60837044,113.05806038550496
2003-8,8.232827664793678,78.62,0.2970232044092202,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,0.6870890881016601,70283670.02004531,4558170.23687378,7.554147629098012,63173225.45968442,113.41537288550498
2003-9,8.226880299512786,79.494,0.2960719690637607,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,0.6875246028235285,70373691.41659847,4562805.471506351,7.557204252950492,63206799.3109984,113.3905850067171
2003-10,8.220932934231893,85.605,0.2952195976370874,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,0.6879601175453967,70463712.81315163,4567440.70613892,7.560260876802972,63240373.16231239,113.88202618318768
2003-11,8.214985568951,84.457,0.2946719580907312,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,0.6883956322672649,70553734.20970479,4572075.94077149,7.563317500655451,63273947.01362637,113.61505475461628
2003-12,8.209038203670106,94.777,0.2942351525405588,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,0.6888311469891332,70643755.60625793,4576711.175404061,7.566374124507931,63307520.86494035,113.87391586572738
2004-1,8.203090838389214,75.575,0.2937113550986691,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,0.6892666617110014,70733777.00281109,4581346.410036631,7.569430748360411,63341094.71625433,113.76237532518684
2004-2,8.200760459952757,53.065,0.2930985541520122,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,0.6896610679230201,70818281.77679591,4585401.2647099765,7.572350308699578,63370880.697526135,113.19053321992368
2004-3,8.198430081516301,67.755,0.2923947104629859,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,0.6900554741350389,70902786.55078073,4589456.119383321,7.575269869038745,63400666.67879793,114.1854819378724
2004-4,8.196099703079845,64.858,0.2926389029530582,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,0.6904498803470576,70987291.32476553,4593510.974056667,7.578189429377913,63430452.66006973,113.9997569378724
