,Rio Grande do Sul - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio Grande Do Sul - Produção de Cimento (t),Rio Grande Do Sul - Consumo de Cimento (t),Rio Grande do Sul - PIB - Estadual,Rio Grande do Sul - PIB - Construção Civil,Rio Grande do Sul - PIB - Per Capita,Rio Grande do Sul - PIB - Preços de Mercado,Rio Grande do Sul - value,Rio Grande do Sul - IDH
2003-1,8.192272824797158,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,135.54384000000002,188.093,206629475.61857733,8907129.750762809,18.20695186441388,196062462.89542797,0.399576037015938,0.7756410943135745
2003-2,8.186359488937256,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,134.4681476923077,170.973,206857930.35422876,8912325.941279544,18.21128636668518,196118306.44900227,0.3988114421527619,0.7756858172136549
2003-3,8.180446153077355,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,134.2429625071225,174.88,207086385.0898801,8917522.131796278,18.21562086895648,196174150.0025766,0.3978975650073036,0.7757305401137352
2003-4,8.174532817217454,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,133.1693910785511,178.111,207314839.82553148,8922718.32231301,18.219955371227783,196229993.5561509,0.3970421905291435,0.7757752630138156
2003-5,8.16861948135755,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,132.04687383717177,184.331,207543294.5611829,8927914.512829745,18.224289873499085,196285837.10972527,0.3960495064387566,0.775819985913896
2003-6,8.16270614549765,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,131.47404050383844,160.74,207771749.2968343,8933110.70334648,18.228624375770387,196341680.6632996,0.3945116237471097,0.7758647088139763
2003-7,8.156792809637748,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,131.07236308448358,175.805,208000204.0324857,8938306.893863212,18.232958878041693,196397524.2168739,0.392620665702232,0.7759094317140567
2003-8,8.150879473777847,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,130.6039255844836,179.478,208228658.76813704,8943503.084379947,18.237293380312995,196453367.77044824,0.3911932602330068,0.7759541546141371
2003-9,8.144966137917946,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,129.3252589178169,177.581,208457113.50378844,8948699.274896681,18.241627882584297,196509211.32402256,0.389830147914107,0.7759988775142174
2003-10,8.139052802058043,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,128.30493538840517,190.158,208685568.23943985,8953895.465413416,18.2459623848556,196565054.8775969,0.388544681706835,0.7760436004142978
