,Roraima - IDH,Roraima - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado,Roraima - Desemprego,Roraima - value
2005-6,0.7359269614493064,1.466,0.4302028729547594,-7431.800235590503,4.256101726196984,1.400078135123935,0.4199780553732319,182295321.4014512,7489480.716699338,0.5804670357747842,6358359.727092853,341279.0685122109,12.17977093079234,5421977.056150029,8.127521368411564,0.2549995379466725
2005-7,0.7359523998128648,3.161,0.4313751989691616,-7447.830376487559,4.16168717243741,1.5002475733361442,0.426655987569031,182460911.1794265,7494793.726008162,0.5645649922940777,6365755.137613706,341539.21944086475,12.18267630293354,5424536.59292013,8.119633465590578,0.2530350376124807
2005-8,0.7359778381764231,2.107,0.4316478866297594,-7426.454566904413,4.079825078928361,1.366263537502306,0.4533210772878235,182626500.957402,7500106.735316987,0.5609756759595197,6373150.548134561,341799.37036951864,12.185581675074738,5427096.129690231,8.111745562769592,0.2501929555147634
2005-9,0.7360032765399815,2.674,0.4277093852365702,-7512.020875107958,4.012628248908924,1.489061200727286,0.4844114534007803,182792090.7353773,7505419.744625812,0.5646643450021134,6380545.958655414,342059.5212981725,12.188487047215936,5429655.666460332,8.103857659948607,0.2487222359878936
2005-10,0.7360287149035398,2.351,0.4225131084131527,-7687.979669089395,3.9602332396446167,1.2109586000669308,0.4945726100320757,182957680.51335275,7510732.753934638,0.5644640550493971,6387941.369176268,342319.6722268263,12.191392419357134,5432215.203230432,8.095969757127623,0.2484567037695662
2005-11,0.7360541532670982,2.327,0.410747290823505,-7676.736667287167,3.9221772649399615,1.6422607052183609,0.4959029929217597,183123270.29132813,7516045.763243463,0.5622657106505984,6395336.779697121,342579.82315548015,12.194297791498332,5434774.740000533,8.088081854306637,0.2486147595560656
2005-12,0.7360795916306566,2.396,0.4101195327303973,-7542.184036343686,3.892160292125506,1.377980104178371,0.5121818479826961,183288860.0693036,7521358.772552288,0.5630711908624105,6402732.190217975,342839.974084134,12.19720316363953,5437334.276770634,8.08019395148565,0.2487988178610947
2006-1,0.736105029994215,3.458,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0704709367180183,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,6410127.600738828,343100.1250127878,12.200108535780728,5439893.813540734,8.072306048664666,0.2490113897395723
2006-2,0.7361231459671239,3.467,0.4028183365263698,-7956.205189035386,3.846872965752776,1.272740378704435,0.5117940136540285,183612058.601541,7531879.804076586,0.5540061208774786,6416485.061766729,342847.4631927636,12.201145752903932,5441450.443485014,8.070275474322964,0.2492550006146404
2006-3,0.7361412619400328,4.437,0.3998570076790366,-8153.367564422752,3.842818789820434,1.087038179944784,0.5216724461884032,183769667.35580307,7537087.826292059,0.558308779155122,6422842.52279463,342594.8013727393,12.202182970027136,5443007.073429294,8.068244899981263,0.2495322747394256
