, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Paraná - Desemprego,Paraná - value,Paraná - Produção de Cimento (t),Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - IDH,Paraná - Consumo de Cimento (t)
2003-1,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,8.284196000563572,0.3005681409516926,332.70556,202714699.84994665,10606121.842161782,17.589536438314145,185178799.44847876,0.7768711500179231,189.804
2003-2,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,8.277973017196762,0.3017099667323924,332.9459446153846,202947665.4142885,10615969.641362855,17.592547588314833,185232581.42679504,0.7769750440731625,174.713
2003-3,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,8.271750033829953,0.3026448470427943,335.2221298005698,203180630.9786304,10625817.440563928,17.59555873831552,185286363.4051113,0.7770789381284021,180.801
2003-4,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,8.265527050463144,0.3034127546338425,334.78573694342697,203413596.54297224,10635665.239765,17.598569888316213,185340145.3834276,0.7771828321836416,180.172
2003-5,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,8.259304067096334,0.3040342479354767,335.050185219289,203646562.1073141,10645513.038966076,17.6015810383169,185393927.36174396,0.7772867262388811,185.597
2003-6,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,8.253081083729525,0.3049956267710458,334.53578521928904,203879527.671656,10655360.838167148,17.60459218831759,185447709.3400602,0.7773906202941206,169.008
2003-7,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,8.246858100362715,0.305278799577506,336.2189787676761,204112493.23599783,10665208.63736822,17.607603338318278,185501491.3183765,0.7774945143493601,191.857
2003-8,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,8.240635116995904,0.3052859506554977,336.48644751767614,204345458.80033976,10675056.436569294,17.610614488318966,185555273.2966928,0.7775984084045996,180.591
2003-9,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,8.234412133629094,0.3054031766432326,335.8748717601003,204578424.36468163,10684904.235770367,17.613625638319654,185609055.2750091,0.7777023024598392,176.074
2003-10,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,8.228189150262285,0.3050612209263981,335.0058423483356,204811389.9290235,10694752.03497144,17.616636788320342,185662837.2533254,0.7778061965150787,191.866
