,Rio Grande Do Norte - Consumo de Cimento (t),Rio Grande do Norte - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio Grande Do Norte - Produção de Cimento (t),Rio Grande do Norte - PIB - Estadual,Rio Grande do Norte - PIB - Construção Civil,Rio Grande do Norte - PIB - Per Capita,Rio Grande do Norte - PIB - Preços de Mercado,Rio Grande do Norte - Desemprego
2003-1,36.825,0.6894876499228499,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,27.698760000000004,31648470.166930143,1998663.7707266675,9.09798517988304,28795317.33183407,8.294169719309561
2003-2,34.088,0.6898924482250343,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,27.407644615384616,31688968.51760768,2001107.0293672164,9.101270994885198,28810332.85185943,8.288223919929422
2003-3,30.15,0.6902972465272186,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,27.377422393162394,31729466.86828522,2003550.288007765,9.104556809887352,28825348.371884797,8.282278120549282
2003-4,31.224,0.6907020448294029,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,27.54227953601953,31769965.21896276,2005993.546648314,9.107842624889509,28840363.891910154,8.276332321169141
2003-5,33.606,0.6911068431315872,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,27.944900225674708,31810463.569640297,2008436.805288863,9.111128439891663,28855379.41193552,8.270386521789002
2003-6,28.825,0.6915116414337715,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,27.949866892341376,31850961.92031784,2010880.063929412,9.11441425489382,28870394.93196088,8.264440722408862
2003-7,35.809,0.6919164397359558,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,28.43218947298654,31891460.27099537,2013323.3225699605,9.117700069895974,28885410.45198624,8.25849492302872
2003-8,34.046,0.69232123803814,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,28.562720722986533,31931958.621672917,2015766.5812105092,9.120985884898133,28900425.972011603,8.252549123648581
2003-9,34.492,0.6927260363403244,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,28.620417692683507,31972456.97235045,2018209.839851058,9.124271699900287,28915441.492036965,8.246603324268442
2003-10,35.487,0.6931308346425087,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,28.890241222095277,32012955.32302799,2020653.098491607,9.127557514902442,28930457.01206233,8.240657524888302
2003-11,35.133,0.693535632944693,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,28.915812650666695,32053453.67370553,2023096.357132156,9.130843329904598,28945472.532087687,8.234711725508163
2003-12,38.58,0.6939404312468773,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,28.927451539555584,32093952.024383068,2025539.6157727048,9.134129144906751,28960488.05211305,8.228765926128021
2004-1,32.845,0.6943452295490616,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,28.94631640442045,32134450.375060607,2027982.8744132533,9.13741495990891,28975503.57213841,8.222820126747882
2004-2,26.809,0.6947104939079399,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,28.905921667578347,32171376.498155624,2029125.9486900764,9.139953287500155,28987209.87611205,8.221136338929508
2004-3,34.465,0.6950757582668181,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,28.982331923988603,32208302.62125064,2030269.0229668997,9.142491615091403,28998916.180085696,8.219452551111134
2004-4,30.563,0.6954410226256964,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,28.998306923988604,32245228.744345658,2031412.0972437223,9.145029942682651,29010622.48405934,8.21776876329276
2004-5,32.574,0.6958062869845746,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,29.04440448496421,32282154.86744067,2032555.1715205451,9.1475682702739,29022328.788032982,8.216084975474386
2004-6,32.706,0.6961715513434529,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,29.05652353258326,32319080.990535688,2033698.245797368,9.150106597865149,29034035.092006627,8.214401187656012
