,Maranhão - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Maranhão - Desemprego,Maranhão - Consumo de Cimento (t),Goiais-Maranhão - value,Maranhão - IDH,Maranhão - PIB - Estadual,Maranhão - PIB - Construção Civil,Maranhão - PIB - Per Capita,Maranhão - PIB - Preços de Mercado
2003-1,23.3684,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6397179054162052,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,8.213662392265372,43.342,0.2600974864623828,0.6355695861355344,43153217.09346157,2636001.048208724,6.034056925877654,38724951.52385314
2003-2,23.167976923076928,0.6902970479188117,-5318.079644051534,11.189861881849811,1.3788993761097037,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,8.207986038220799,28.663,0.2589635168034269,0.6359965958984063,43208322.12828915,2636851.1320070955,6.036083425850632,38744054.009436
2003-3,23.563273219373222,0.6696806488591152,-5436.417870121553,10.82079163233486,1.924316748240424,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,8.202309684176228,27.9,0.2573522667190901,0.6364236056612783,43263427.16311672,2637701.215805467,6.038109925823608,38763156.49501886
2003-4,24.00834464794465,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3311738085719491,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,8.196633330131656,25.739,0.2559289139915691,0.6368506154241502,43318532.19794431,2638551.2996038394,6.040136425796586,38782258.98060173
2003-5,24.366896372082586,0.6483369045565663,-5599.317940972945,9.959689613256948,1.7360716517829076,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,8.190956976087083,30.203,0.2541089423286005,0.6372776251870221,43373637.23277188,2639401.383402211,6.042162925769564,38801361.46618459
2003-6,24.68919637208258,0.6327588982490451,-5720.383331634745,9.432414860416127,1.8491678046235127,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,8.185280622042512,37.59,0.2523837444507506,0.6377046349498942,43428742.267599456,2640251.467200583,6.044189425742541,38820463.951767445
2003-7,24.88616411401806,0.6380135035998685,-5884.375046061743,8.822929754380787,1.67676361545111,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,8.17960426799794,42.741,0.250287397653835,0.6381316447127661,43483847.30242704,2641101.550998955,6.046215925715519,38839566.43735031
2003-8,25.022632864018064,0.6346344548960355,-5959.855464930735,8.332469749880811,1.8097393112807352,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,8.173927913953367,42.427,0.2480282323874146,0.638558654475638,43538952.33725461,2641951.6347973268,6.048242425688495,38858668.922933176
2003-9,25.1129661973514,0.6323269495840285,-6014.809970017429,7.939983702859978,1.8316690419412016,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,8.168251559908796,42.993,0.2458577832932179,0.63898566423851,43594057.37208219,2642801.7185956985,6.050268925661473,38877771.408516034
2003-10,25.207083844410217,0.629038170305887,-6121.266757398654,7.604976000172705,2.039285364639529,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,8.162575205864224,51.235,0.2435735490561009,0.6394126740013819,43649162.40690976,2643651.80239407,6.05229542563445,38896873.89409889
2003-11,25.12434098726736,0.6315074373857803,-6097.745583517717,7.313008932848318,1.7470011225975584,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,8.156898851819651,47.963,0.2410876961408657,0.6398396837642538,43704267.44173734,2644501.886192442,6.054321925607427,38915976.37968176
2003-12,25.188007653934022,0.6292469617617195,-6082.10009002275,7.034262103245153,1.9418352636981289,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,8.15122249777508,49.93,0.2387227789879889,0.6402666935271258,43759372.47656492,2645351.969990814,6.0563484255804045,38935078.865264624
2004-1,25.279088735015108,0.6279521987366027,-6360.043009879893,6.775421109777445,1.2887103771069537,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,8.145546143730508,42.076,0.2360484270807546,0.6406937032899978,43814477.5113925,2646202.053789186,6.058374925553382,38954181.35084748
2004-2,25.453088735015104,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,8.14361246567135,30.183,0.2344912952052325,0.6410785953540376,43866485.76361905,2648095.398651338,6.060349421533543,38971495.46283232
2004-3,25.697063093989467,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,8.14167878761219,40.701,0.2328499365694064,0.6414634874180773,43918494.0158456,2649988.7435134905,6.062323917513704,38988809.574817166
2004-4,25.707388093989472,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,8.139745109553031,39.783,0.2317968514453383,0.6418483794821173,43970502.26807215,2651882.088375643,6.064298413493865,39006123.68680201
2004-5,25.71726614276996,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,8.137811431493873,38.903,0.2306953317098688,0.6422332715461571,44022510.52029871,2653775.433237795,6.0662729094740255,39023437.79878685
2004-6,25.680147095150915,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,8.135877753434713,46.111,0.2297528204885034,0.6426181636101969,44074518.77252526,2655668.778099947,6.068247405454187,39040751.91077169
2004-7,25.77528663003464,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,8.133944075375554,49.146,0.228564756875612,0.6430030556742368,44126527.02475181,2657562.1229620995,6.070221901434348,39058066.02275653
2004-8,25.80094572094373,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,8.132010397316396,39.027,0.2275387357163885,0.6433879477382766,44178535.27697836,2659455.467824252,6.072196397414508,39075380.134741366
2004-9,25.854256832054844,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,8.130076719257236,48.068,0.2262661857610343,0.6437728398023164,44230543.52920491,2661348.812686404,6.07417089339467,39092694.24672621
2004-10,25.78764813640267,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,8.128143041198078,46.069,0.2251632758219089,0.6441577318663562,44282551.78143147,2663242.157548556,6.076145389374831,39110008.35871105
