Ano,Santa Catarina - Produção de Cimento (t),Santa Catarina - Desemprego,Santa Catarina - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Valor Cimento Portland,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Santa Catarina - Consumo de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2003,226.84279451100667,8.256605689258727,0.7977678874701567,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,3.814993484612692,19.58486629956924,1021.8319515455444,1186.489105220596,20.555187681399623,15.85781337714218,74.75909842587794,2.1344064820658133,1687.172,132006541.53463072,6638363.257953425,19.725168296275115,122186034.17445844
2004,221.6963633786084,8.186109533916555,0.7987939414320652,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,3.888741439351002,16.320092529626656,1020.6541036614076,1168.0217665006285,20.54637848780066,15.775556047438714,74.69647185655735,2.223296343788196,1740.105,134019664.91267753,6682963.708051763,19.81047494034551,122969168.919288
2005,223.7040117381545,8.161533735731359,0.7997463605197543,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,3.845773501987413,17.59869338191342,1017.7405270969152,1184.9553215748838,21.12639102152166,16.24399445297404,74.61479802852824,2.3219514011999545,1824.65,135857118.03267953,6722582.731084393,19.879681207204605,123594566.65308537
2006,265.45691906229297,8.074448822935112,0.8006274597347095,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,3.833851523078269,19.85693345199428,1016.7354333813522,1181.2227537099798,21.054598683082588,16.37068074573197,75.64259980066863,2.275731739608516,1870.478,137586946.21007898,6771741.359426004,19.9503660143942,124192640.3292662
2007,322.87357899895625,8.049751446708331,0.8014395540784157,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,3.891640465075177,22.414814025371196,1016.0596684216,1175.5780111343006,20.95088652423779,16.605682413315936,77.29308546398964,2.2332960472328764,2081.839,139138009.99475732,6821245.811007588,20.00742794182563,124672710.80869788
2008,354.24169865770745,8.020914736786072,0.8021849585523584,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,3.909333011059738,22.775963817044254,1015.7149840303422,1159.94405082105,20.99280777570008,16.885552401153685,78.40381974054276,2.2023121014547398,2653.587,140444265.21723995,6811480.987148535,20.042997220702617,124972576.31867568
2009,431.3479263490405,8.04993566287453,0.8028659881580225,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,3.988730528016905,22.284087178825956,1015.47117453308,1144.6538438638438,20.97964539870276,16.99295355890431,78.93467408434596,2.170936709080465,2669.4,141401898.99723074,6842788.656303234,20.04404926195795,125075275.25568683
2010,792.4417153924486,8.013740743619795,0.8034849578968933,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,4.1935946695097215,22.01099246150163,1015.5741022883844,1157.121042215819,20.8482772750733,16.79983602117663,78.64835820939298,2.053981308035906,2852.759,145081588.39879847,6897548.236989631,20.092849402751355,125993652.64215744
2011,1268.0835877377908,8.000656042584696,0.8040441827704562,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,4.383084760744216,21.352900292704337,1015.6971894244232,1175.3358052644994,20.91553379243105,16.74768993348295,78.13381716798621,1.8012801822994096,3087.81,148395554.65743327,6888267.634900075,20.118967439904463,126649557.07776038
2012,1549.260438550796,4.7602384004884,0.8042474505050504,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,4.639897786279681,20.88964514698165,1015.7901033910834,1187.0502156318712,21.084303461092848,16.909716587064427,78.13828517602792,1.4273766034735285,3268.31,151367360.1995199,6873500.759800663,20.117079026300537,127148877.04763094
2013,1645.4172577805627,5.187786984605742,0.8052680713804713,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,5.068411492389957,21.426629518818284,1015.8832952795876,1189.0044255079565,21.299197089327038,17.182232096316863,78.46326533598123,1.1502064953598945,3466.227,153986822.01890966,6837970.427539656,20.10253119590445,127542112.273623
2014,1598.9814150149657,5.511794936845655,0.8056237439955106,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,5.549437965499015,21.96515110684798,1015.8726441225008,1152.329010680123,21.39748435772345,17.33158139855045,78.7306032688846,1.252171998842012,3246.749285714286,156082000.4392429,6814798.558390245,20.085276796205704,127738610.77405667
2015,1488.5210292153645,5.7929151045681575,0.8055090559951364,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,5.947097528623424,21.814710597518932,1015.951061711314,1142.7132931536887,21.30851239578682,17.138376570915963,78.23760621530168,1.5409015500004717,3017.084228571429,157414588.71001893,6792567.041485205,20.0380556650754,127657771.50796948
2016,1430.3208576865395,5.7988440021265895,0.8076043928978336,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,6.182664060666541,22.02397459525153,1016.0492554662836,1167.1480649800903,21.317617352571983,16.960959043097446,77.36440109912517,1.7639464178677928,2776.217485714286,158501889.77689776,6760155.717053575,20.026680657607933,127737496.58315744
2017,1433.0515165644242,5.526596805160374,0.8070229740703638,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,6.328549237692615,21.802121861190532,1016.030253028924,1163.9052601788023,21.4737193888152,17.03164642942333,76.96719928615634,1.872333278334412,2891.489,159196174.58422148,6740058.320601371,20.04755378327788,127950771.32200287
2018,1463.1536162797036,5.41748139201006,0.8061159717131242,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,6.429075237221727,20.11871563314257,1016.068246544632,1174.870555969822,21.497032793674546,16.86569882777451,76.0965825368338,1.9572373419938875,2976.485,159164927.91434768,6752120.763260592,20.05230230327764,127954820.73800357
