Ano,Alagoas - Valor Cimento Portland,Alagoas - IDH,Alagoas - Desemprego,Alagoas - Produção de Cimento (t),Alagoas - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Alagoas - PIB - Estadual,Alagoas - PIB - Construção Civil,Alagoas - PIB - Per Capita,Alagoas - PIB - Preços de Mercado
2003,3.609987161700035,0.6351595081435675,8.765720926489202,374.017750707214,316.142,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,19.93395982118921,1004.01902962982,1866.636415872322,26.021905399739296,21.58575481175178,77.93602123514749,2.683255095425921,25905282.52092277,1303625.4085053522,7.576442899418728,23598877.767557368
2004,3.683781341078531,0.6400928756831548,8.699419095467816,408.9085341891322,304.535,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,18.614601485711983,1004.1043698434733,6702.130909542951,25.96192617336339,21.385495916434294,77.2492845273991,2.7936074785247995,26284143.28403045,1320359.5583973953,7.602982025782379,23715609.04935043
2005,3.659976692327354,0.644568439111065,8.666401268000198,443.392931432151,306.568,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,18.839020291823577,1004.0501887468914,9440.001843269993,25.80266661295781,21.37487285297152,77.86623141385527,2.888840187904679,26639827.923025347,1336402.298305533,7.628874530726651,23820471.32623543
2006,3.686648801628983,0.6485967895270961,8.587976703608085,486.76337326216463,318.104,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,18.820745771900484,1004.8114616671048,8100.398112493099,26.200729693309032,20.82417691295664,74.04737381296813,3.2019982087312684,26971259.41894538,1347634.026807635,7.653347210766827,23915659.225184537
2007,3.9608734103742966,0.6521885180310458,8.57629314953182,488.84199811524337,363.874,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,16.895711640423773,1005.41372324211,6385.873077101452,26.503097738987357,20.14920577253272,69.96939811174491,3.4445835416530888,27268325.461072996,1360021.2030211694,7.672501213126479,23989037.74315666
2008,4.245856698974912,0.6553542157227117,8.543034583824518,494.115530965368,446.335,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,19.576626081544127,1004.9034161192196,3110.120149171042,26.070863995397488,20.7900099016068,74.4153304789095,3.0775865638285964,27513227.71520562,1369961.5325764765,7.68438702356665,24022064.859635077
2009,4.359551989439061,0.6581044737018915,8.571316252166023,565.5456747891546,471.072,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,20.738648022441616,1004.5278963007984,1605.5298295199918,25.64387892239108,21.16366007793652,77.67346320144343,2.8153735385737373,27707924.853496023,1372463.8776550817,7.689682140378931,24038327.849389374
2010,4.447405623258448,0.6604498830683831,8.539867704900752,637.4181033866557,583.772,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,19.77015899822524,1004.6129859273478,1475.8220927060122,25.439453242219543,21.03834541245346,77.91606942062413,2.7821397318249006,28426780.740044583,1369925.2451653804,7.728365092575089,24218449.32494638
2011,4.569911840065739,0.6624010349219843,8.526851768462652,683.8599909908116,742.881,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,18.127139633756272,1004.8763307246722,1379.2588831539654,25.36262684407092,20.9225041901948,77.67107886013913,2.776803097818817,29111517.850799397,1363069.9416016852,7.768203924578619,24384748.889241382
2012,4.858511744361952,0.6638731622895624,12.945390516890518,728.6433752679832,844.864,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,17.18481084864371,1005.02217633696,1423.0987133458125,25.34261081924753,20.944144521903837,77.82240643072835,2.740164073652584,29705049.70590956,1349554.4629023594,7.78463932582785,24494580.687677044
2013,5.354694450254684,0.6649459258136926,13.577909641651194,726.0480093832299,791.375,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,17.252371007146543,1005.229458460218,1468.6836579911442,25.3236831989439,21.00992452346816,78.182214897246,2.678536833915604,30238157.921125405,1337955.7967668122,7.798416568073336,24590056.82326457
2014,5.771607963101315,0.666358086298167,14.169212678034246,650.7026853705005,818.6451428571429,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,16.87429012945779,1005.47810785626,1489.568218559463,25.3974586543748,21.064732368519937,78.09570347450693,2.657238034868611,30709987.810025305,1324714.0102703068,7.820611412428704,24677631.60073788
2015,5.854960073108697,0.6663879268230142,14.659463841447764,525.071908321393,676.3001142857142,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,16.443686824142645,1005.5227328192274,1494.9632054269985,25.491006041931342,21.08074888466434,77.73416277231586,2.6869937828441075,31076110.006816357,1310802.9955756543,7.837545752919888,24738709.9726514
2016,5.704008295640116,0.6780513728385851,14.776623181072734,350.21023409697284,538.5867428571428,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,16.926352247062802,1005.4531899120146,1487.7722045928683,25.45101991612909,21.102982859580955,78.00141885486727,2.7054285490301857,31272508.16654316,1307005.3688459548,7.840583505297314,24743494.53273413
2017,5.557625626487359,0.6778742249148201,14.347557296450454,239.57163765372368,362.791,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,17.22883588174418,1005.4125369978018,1488.2722522195215,25.43823997838312,21.210022520019837,78.55547730483478,2.6469767889303992,31358793.76873897,1302182.3812541447,7.848958460514045,24755401.427464496
2018,5.500560715353905,0.6777718817252583,14.104975334874132,257.1086251936608,340.278,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,16.27916505421535,1005.1943759857,1515.3011577687164,25.89061415536698,21.30288855996365,77.06985134481732,2.720041659412551,31298851.07969433,1302198.428022702,7.848306576138778,24725354.27577963
2019,5.768229876556847,0.6767511437002818,13.904156488716136,298.3966699974545,395.359,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,14.391746280977893,1004.9256595491912,1512.8419851890928,26.41390852509791,21.28596363891924,74.18219438789991,2.888726495450772,31142417.556936797,1306516.2672135218,7.84287787271469,24700723.199462462
2020,6.393096064283089,0.6758194294912165,13.726047131624773,309.9424522444255,581.479,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,14.238471705434012,1004.7841559502376,1488.7457850371454,26.343332971992936,21.178202440424347,74.3842937978784,2.840933777520384,30761674.906121902,1314933.188958777,7.822100627306022,24616475.032702666
2021,6.886180056032997,0.6741666503540544,13.45056127706579,302.2215659745742,576.578,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,16.693408107643872,1004.790285974662,1463.1913327776372,25.912167205147853,21.228201855402403,78.25099311383049,2.6872083781905016,30122879.868616268,1317970.5543067702,7.792038088542186,24494238.145621
2022,7.036083863359224,0.6732727094771502,13.47037325613226,294.17187355453336,547.622,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,19.00608070690984,1004.8409617826296,1460.7971441625953,25.7977018440573,21.25695808488403,78.63855262000864,2.677640190601821,29351459.33851536,1321356.6856231196,7.755109885067879,24342660.695334792
