Ano,Maranhão - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Maranhão - Desemprego,Maranhão - IDH,anhã-03o - Produção de Cimento (t),Maranhão - PIB - Estadual,Maranhão - PIB - Construção Civil,Maranhão - PIB - Per Capita,Maranhão - PIB - Preços de Mercado
2003,470.726,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,31.74872476868583,1005.7648489672184,16470.339351086735,27.00185846385126,23.09106370148318,80.10288051134887,2.345134476508936,8.213662392265372,0.6355695861355344,293.7052831955591,43153217.09346157,2636001.048208724,6.034056925877654,38724951.52385314
2004,531.005,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,29.321112098517887,1005.8041451463135,16999.510827418115,27.10855334929471,23.050946114825454,79.4133521523488,2.2862029790943583,8.145546143730508,0.6406937032899978,308.1309856832067,43814477.5113925,2646202.053789186,6.058374925553382,38954181.35084748
2005,579.458,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,28.2225918141446,1005.7995554813792,16854.168222926124,27.06157848103338,23.06837309711116,79.71712986318987,2.409519343269208,8.1223420070206,0.6453124080584757,308.0932116171844,44438576.53811112,2668922.192135013,6.082068877315313,39161950.69466557
2006,693.939,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,26.802609636967304,1005.575739306426,14247.363123543706,26.97187719952673,23.042744050468627,80.02739456744582,2.477613165508416,8.038324179634747,0.6494365228315766,322.9912548961644,45016660.52745662,2698856.0558586246,6.102753894739401,39341911.15947344
2007,816.847,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,25.79229999030784,1005.161290358028,9268.561619895909,26.84264272044576,23.05976492816412,80.72627050111167,2.2188280596411523,8.007660806067172,0.6530768699999094,339.26091167939984,45500778.51728652,2671721.0935080275,6.1107573100562265,39433492.73807538
2008,963.205,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,25.39199905713724,1004.9883783000536,5429.125012620986,26.912039697516164,23.17543217695427,80.95781760613602,1.9599899249373236,7.978325199980522,0.6562442719540826,352.16487877234755,45980849.204876,2691136.1643199893,6.129297322218233,39563328.38229249
2009,1123.586,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,28.52545237972813,1004.9006062172116,3611.8780287809855,26.991946910158717,23.41437628514133,81.60668222310689,1.84832462748572,8.007890622535697,0.6589495510847052,363.707505972512,46300530.17685295,2690231.7121305494,6.126304464005554,39568530.94444481
2010,1378.741,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,31.850842061275458,1004.8919556258564,2589.5776141784027,26.96797882497261,23.78231766376513,83.294746596076,1.861175295291976,7.971707092993094,0.6612035297823856,424.0528598378236,47510398.38378538,2700684.088175624,6.153754507098503,39888644.07991323
2011,1282.016,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,33.20459072993928,1005.053474812136,2032.576804972886,27.022130865876147,24.015643184931605,84.18429249376953,1.9892519541624951,7.961524449483763,0.6630170304377327,558.9961709330518,48661805.25450345,2701549.213281953,6.182819940686912,40180687.57828561
2012,1528.77,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,31.59697705182738,1005.214783045249,1722.0828379181366,26.989268975015705,23.76054543056715,83.3190390879201,1.993163508034308,10.302202075702075,0.6641733764309764,688.1696382065214,49726897.272021525,2696496.542253753,6.20813676795803,40438653.15868942
2013,1563.125,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,29.2289483728112,1005.449993900516,1547.7394328753785,26.912638095674733,23.364256834106016,81.8679814313745,1.9633466494315968,11.189661180352678,0.6655211578002246,719.2084960928682,50621569.195371926,2675613.4606393185,6.222354448450024,40606873.93787259
