Ano,Goiás - Consumo de Cimento (t),Goiás - Desemprego,Goiás - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Goiás - Produção de Cimento (t),Goiais-03anhão - Valor Cimento Portland,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado
2003,1311.935,8.179784800565303,0.7452934717740269,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,707.9972084540155,3.006392308275243,22.57938891717478,932.6253681316977,1448.9382526888833,23.4390386249324,15.64275730199689,66.09498575703878,1.4456464930696469,93718223.18774895,5518324.893522981,14.03127028291794,84182480.30624565
2004,1514.939,8.111394106436798,0.7466362250647831,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,747.7796829415241,2.749852470387691,22.94456093237975,932.5557469828204,1396.7771980927882,23.79075179657991,16.2015005437636,66.3396478698648,1.3997082002760426,95130364.79828043,5577901.2753857095,14.06973951121841,84642566.21088131
2005,1716.9,8.088032715259576,0.7478514323800983,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,773.2772687697841,2.6021743530846115,21.78313219201975,932.5014159089436,1342.1590732892394,24.03718216677809,16.563211319874643,66.17899043165504,1.315326395135857,96435514.20419508,5616938.162235405,14.103821946816264,85018274.13995665
2006,1730.142,8.002286554671633,0.7489411871458771,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,813.6507736124757,2.7239959436001056,21.42972608707572,932.0610074303388,1330.689065686615,23.84419241671443,16.110769324395047,65.56413242506387,1.2864160301786252,97715335.47397728,5664472.210228287,14.152999335327216,85446119.75577748
2007,1943.769,7.971611927341056,0.749907582788024,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,924.3140583569634,3.19289685085379,23.176544485763777,931.3630362434468,1346.4479168833295,23.58927138853066,15.814321265725466,65.95166995361039,1.2749071479494432,98858780.42530164,5710316.222501491,14.189754510359512,85770932.91051473
2008,2310.616,7.941146377614885,0.7507527127324438,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,1049.2181318902185,3.5977184502781805,25.567100606515204,931.2249323404626,1376.6217971783406,23.533987623940817,16.021791867546813,67.02912992322555,1.2585866197467848,99794850.58272004,5727076.237518004,14.203137945058446,85920119.53912981
2009,2335.717,7.969156861432987,0.7514786704050409,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,1167.8384996944192,3.778582705022759,26.35806526707176,931.5093642218616,1404.4861990619374,23.539793125319594,15.895700163133418,66.85229268783577,1.3026094070470224,100513833.46615586,5757644.710033267,14.197250221131036,85962096.59236938
2010,2657.527,7.932921345181615,0.7520875492317198,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,1306.3904380863587,3.922305082209253,26.32459006121185,931.7749220031463,1422.397942607221,23.40778955115393,15.594179877068235,66.52815697455435,1.346857065467667,103081294.815272,5806965.710197036,14.241312566408716,86634795.50225297
2011,2901.707,7.921619031107122,0.7525814426383853,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,1430.4470369277346,4.039002552277052,26.891246495414624,932.0266401637932,1424.732772731645,23.379310560354128,15.713952614946471,67.01752530337087,1.3438348771836317,105453543.67809252,5798734.081514193,14.27882503162139,87187907.38466236
2012,3061.533,7.786290496540497,0.7527234801346802,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,1500.4293885633413,4.131063484553347,28.111518704252585,932.1538665367996,1426.3910267683916,23.445548617270305,15.826074604113352,67.02275819906869,1.3005495637154103,107578430.25143822,5775231.268375107,14.289292121494098,87620669.09342483
