Ano,Sergipe - Produção de Cimento (t),Sergipe - IDH,Sergipe - Consumo de Cimento (t),Sergipe - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Sergipe - Valor Cimento Portland,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado
2003,1868.137980406504,0.6692166755851026,245.311,8.389943455815388,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,15.73730866858458,1013.4369586071052,2004.03812430509,26.532599466602008,21.62852122013066,74.65876064830688,3.428484335945301,4.173873176256416,21597319.77433002,1260978.4155712095,9.960678449257069,20296420.93570137
2004,1928.8920337589232,0.6731239567576035,222.063,8.319422673996787,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,14.04870934672162,1013.4754190030708,6779.978920826983,26.6470025034919,21.70372587347953,74.66406648900697,3.4703496825550357,4.300619584535554,21887831.32755445,1274840.3152076474,9.976012705784887,20367903.66985901
2005,2088.926496544471,0.6766287723583336,221.797,8.294120063387785,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,14.450702302623906,1013.3851317507864,8582.83769547875,26.66095950279716,22.212780818019223,77.09148587960902,3.4166304365625977,4.260279543737182,22145997.498896487,1279358.4125759555,9.984663029573962,20412753.009379167
2006,2366.4483688388173,0.6797398426423704,270.225,8.204414811574996,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,14.429238588281889,1013.3138599990908,5932.271154446364,26.512724261294384,23.07919212314147,76.14497233440007,3.4074879441809536,4.183291950131899,22388261.803248607,1291619.3497436529,9.998498305020648,20460110.123088293
2007,2563.277811012128,0.682465887864791,319.406,8.17990969524582,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,13.128411105162773,1013.21413714102,4026.497389617077,26.489213180954557,23.645545439799,76.63767379997323,3.391046078591225,4.227134177418617,22589981.990651816,1301864.5205317657,10.000736750952768,20476581.68327627
2008,2685.3598232634668,0.6848156282806726,391.414,8.151229415222186,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,12.722328507921617,1013.2290760000266,2508.539675078061,26.68419284938216,23.697023977877848,79.52391174724093,3.343557497812586,4.333995267862862,22752425.640551355,1304488.4973560777,9.995682339630472,20468632.42514805
2009,2836.8735295353968,0.6867977841450925,404.787,8.181779736312976,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,14.579891860867004,1013.1669735329788,1894.932330311521,26.81532811699173,23.060511477527783,77.67280830545776,3.361219004480006,4.469789290588031,22842023.77199188,1307161.5808623554,9.962428627247064,20414870.16044244
2010,2982.517993119276,0.688421075713128,480.282,8.145498308214748,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,16.798015686012256,1013.3630436157048,1635.7894825968915,26.71510357310785,21.890292026282992,74.11650222866187,3.285809781749871,4.706852421702409,23377408.29760286,1316093.7769044656,9.971938137567662,20524693.87945578
2011,3066.509797185512,0.6896942232398563,579.482,8.132819046437152,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,17.737605723586633,1013.713345234473,1505.5071231556756,26.635994148601952,20.48988112984818,70.72336612898663,3.172522813306464,4.918521799776158,23818282.958762497,1308563.1216484616,9.960907934024595,20561872.85624308
2012,3182.329234446928,0.690538294949495,646.0840000000001,11.832645502645502,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,19.763690288625504,1013.8917509227967,1446.1531816818508,26.6707255753246,19.27641723298903,68.44449431930522,3.0959965344964786,5.074864326716582,24202220.19682189,1297618.8766124037,9.93685526562725,20579443.442121956
