Ano,Rio Grande do Sul - Valor Cimento Portland, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Rio Grande do Sul - IDH,Rio Grande do Sul - Desemprego,Rio Grande do Sul - PIB - Estadual,Rio Grande do Sul - PIB - Construção Civil,Rio Grande do Sul - PIB - Per Capita,Rio Grande do Sul - PIB - Preços de Mercado,Rio Grande Do Sul - Consumo de Cimento (t),Rio Grande Do Sul - Produção de Cimento (t)
2003,4.719015519503791,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,20.53478422604273,1010.3046521315708,1196.0726062938838,19.91482184027853,14.56052227478803,73.42450541133122,1.6895760328617868,0.7756410943135745,8.192272824797158,206629475.61857733,8907129.750762809,18.20695186441388,196062462.89542797,2103.0,1576.618236355118
2004,4.572893036371784,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,19.33196398682283,1010.323154723962,1192.7739476631766,19.906476076122548,14.560061330299824,73.4721092586471,1.6483485029815756,0.7761777691145388,8.121312794478339,209370932.446394,8969484.036963617,18.258965891669504,196732585.5383199,2116.716,1530.612910529459
2005,4.580016802614137,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,19.728565232282055,1010.259870552337,1185.484047746624,19.882044604296507,14.607303194986956,73.73111372927953,1.6304579382717856,0.7767382925596009,8.09689512059859,211942228.7120599,9019560.431766022,18.316115902452918,197368889.8141577,1966.059,1526.2537305059982
2006,4.941855612251639,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,20.25459816522442,1010.15248664989,1181.6293176351703,19.752755573338224,14.544770918984009,74.00946347316679,1.6311463423030148,0.777324865555856,8.011393397161699,214508869.45051256,9086121.660607908,18.39878631613062,198232010.78362048,2106.926,1625.6315827861995
2007,5.580981656870337,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,20.801125342170124,1009.972381825516,1177.246947334966,19.549931333323688,14.420724418994752,74.31693250576912,1.628792839366622,0.7779396890103996,7.986478463551731,216870498.5022916,9162866.52809158,18.479506088626167,199025435.3025396,2280.943,1786.6630857054636
2008,5.98821819377661,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,21.76408090783295,1009.6676234362972,1159.5498434901097,19.53926932719367,14.577964758485235,75.00102419316329,1.5891941448471492,0.7785849638303272,7.956795015273343,218801576.50897175,9232116.29749552,18.525103331779487,199483727.33456984,2718.542,1892.120992360336
2009,6.131171258776383,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,22.056812377783142,1009.4810893909944,1148.6229792923664,19.521902967965545,14.707061392462007,75.64030387712405,1.5444448386097058,0.779262890922734,7.985037303208696,220319500.21723104,9292192.195635514,18.558136016268417,199799923.25994536,2685.74,1987.9646328163533
2010,6.216180408391989,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,21.905563524972607,1009.5211405972713,1180.7762622344237,19.504050694705253,14.610253338426254,75.34763271002625,1.5117806414263464,0.7799756711947157,7.949438580325478,225830798.910043,9359876.406745097,18.63901118824477,200999508.8482069,3070.312,2093.0495817270003
2011,6.262114249793688,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,22.16855555078305,1009.5869115907534,1208.6771230165955,19.63968491693194,14.61219044814205,74.83240529375247,1.4852305357980242,0.7807255055533675,7.936697561621946,230729799.76129827,9370893.511475869,18.687304510803973,201772715.60035697,3399.177,2163.0544857462446
2012,6.4498307192625965,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,22.605973636105,1009.6628116066288,1214.063067349277,19.83480615440449,14.847868905259364,75.069595082276,1.4602670534580302,0.7811711030303031,6.613682336182337,235221431.85112333,9350812.69996976,18.711648072071952,202429673.01915,3487.789,2145.0737356676914
2013,6.751487746617831,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,23.627714214637944,1009.741900810538,1201.4618095966027,20.057230126265218,15.300826902715528,76.12877967511092,1.4117458997178431,0.7826853616161618,7.062492057493449,239289352.2236012,9261936.33377602,18.73508715351569,203053036.48692757,3505.72,2014.296886449701
