Ano,São Paulo - Produção de Cimento (t),São Paulo - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),São Paulo - IDH,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado,São Paulo - Desemprego,São Paulo - Valor Cimento Portland
2003,5232.682933575638,9528.051,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,12.35092489401642,835.1338862317479,1227.323661223387,15.041640994417936,12.164126470330467,84.9027560537152,1.9300111829341808,0.8127229349041307,1034902942.4423203,47309401.212131776,23.895558977974,981912876.2041788,8.3103353115485,3.922844676762361
2004,5521.391778135228,9148.318,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,12.47961619755926,834.6724629035044,1216.8539444063183,15.431817293882787,12.26308979589889,83.15271178049888,2.213838249151775,0.8141044846502339,1049168141.1682132,47555836.13546863,23.966513118657527,986157674.2450852,8.236641446125523,4.120177308682605
2005,6102.302057495539,9724.722,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,14.614782908369612,834.963397685747,1235.748360097719,15.52159864423851,11.702281658091556,79.67570560084967,2.489308219215844,0.8153587049509369,1062582425.9111764,47795609.76656943,24.0463930915222,990172750.97687,8.212526056306364,4.124581121385172
2006,6788.458004798384,10863.79,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,18.279600289430856,835.1103661146514,1226.3321491291583,15.08258501991255,11.378894864679376,80.38473374648267,2.1718109422903056,0.8164879791122223,1074248142.949538,47998863.83353005,24.099558929946465,992787910.415121,8.12646610625646,3.9813101906974007
2007,7337.194101889137,11775.453,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,19.035902498762013,835.8347152194334,1216.357435500514,14.913017009334451,10.870297195495068,78.90105795378325,1.8965764730794905,0.8174946904400723,1084443176.451459,48334951.78112785,24.140672132652952,994564338.6417364,8.101259461528377,3.847089215666762
2008,7770.929329869428,13476.268,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,18.097652652100265,836.3343000030555,1204.5019107563298,15.181900811734437,11.136026997817474,78.96193934929975,1.7730935888972927,0.8183812222404694,1092395741.2604492,48530821.80844165,24.14378674883856,994682752.7793212,8.071263050689616,3.773614868618318
2009,8316.504884573802,13304.301,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,17.458446442792926,836.6299007262429,1207.9034869160969,15.173449747214184,11.417327472532072,80.559826096375,1.5375029870857777,0.8191499578193961,1098669148.1212735,48733921.18837836,24.141550866181674,994709647.955655,8.100326996833477,3.7718095608535576
2010,8835.50911733471,14534.98,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,17.47711353088966,836.6564145363636,1207.4257124805756,14.880005757012176,11.288684485155128,81.49986789642399,1.3678912516902575,0.8198032804828348,1124009557.107864,48847083.75251939,24.14660025342836,998521714.4278746,8.064867334579791,3.913291359382949
2011,9192.76976847226,14871.943,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,17.341676975802855,836.5572237747037,1189.1096660552555,14.815764748615004,11.39138148265078,82.32100071649002,1.3356403355905135,0.8203435735367678,1146636850.580524,48546802.58859775,24.13429247608535,1000761592.6766129,8.05317455552985,4.060906361817136
2012,9435.198835122685,15159.683,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,16.745541278006673,836.6858333178961,1175.3489212522595,14.89512352220252,11.497642593518,82.51243608329762,1.3418541402630328,0.8205498828282828,1166721480.1770442,48239833.6669829,24.089660354023835,1002187927.3876884,10.05848433048433,4.219677068192565
