Ano,Amazonas - Produção de Cimento (t),Amazonas - IDH,Amazonas - Valor Cimento Portland, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Amazonas - Consumo de Cimento (t),Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado,Amazonas - Desemprego
2003,623.2275031250788,0.6958981976409983,3.993873015809798,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,27.28208355814092,1004.27965274074,1418.8832009634164,28.062331935412427,23.29212915763636,76.33663236150657,1.379058579874479,418.347,47544687.674064346,2519796.2103436003,12.490621318989646,43185181.42088147,8.63094167820409
2004,631.4822591021695,0.6976320854038794,4.187698659820449,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,30.117233001681704,1004.2193226861308,1393.4942984382767,28.18656470479814,23.202275703055378,75.47748187333801,1.3529697378085963,587.382,48231219.418310896,2538092.113899628,12.509135124955163,43381436.41624759,8.558110318847893
2005,637.8386557937766,0.6992408904847881,4.449583198429789,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,34.574567512847295,1004.0656901811112,1384.5316603877764,28.17455446024056,23.39407511631589,76.5274362598628,1.2516675526941088,613.286,48836252.70435857,2540251.123263741,12.51130613726451,43496637.17540231,8.526726588669835
2006,664.5885278475133,0.700728497365528,4.788580623015601,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,39.39912107595741,1004.001261510614,1375.345977951609,28.02603601085988,23.529800000457232,77.81287889344894,1.1466886777754013,626.147,49382830.79629677,2557701.554854002,12.511870826731997,43578882.6225528,8.44627595694676
2007,691.8048062499033,0.702098790527903,5.207764143410161,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,35.2632969840699,1003.1470112477822,1380.313466670419,28.653552634080928,23.387788373824648,74.70277887897235,1.33616036888907,666.931,49807070.28522859,2573779.295632583,12.484991260456525,43546508.75886906,8.43440740222317
2008,694.9291859930751,0.7033556544537171,5.596890822708955,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,29.241576514769186,1002.673956944986,1407.801557200811,29.368350597348822,23.0120080880082,70.40846702119258,1.658575757705443,769.233,50172288.217824906,2568804.62499274,12.460706091350117,43495785.963737816,8.396886002049696
2009,715.226516321853,0.7045029736247739,5.981096359635512,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,30.906682322835596,1002.9015166970916,1393.5268867013265,28.853124474619964,22.769544113396808,71.75816231854175,1.685334153970392,744.252,50474102.40796278,2574929.858736947,12.433925836172488,43455347.340321325,8.420659362065976
2010,753.1256195401058,0.7055446325228774,6.348653413762471,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,35.54424934991184,1003.4016824320888,1311.6611409225063,28.07188523107035,22.64363033100983,74.4828036223178,1.5371302303545875,796.116,51693070.81151216,2569006.077183323,12.457785364106892,43795228.39283644,8.389077391236086
2011,768.0560575573505,0.7064845156298313,6.656377643110938,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,39.20692147493381,1003.8350723172284,1276.9622318070435,27.828830226722506,22.427653418768887,74.62457827469758,1.4683071821440763,948.011,52726960.4175045,2545976.7813202534,12.460974458214464,43988600.51037887,8.376519787239642
2012,750.5647096684162,0.7070290909090908,6.998332934935132,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,40.62006602554276,1004.045484915393,1269.8097195077582,27.699098053922075,22.39185868946724,74.97053590932906,1.4578210123639217,994.932,53537666.638230965,2524601.742103836,12.414889107737077,44035606.41265815,11.321769332519333
2013,694.726016325916,0.7083648484848485,7.298679615541348,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,39.49800429048237,1004.2832225375377,1266.0174953432552,27.73122246585868,22.40477869361132,74.7421150536655,1.485513017772223,1036.606,54343676.97416584,2507099.0811639237,12.39409966921,44154521.1911503,12.00892052667675
2014,629.9068173619919,0.7088952525252524,7.338801583704782,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,38.21751133396795,1004.43196454223,1277.3249035720426,28.055466376333143,22.412377976397,73.34747154785443,1.5246215597936157,771.5678571428572,54871066.55772448,2472487.1553467065,12.35911602616782,44128236.32504803,12.61021681897106
2015,585.6274239904403,0.7091365235690236,6.807207510392515,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,38.739112623250016,1004.5176449417672,1275.202119997839,28.150076015293603,22.434009054326168,72.95206459903996,1.509930031525777,746.8674857142857,55276571.91769078,2446996.1272940994,12.336146867536584,44114405.23325801,13.139355659438117
2016,527.1232254818696,0.7130387014080196,6.315192807880764,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,39.68920323535515,1004.590070402334,1250.2916960625005,27.93621057551731,22.45613941809257,73.78502737425079,1.4508429299924472,739.4576571428571,55619967.87257329,2436679.96781624,12.339032269686298,44166889.06324488,13.263560785850125
2017,447.66543974589,0.7132240378996578,6.418896455019485,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,39.5214341382334,1004.6910763095424,1227.047962114929,27.87345938013521,22.39705321119399,73.76059856889722,1.4167184607412686,687.211,55811509.70368513,2432227.154994185,12.358278815928172,44248024.8426424,12.821072300336525
2018,427.7622197215429,0.7118807686178085,6.6024969341970845,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,41.39683316047581,1004.7871548106746,1200.2613260172177,27.86421596147554,22.349567828419243,73.58437454745665,1.3816462877985394,350.177,55851577.179964736,2441181.5383372856,12.3815811079075,44307895.45344113,12.662273854114616
2019,464.8931165462264,0.7113244748557911,7.224426716448024,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,42.69412600828103,1004.7623140853498,1153.201551392047,27.753354744874187,22.383858943975227,74.22048354834354,1.341209218106516,533.444,55598171.518561296,2458407.733926431,12.387236323448588,44292175.01703816,12.576163667325316
2020,474.9802474784629,0.7099903362063175,8.128439528291215,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,41.1683670695408,1004.7219669998044,1102.3004165092675,27.56539185508008,22.396202633226576,75.06564663641636,1.3092759887121823,595.32,54991131.96298135,2476121.0651891744,12.382492526505668,44185871.715560585,12.440276706198675
2021,468.32666396725006,0.7084440031341646,8.673326689249862,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,40.47229947872441,1004.652725949276,1090.057669448506,27.575623367714808,22.29941694964792,74.6099701108259,1.3040817712899464,610.155,54020920.98887213,2486958.860864038,12.396810477213776,44055053.50882462,12.255143275759364
2022,470.48383040841566,0.709211639782725,8.898434148035284,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,40.5025820248282,1004.593121567104,1096.634990342904,27.680371053377183,22.221445950602007,73.87582782998876,1.3133076138448012,640.274,52844051.53549828,2500010.9244047604,12.412849941926426,43886691.71221306,12.276323382021529
