Ano,Mato Grosso do Sul - IDH,Mato Grosso Do Sul - Consumo de Cimento (t),Mato Grosso do Sul - Valor Cimento Portland,Mato Grosso Do Sul - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado,Mato Grosso do Sul - Desemprego
2003,0.7416255410896376,417.592,3.399872848237192,640.5346715644766,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,31.44689986676471,952.7503161028576,1409.5761756702448,23.56289531346653,15.65645778654784,64.51403355650643,3.671685985282792,45629451.73015587,2151916.7490467816,16.20317859675067,39575454.63772257,8.248824124668724
2004,0.7426364021754681,466.165,3.0852108377083893,650.2035508686096,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,30.253660327730067,952.7243864404,1411.547449812694,23.507106565640587,15.723354862334933,65.0903908269731,3.618733904697762,46320783.16617863,2171424.9182164385,16.238608556649375,39768632.18798807,8.178155305345381
2005,0.7436353041786602,479.481,2.624412669974165,663.5011503427369,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,29.941854278759656,952.739328684872,1405.006613012118,23.449531211762466,15.811006849779654,65.66084134194621,3.545207968569455,47003519.96561871,2187532.217301002,16.294465916269097,39986526.35400095,8.157500707628346
2006,0.7446220022357017,515.485,2.6755750551761333,712.0495174823053,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,30.466591035115187,952.7000468706846,1399.1654727394832,23.435027736538405,15.674456828594275,65.4754310351912,3.4797763639108243,47703785.789629176,2210487.1500488967,16.382366741241967,40266844.162208304,8.070117195206189
2007,0.7455962514830801,632.929,3.084079985462065,783.7935478395779,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,29.78611078486031,952.6242589605682,1395.6098914820116,23.460324857581814,15.67436876064415,65.47122668357623,3.4552218220989315,48356894.57795924,2229286.611669004,16.46041676017991,40515161.53477429,8.040810958175138
2008,0.7465578070572828,814.771,3.433682260347833,831.7744730775627,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,30.36001112461901,952.583468251548,1388.1229057844257,23.505311170897457,16.06484969827549,66.68609130328609,3.4552702271115554,48952449.29896824,2250402.997493206,16.533878530784648,40724497.84856174,8.011860789640922
2009,0.7475064240947974,693.327,3.651734786198428,863.8779066834095,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,31.06638930263088,952.3880028217982,1396.3038969713105,23.414338361345543,15.953540616711916,66.65854011356987,3.422201480809786,49430987.44621838,2269265.870873893,16.565698690794772,40854104.42966156,8.040524198285377
2010,0.7484418577321116,813.149,3.8460031588442094,916.67748261226,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,32.50856495359769,952.3620344860246,1428.3262667627596,23.460428613268807,15.531731586545886,65.00203901241416,3.316281624794188,50899881.04016034,2290153.501698762,16.70129857079546,41381902.18275368,8.00386216757406
2011,0.7493638631057129,923.248,4.0207241703868695,958.130316795938,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,34.90490204630497,952.5580142846092,1433.6808076863863,23.635226447254063,15.687148840856706,64.89677853701538,3.223002380593321,52242826.97970282,2294875.501208014,16.813002732157532,41801597.92354208,7.993143791483601
2012,0.7500336929292931,1008.624,4.183486813238545,956.0162920794296,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,34.97934048053995,952.7593906375168,1421.5725925325412,23.663604975398943,15.955378878511986,65.719661504748,3.17806822658017,53454012.04788331,2288752.2067909846,16.887781720042174,42137018.94946247,6.360445461945462
2013,0.7514531673400674,1028.608,4.30749751141573,928.9189524469988,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,33.811639856806465,952.95466503214,1405.0575234657106,23.757867116368583,16.260264331915277,66.4700233214003,3.1250320199880712,54529532.91629192,2278493.5642728754,16.940587250097412,42409023.01835112,6.7253716835720105
2014,0.7521575979517398,995.2221428571428,4.328378415799484,886.9446064265561,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,33.03126498957178,953.0981659474496,1382.4432799390245,23.91460584530313,16.608337875863292,67.06054003410249,3.0882521186421337,55438643.03059719,2276793.6304261247,16.985287085576168,42612953.39689288,7.077333069355388
2015,0.7527540644477181,951.0413142857142,4.138994112765162,822.6913735646258,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,31.2241264489572,953.1111468350664,1377.21944984957,23.862879693503032,16.78302730301395,67.63679526077148,3.072316355816057,56074493.77953696,2266815.16539451,16.9940046093621,42702026.796516255,7.357560212332947
2016,0.7561271384244379,904.5375428571429,3.86423258244479,737.4304112334373,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,29.30845881204585,952.9847328842958,1353.7083952623611,23.814967496485423,16.659955876667503,67.36329616921343,3.04934930746503,56567321.55791565,2251674.493315364,17.013733274654996,42797003.6148292,7.332913546392486
2017,0.7559568782812051,870.341,3.75006574443256,688.4440845266055,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,27.027249471987744,953.0360507132142,1260.88806184936,23.920270860439437,16.556340679480126,66.7825259589078,2.9727441726084494,56744967.342901535,2236955.4744570595,17.015525102034054,42818477.479052834,7.012813943321785
2018,0.7554075035794964,869.68,3.8120857502120047,702.7999970026939,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,27.485115857614268,953.1784853815984,1250.680995612569,24.117232629608463,16.399497132815387,65.6534732660917,2.90386650498804,56720541.11600477,2234063.5422723256,17.010395607116383,42792663.434622265,6.911971035307172
2019,0.7540809129958143,902.144,4.312223075498508,762.7925955943658,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,29.09742807640927,953.1148058074616,1333.2912988897865,24.27676037098352,15.88865674610851,63.5763455907332,2.6037808716247697,56244657.38274176,2233988.0463009705,16.948561988152385,42605566.45527997,6.834976598262197
2020,0.7519973596317975,1038.045,5.22847286006175,834.4739394785485,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,30.513520355054425,953.0639614762878,1377.234292199969,24.380377369473965,15.817374730629856,62.81180016285577,2.1085718308148125,55657906.839284055,2232222.299995444,16.918732375117887,42471497.080700986,6.6871767334272745
2021,0.7512698468710517,1092.056,5.951259347312283,865.3208026931924,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,34.09749860959092,953.0961798784224,1403.018305211639,24.2855678334351,15.78392774374697,62.5848199545466,2.0482478660969576,54325352.11476909,2230057.497864405,16.83399259697546,42111053.67513804,6.511628231501381
