Ano,Tocantins - IDH,Tocantins - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Tocantins - Produção de Cimento (t),Tocantins - PIB - Estadual,Tocantins - PIB - Construção Civil,Tocantins - PIB - Per Capita,Tocantins - PIB - Preços de Mercado,Tocantins - Consumo de Cimento (t)
2003,0.7001068192263149,8.24382962687184,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,37.273096177655134,978.022163365374,1338.6332407991097,26.574085091555464,20.873482888806773,73.56697471788459,1.7035152137906733,152.796,15939077.253337389,1457379.9378053627,10.276584921630167,25726915.08185616,239.493
2004,0.7046642016241093,8.173050196410834,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,37.86979449635695,978.2534586638596,1356.9472519288504,26.77629396394289,20.212571661076822,70.53691362007378,1.7279047829659973,152.796,16203101.63785904,1477170.600602767,10.336645494752013,26145138.762137983,397.426
2005,0.708751595809711,8.152620916952547,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,42.03422909307241,978.671527990766,1354.259624429494,27.05116212895719,18.46676364938005,63.5451568919573,1.798403273924993,152.796,16458289.67521829,1491626.6916131573,10.39912338975338,26568595.45266009,431.203
2006,0.7123777052086413,8.067823318709818,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,41.80834386074234,978.6653856198928,1351.9417926452468,27.070897564400443,18.0882078654778,62.421523332634536,1.7958790739498596,152.796,16711716.70659196,1511198.7846426202,10.47483745939426,27009303.98252078,312.507
2007,0.7155512332464213,8.043255499928398,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,38.62369010507877,978.583424163637,1343.6156723684994,27.07999886416246,17.974502556890872,62.1625304608032,1.7434395651051648,156.4992638156219,16948958.260328595,1533651.894670466,10.545712228157267,27447219.406162657,426.737
2008,0.7182808833485721,8.013079135529578,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,36.931770164043805,978.5902524860172,1332.7480875892015,27.104354282245108,18.239152479811544,62.9055663941926,1.6895086516554094,199.99442340744,17154330.379480716,1552701.6772155946,10.59841077193246,27864927.348710734,450.745
2009,0.7205753589406148,8.041614363695377,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,36.78400898540468,978.477799766046,1329.7195781973542,27.15493130762954,18.216833335433478,62.74773838179076,1.6985416052798887,305.8290172874809,17319776.046310958,1569540.5117716128,10.617459013256996,28265464.25293,467.588
2010,0.7224433634480705,8.0060588006544,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,34.37569306043372,978.4291686194804,1327.7236441590833,27.09268049296499,17.939090060196918,62.25580044172347,1.6896392320916782,421.3275257903116,17827895.717120513,1443676.3796348055,10.617472399861269,26055376.81965062,487.208
2011,0.7238936002964601,7.993875358747286,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,31.444497314025952,978.5657742767236,1339.2762437557967,27.20030006400236,17.907415579591493,61.76320005524582,1.630486687635133,483.31360483836784,18296015.752595358,1330737.3898506346,10.632145843938542,24344818.78571199,458.331
2012,0.7245311986531986,9.38599877899878,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,31.91890325844613,978.6718870790183,1341.122646370877,27.26371410617801,18.111212766495427,62.12583332531991,1.542450711290397,510.5469442285658,18736788.59739,1258450.790768226,10.650201773230906,23238395.393916894,508.683
2013,0.7257421318742985,9.822893776246772,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,34.865056317440505,978.8300383655702,1337.750912470707,27.2116110060571,18.470944382062918,63.51520236397692,1.4740613499155062,530.7569914890389,19133291.88461625,1228869.7401848757,10.67364320364518,22779873.940811023,525.234
2014,0.7263039761971567,10.19299143762296,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,45.72565769807504,978.9882838500204,1363.50987100632,27.573990708338883,18.56828328721269,62.92823499235369,1.5109661273264796,534.4221926954918,19454605.01138493,1234495.4218660607,10.702690432953336,23013224.3523934,426.7672857142857
2015,0.7254126408802531,10.501089854035232,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,48.16219476038482,978.9838167714312,1381.824522150497,27.799695689359325,18.47201427289909,62.07097519296707,1.5314155240400582,515.3837931383493,19715438.089469302,1239338.0775501044,10.728748975833192,23248250.1083597,454.92942857142856
2016,0.7357263588731734,10.392739827126608,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,40.54252665521888,978.9577802679784,1390.6988437366924,27.68047898647096,18.34546089712195,62.0957443225275,1.5113357063801445,535.1861077636606,19891995.324615203,1246861.7610110326,10.74632465497041,23477863.773530506,489.0162857142857
2017,0.7358833005889164,9.894472309144492,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,37.98429292703079,979.0360088775956,1384.228910413698,27.53642365142657,18.412474192181108,62.734719594438026,1.476662239113976,580.856957409161,19981956.741382327,1262231.3415159052,10.764439166374787,23716817.081230164,500.27
2018,0.7355090551879088,9.761228265491662,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,36.01221964922058,979.1172881154188,1377.6913824915694,27.54647768871324,18.670132640378903,63.33570980232139,1.4300614888501733,599.8119150341745,19968974.61989828,1273955.534988647,10.766723955133749,23941660.37914466,396.438
2019,0.734282605659537,9.617661967224004,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,33.81314978237496,978.9972503866026,1382.278747449382,27.62488503208553,18.623403598607343,62.76541963923089,1.3779120361098922,654.7548154978535,19875891.738978773,1284681.7806525514,10.76242864133936,24181452.34341488,402.932
2020,0.7327628425376765,9.37149307082812,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,31.98790037816552,978.8640721646232,1376.8953120476333,27.617261893079117,18.45790698393133,62.02355017215728,1.2513043323451098,735.7478469321086,19608655.44744585,1299452.0727747355,10.729157552359885,24391927.90517209,500.126
2021,0.7307412827683745,9.06672793070744,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,30.25969036660007,978.9244090908924,1372.5115301369483,27.712743422747582,18.22343960981073,60.92706883034064,1.2227373345465038,778.6790124760463,19117629.093204305,1323080.4185864232,10.676667410623155,24579200.330760423,542.03
2022,0.7307177630200449,9.118915446595413,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,29.769218978289143,979.0061975033656,1375.9160344951745,27.79439512990757,18.022129616234228,60.17660541474162,1.2678414639812574,796.1025881963274,18527308.427373,1348818.984388131,10.61211360089997,24775395.193309583,554.321
