Ano,Pernambuco - Valor Cimento Portland,Pernambuco - IDH,Pernambuco - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Pernambuco - Desemprego,Pernambuco - Consumo de Cimento (t),Pernambuco - PIB - Estadual,Pernambuco - PIB - Construção Civil,Pernambuco - PIB - Per Capita,Pernambuco - PIB - Preços de Mercado
2003,3.6271004323857294,0.6886847637485755,425.7583126561652,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,24.33535816152036,1011.0883499652256,1823.059799736214,27.05442623035029,21.47888349808485,72.41985808465667,2.1811392975563084,8.294029177587007,1013.872,82373814.66627769,5574893.494196955,8.646979080769697,75710612.08201192
2004,3.6137562071331706,0.6925781496139336,463.74999267585054,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,23.054530133704397,1011.5499833057414,1802.1159989341352,26.761670596675987,21.348614220313667,73.21202277386145,2.1027874128897133,8.2217516963816,951.037,83660327.43040591,5640541.090985226,8.694752259163636,76235666.0163163
2005,3.5030737708993875,0.696126629280196,471.5057192743228,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,22.72085339939336,1012.454180259062,1776.9288250919617,25.83365933755193,20.9012305102454,75.07889247755129,2.650050440663365,8.199101149517398,979.656,84840329.09672928,5649536.467451517,8.733905830031098,76663190.59355809
2006,3.449433421074834,0.69933946791871,514.663878667367,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,22.756009512249832,1012.48016337934,1779.983604339914,25.63030206441877,20.81535769768369,75.254341549312,2.832919023634942,8.107273266310623,1193.338,85944874.1815596,5677153.418559471,8.770881024513496,77057960.13733606
2007,3.4802392940142965,0.7022259307008227,623.9647849569955,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,23.781675977088756,1012.3979014209272,1696.205011239825,25.669231356016628,20.90093760302909,74.67052226793899,2.505889091246457,8.081524496758538,1320.587,86963791.13833153,5727692.602726186,8.804783933027009,77411555.76227796
2008,3.575367952108741,0.7047952827978812,722.146507104844,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,23.713845255536157,1012.3526861400492,1564.4934953371187,25.87121863719086,21.2507114779586,75.41948855048102,2.117760081007438,8.049768627820379,1717.153,87856573.05100968,5769034.952635015,8.8344323363093,77682157.69513686
2009,3.706614341194488,0.7070567893812323,803.348817289273,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,22.86637143208946,1012.207552043722,1487.1977958407504,25.874600412918834,21.577557888823048,77.7667569523268,1.951382169810823,8.07829268283391,1878.938,88602156.78735705,5810149.356184064,8.858244764833229,77903837.32680643
2010,3.8904109772195175,0.7090197156222232,950.4064870092704,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,22.48988626794282,1012.2331476539222,1437.3488663832632,25.75084399238348,21.89220736734744,80.13060233940548,1.854109811443257,8.042186923462921,2406.931,90965261.12160322,5826469.262745963,8.909890356219025,78565121.68340674
2011,4.085238544122574,0.7106933266922011,1079.3284240162131,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,21.108318544246767,1012.512130579606,1436.2702032745317,25.7365368185726,21.84119273767517,80.17777627045758,1.8151574017398968,8.028882024730951,2496.113,93018265.90401831,5792701.2501468025,8.937705877502246,78973432.71747497
2012,4.276735157472132,0.7115999865319865,1132.134532114604,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,21.56718365047408,1012.6892954456516,1436.4697476470362,25.711448593118675,21.251417468977728,77.6429318465924,1.728390266437254,12.192814407814408,2728.23,94842664.43499874,5717658.789069481,8.949260384099695,79269008.85795419
