Ano,Mato Grosso - Produção de Cimento (t),Mato Grosso - Desemprego,Mato Grosso - IDH,Mato Grosso - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Mato Grosso - Valor Cimento Portland,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado
2003,620.2681082057328,8.29717805688061,0.7451471682661532,668.575,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,33.83466772175684,993.6770719152524,1432.2741988474163,26.26488813140572,19.47926652376,69.8720047408397,1.873052731895882,4.031462754819114,60845643.7658844,2670587.842185964,16.83133214002083,51189455.45652205
2004,624.9098731716972,8.22684907472465,0.7470779254775449,716.682,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,29.991649773113977,993.5954902403868,4448.028829133376,26.348354396379158,19.466165374498832,69.44691295535866,1.8801153753554865,3.9352473823136154,61830134.709309086,2695788.0104486533,16.886950289084538,51509653.47169231
2005,653.0293809534883,8.206659721662158,0.7487999765458229,737.634,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,28.065489422126547,993.6527678579972,5908.968829540492,26.412450110997224,19.54935516839919,69.40854010649771,1.8872977821663852,3.7372713124024473,62686671.769890346,2708770.456746804,16.89819815298413,51674390.70468156
2006,727.8161461612146,8.120431402675818,0.7503184846098365,701.548,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,27.83432928403866,993.673280228956,4369.618409830263,26.37689464208304,19.468049376684505,69.3557953634033,1.8480407162668535,3.70056404375816,63545954.70446385,2735091.1991593284,16.937331618717923,51897358.615272425
2007,812.7356436076785,8.093287163551162,0.7516386128084354,840.901,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,29.81204233679241,993.6804792735848,2543.2030784795606,26.405369166786382,19.23865083464088,68.8052611896779,1.6337188184359182,3.889724753853909,64527870.49701014,2767527.920488152,17.057530543002606,52333067.324855946
2008,869.8344526265676,8.063004956989525,0.7527655242804686,994.957,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,31.68652274664783,993.7541623727752,1421.3607836223398,26.585520145164526,19.247754251982936,68.30655970731083,1.2653759456326366,4.140783914216651,65356019.83738571,2793552.9721474675,17.12790263485004,52609180.87584722
2009,949.0830484843832,8.095019259007241,0.7537043821647857,998.465,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,26.992644431181876,992.5775201297528,971.6247343344228,26.51465616634043,18.39340556883565,65.14789033768822,1.139211878279743,4.367145355038856,65939673.99142018,2815132.820643816,17.131656699309254,52671583.976748765
2010,1038.662222539624,8.05784802131733,0.7544603496002364,1099.34,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,25.11606564459692,989.6584720397656,896.2193350736271,26.51696647099384,17.684947098273188,62.46033770439093,1.3787829296120029,4.559664626915217,67891564.42644235,2861375.362368723,17.294037380359484,53395717.45720118
2011,1134.526356125818,8.047069128696148,0.7550385897256698,1204.074,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,28.216671060820417,987.0480085405478,916.3206122795788,26.59424053509016,18.04864421127375,63.56198777584429,1.548196571839722,4.705269851930388,69858113.64337362,2887266.124920445,17.471860536322446,54152397.5304272
2012,1291.1612064230458,6.695389397639399,0.7550273912457913,1381.539,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,27.946086790461344,986.0331037200016,884.1185856454099,26.50404483380902,18.41965325610373,65.23137680732984,1.6252126658417032,4.879101230953082,71590156.14698905,2905725.794311625,17.591514543826047,54724080.79726176
