Ano,Acre - Consumo de Cimento (t),Acre - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Acre - Produção de Cimento (t),Acre - Desemprego,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado
2003,43.603,0.6913196105136911,0.6516972570692166,-5772.70134353181,9.1990309651724,20.90564101435297,10.949016656969324,177206913.03714657,7330309.193826131,0.8953026462981509,21.09128878359133,982.3809450492516,1230.45311561631,22.69488860744893,17.485234845829392,79.74129210638252,1.3812758000033067,0.0,8.722906022641007,7285706.872941417,413409.2550318821,9.31841697787915,6587220.475573105
2004,58.142,0.6948880766805015,0.5636368464482397,-6740.393736552269,5.770455097507899,15.098325277400736,7.7579449751611875,179384775.903975,7397520.947074695,0.7465698368847381,21.51878161336353,982.7257291101567,1242.8459682168782,23.04886113833251,17.97514083682351,79.76670777241189,1.449721082477918,0.0,8.664365485421056,7395794.356157537,415792.3173746576,9.33729183526018,6624625.7213512575
2005,80.914,0.6980979695547438,0.4402572931149395,-7417.815574044525,4.275690944411278,17.415317725191297,5.579972797571392,181467372.5115742,7462915.670155211,0.5898113306513801,22.206185774267,983.2854915493836,1262.4993857604302,23.62733813650082,18.815686289327484,79.91468936144678,1.554669911556388,0.0,8.63202406848091,7499439.178966182,415180.3740268452,9.359959034922287,6658362.682333018
2006,114.415,0.7009570491416821,0.4166128920934626,-8326.283951063453,3.830877687798758,14.056528089459468,6.977990711509168,183454449.8472789,7526671.781861113,0.6060440035094466,23.19473911256627,983.9230871783784,1282.7615584877285,24.284937115416096,19.78629934136215,80.11236436031122,1.645155751532928,0.0,8.552715943304754,7593871.383605668,418006.3308225593,9.385223911172876,6685537.720496125
2007,121.872,0.7034730754465806,0.4246269685389897,-8104.868208038409,3.5643173001686823,11.230192134155894,6.441722591220655,185345754.8984239,7589168.048446789,0.6334012893496227,24.5256845410143,984.501367411273,1296.9805279547652,24.876273559257925,20.66640672756987,80.28686436492934,1.6702114365621934,0.0,8.542429322041594,7683281.555701924,420042.9508888772,9.415549864480058,6712707.279919797
2008,119.145,0.7056538084747028,0.4154432954622866,-7723.574972545383,2.868108050698647,11.760983298368725,5.071123936707313,187141034.652344,7647774.392450181,0.5876188665555291,26.240264972364063,984.8831836621991,1298.5043357175334,25.25596295220589,21.235435182593005,80.36532097122519,1.578869800798839,0.0,8.514659379977472,7755114.203364897,422290.2020698055,9.424555243611112,6724366.086291776
2009,121.146,0.7075070082313131,0.4467513447082874,-8961.781709163859,2.3058845020677987,9.472584589154453,6.040326296910424,188840036.09637383,7700573.782692777,0.5667594006186707,27.667957080387666,984.9719351278504,1299.7606551142153,25.376338614831173,21.2199897974984,79.67379346810317,1.4364134999802831,0.0,8.542386044618546,7805165.957534134,424173.603186159,9.409042241398248,6722104.546549075
2010,174.705,0.7090404347216752,0.4644457981214391,-9895.682384972506,1.958245770824986,9.332485443789247,6.541237145828895,190755799.0,7747984.597615046,0.593536686634507,30.587557836957583,985.037587338752,1305.345780908122,25.288854659523167,17.738218788239784,70.04971897518338,1.2464212593121056,0.0,8.51429488143676,7991787.774392375,416829.6759184062,9.394383816794363,6762278.709879917
2011,178.322,0.7102618479510534,0.4683653525645703,-9989.170714322465,2.079087589818715,10.985688983588256,6.090624823278271,191989413.25635612,7786621.760813251,0.6008207592253407,34.15612542328193,985.2822066989024,1317.710215716108,25.2428932863089,16.188303099421354,66.21170106658847,1.234467789231418,0.0,8.500790350881074,8164219.641641234,410997.8752810527,9.386905584654908,6795421.262147043
2012,173.494,0.7110042707070706,0.4899648804048951,-9429.32632849331,2.183281506499276,8.159014275313579,5.984748981374968,193258203.49791336,7815135.384009959,0.604730519478732,31.678792684210865,985.498854155322,1297.6034353339148,25.45400231309587,17.919229338651153,70.36442853793902,1.472205059744935,0.0,10.334544464794464,8325627.042250331,407346.9500744589,9.383420184567306,6827686.142368942
