Ano,Pará - PIB - Estadual,Pará - PIB - Construção Civil,Pará - PIB - Per Capita,Pará - PIB - Preços de Mercado
1985,0.007240986,3196020.25120661,7.269115841,29845957.4285689
1986,0.022127864,3646465.26036689,8.191269691,34811200.5937823
1987,0.071159357,3664496.1271946,8.4277162454,37011773.8865326
1988,0.494816773,4245551.33567958,8.5676328868,38816637.5036277
1989,8.796031579,4301141.73660633,8.3004131715,40340721.8489188
1990,237.6548727,3168154.48088074,8.4821575676,42349504.2497605
1991,1227.826487,3100486.85336147,8.0911996334,41446579.4643364
1992,11326.31156,4172102.9595761,8.2038885338,42866753.269724
1993,332685.0818,4407961.68280262,8.545594649,45877905.0695272
1994,8285513.324,5385490.21785116,8.2204471075,45144977.4408255
1995,10998290.68,4756865.72647832,8.0443212367,45159307.0904731
1996,13355231.68,4518168.59007057,7.8957405813,45284172.5005505
1997,14311879.81,4498136.50541383,7.9610384867,46622444.6378988
1998,15091455.23,4546862.29076778,7.9858188534,47675170.852379
1999,16503978.55,4222407.39505996,7.9105342352,48539243.7412351
2000,19050189.09,4478985.01047433,8.102147888,50822027.0732054
2001,22321475.27,4803922.19843257,8.205703675,52599758.589358
2002,23913864.0760586,2443525.47457397,7.0394319846,45430262.5287511
2003,27190608.6559544,1949833.17445083,6.8860101083,45275468.2602708
2004,33924434.2643777,2874714.02373285,7.6529522518,52424108.1088728
2005,36531095.1413836,2781011.25178017,7.5384370373,52547323.674307
2006,41277749.5963883,2619217.83255195,7.8205859107,55608002.3976633
2007,46610741.3105366,2946934.74989666,8.1024228143,58993797.2281711
2008,54997529.3543106,3269901.22880127,8.7401879393,63991198.5958373
2009,55431794.7962662,3491360.01217842,8.0878536752,60101002.4176629
2010,75521362.1297568,4654470.37862999,9.8871368248,75521362.1297568
2011,90541303.8650965,5773314.14029486,10.8716851249,83587962.1498305
2012,97352055.4512438,6332866.1654453,10.7054444638,83262054.6515285
2013,110396668.927083,6851317.83000416,11.0202537909,87827609.7059346
2014,113001639.13269,7082051.26708447,10.3244822055,83359084.6667989
2015,118312498.868673,6905157.35236395,9.9249729352,81137775.2674644
2016,124828329.288842,4524575.1743912,9.5725530906,79189108.1756754
2017,141649038.087486,3955938.12869235,10.3633230186,86677629.4388101
2018,146889115.113317,4125090.00217136,10.244586558,86018841.9321448
2019,161909193.805619,4227151.17857104,10.7290381074,90971775.6244947
2020,197913639.457636,4160392.58492731,12.0373564023,104441580.77598
