Ano,Acre - PIB Estadual,Acre - PIB Construção Civil,Acre - PIB Per Capita,Acre - PIB Preços de Mercado
2014,8560896.351340283,400704.12118773314,9.34326746456174,6852461.73082073
2015,8597115.636515724,391942.316577976,9.284503902763296,6825760.025932724
2016,8620855.11783036,389049.0905509605,9.247192815015781,6809907.032026213
2017,8632052.00614293,389052.07908830803,9.235469478922266,6808241.988984182
2018,8619421.175623687,391132.6831641892,9.229845429057741,6804838.123685982
2019,8563063.806940097,393404.51067989314,9.229435008931365,6792501.300367666
2020,8474524.794974843,395956.0067062282,9.239312622784704,6780171.2803533655
2021,8328314.777668074,399296.1379800864,9.262962450216419,6763503.264838437
2022,8150141.368556486,403056.7536943113,9.289289290108696,6741051.793450301
