Ano,Acre - Consumo de Cimento (t)
2014,162.7991564663687
2015,151.60912320238685
2016,148.1701663944306
2017,149.73448245985938
2018,153.62537552631724
2019,164.72231439782158
2020,178.23392669747957
2021,187.87293218974543
2022,191.53078725898573
