Ano,Paraná - Desemprego
2008,8.033947666124615
2009,8.063370445390065
2010,8.026842929716512
2011,8.01380615725677
2012,6.4724959299959295
2013,7.011798833781418
2014,7.462443174455609
2015,7.81326105362778
2016,7.840669494132683
2017,7.55310041871134
2018,7.440077429378706
2019,7.368470404527978
2020,7.229324520308934
2021,7.094891470039911
2022,7.11683588403256
