Ano,Paraná - Produção de Cimento (t)
2008,5058.377259613645
2009,5346.288081220619
2010,5527.794738264754
2011,5623.811147526936
2012,5779.044239891122
2013,5855.685230189823
2014,5788.881493896574
2015,5749.529291401558
2016,5786.53790305278
2017,5902.21201874159
2018,6085.585318903161
2019,6533.257168147857
2020,7078.134332598909
2021,7344.760727483465
2022,7392.02155814193
