Ano,Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado
2003,47544687.674064346,2519796.2103436003,12.490621318989646,43185181.42088147
2004,48231219.418310896,2538092.113899628,12.509135124955165,43381436.41624759
2005,48836252.70435857,2540251.123263741,12.51130613726451,43496637.175402306
2006,49382830.79629677,2557701.554854002,12.511870826731997,43578882.6225528
2007,49807070.28522859,2573779.295632583,12.484991260456523,43546508.75886906
2008,50172288.217824906,2568804.62499274,12.460706091350115,43495785.963737816
2009,50474102.40796278,2574929.858736947,12.433925836172488,43455347.340321325
2010,51693070.81151216,2569006.077183323,12.457785364106892,43795228.39283644
2011,52726960.417504504,2545976.7813202534,12.460974458214464,43988600.51037887
2012,53537666.638230965,2524601.742103836,12.414889107737075,44035606.41265815
2013,54343676.97416584,2507099.0811639233,12.39409966921,44154521.1911503
2014,54871066.557724476,2472487.1553467065,12.35911602616782,44128236.32504803
2015,55276571.91769078,2446996.1272940994,12.336146867536584,44114405.23325801
2016,55619967.87257329,2436679.9678162397,12.339032269686298,44166889.06324488
2017,55811509.70368513,2432227.154994185,12.358278815928173,44248024.842642404
2018,55851577.179964736,2441181.5383372856,12.3815811079075,44307895.45344113
2019,55598171.518561296,2458407.733926431,12.387236323448588,44292175.01703816
2020,54991131.96298135,2476121.0651891744,12.382492526505667,44185871.715560585
2021,54020920.98887213,2486958.860864038,12.396810477213775,44055053.50882462
2022,52844051.53549828,2500010.9244047604,12.412849941926426,43886691.71221306
