Ano,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado
1985,0.003266941,902117.950874904,7.1157747339,10974296.4676162
1986,0.010370851,1135848.70450158,7.5849597172,12325081.688053
1987,0.031630372,955578.871364322,7.7408505894,13209335.784002
1988,0.252934576,1101561.58640864,8.1186428409,14502047.5542859
1989,3.579948446,1245930.73972943,8.3553218384,16506289.2153134
1990,96.41123377,994896.935038163,8.1651272805,16752963.2003723
1991,550.6545555,1011521.29297504,8.4679240063,18004948.8221874
1992,6108.859026,1161062.76094122,9.3499436256,20008327.7120881
1993,149987.3114,1214377.85875849,9.7978389362,21434105.1789882
1994,3860943.495,1903773.98460701,10.7311011374,23982369.183563
1995,7319242.991,1829291.94571163,10.7162379701,24450286.4312482
1996,8647560.732,1723537.00504801,10.8050981975,25155975.8092732
1997,10068521.72,1968989.53849532,11.1684139829,26520002.0967083
1998,10566971.1,2117359.1654565,11.680582819,28254874.2964328
1999,12364904.96,1964447.25106153,12.2520741682,30418677.864191
2000,14870532.68,2114021.20462331,12.9146901893,32741516.2882169
2001,16309976.23,2034103.11878557,13.5042678494,34949328.7839056
2002,16714547.7969045,2281314.52665068,12.1906091883,31753391.7583377
2003,23434987.9157461,1712981.44820377,14.7178424756,39021930.8800519
2004,29281726.4072214,2202455.05111894,16.4595314609,45249638.6181009
2005,30033920.2560974,1708582.24507087,15.4111264551,43201610.1022287
2006,26233154.5877043,1502495.78866404,12.3697724959,35340427.6510987
2007,33058195.5627382,1778575.95743415,14.3833910528,41840752.3871873
2008,43177161.9840756,1973518.72928623,16.9852481854,50237863.0415888
2009,46360998.140102,2286305.62599393,16.7459359153,50266141.869381
2010,49774547.6189157,3074157.32545783,16.3230238939,49774547.6189157
2011,61600432.7277147,3330629.6891166,18.4885759207,56869676.2632148
2012,70450157.4176638,3696345.7423532,19.3410065678,60253734.037039
2013,78479785.3113834,4280962.87363698,19.6208267241,62435687.7895138
2014,90811401.9159095,4645331.96198405,20.7761682417,66989783.5033179
2015,97597774.4833333,4438830.10068187,20.4967288922,66931781.2433602
2016,111915059.812982,3706773.26990823,21.4782845037,70997135.2537329
2017,112317863.736877,3331838.21271344,20.5564343666,68729348.98669
2018,122694151.417993,3083873.12733279,21.1256465388,71850176.2957801
2019,126618405.031412,3081180.1175858,20.6766545298,71142971.3267419
2020,159608851.813832,3475765.57732492,23.8344983525,84227650.1758945
