Ano,Minas Gerais - Consumo de Cimento (t)
2008,5902.354
2009,6032.354
2010,6751.429
2011,7134.988
2012,7144.026
2013,7225.9710000000005
2014,6631.735714285716
2015,5836.891371428574
2016,5091.098914285716
2017,4898.01
2018,5509.999
2019,6256.45
2020,6954.53
2021,6975.675
2022,6706.893
