Ano,Minas Gerais - Produção de Cimento (t)
2014,13306.331979883218
2015,12588.656354109555
2016,12210.5522998276
2017,12699.687744522344
2018,13541.777330532233
2019,14329.818876484253
2020,14765.664718497615
2021,14894.990775077371
2022,15001.612970570855
