Ano,Rio Grande do Sul - Consumo de Cimento (t)
2014,3123.9760548775553
2015,2949.933547914628
2016,2825.3093858809066
2017,2770.911174761912
2018,2769.980560629552
2019,2887.7711598571022
2020,3024.036729352862
2021,3083.190452319628
2022,3103.9080202590617
