Ano,Taxa Selic (%)
2003,20.905641014352966
2004,15.098325277400736
2005,17.415317725191297
2006,14.056528089459468
2007,11.230192134155894
2008,11.760983298368723
2009,9.472584589154453
2010,9.332485443789249
2011,10.985688983588256
2012,8.159014275313579
2013,7.913560887352131
2014,10.350441947934849
2015,12.454397626561702
2016,13.111907772469477
2017,9.479811697946742
2018,6.239827995338425
2019,5.780756476062364
2020,2.7295124084515754
2021,4.35045636240659
2022,11.662816969174893
2023,6.094484133201357
