Ano,Bahia - Produção de Cimento (t)
2008,874.8669564262615
2009,1028.8439869357844
2010,1146.660534922492
2011,1256.5207192694286
2012,1339.1221477564295
2013,1340.8941315889654
2014,1284.6910222498116
2015,1218.7863259831222
2016,1144.7270174863756
2017,1108.6247554447173
2018,1129.8074937694785
2019,1170.1830685948476
2020,1208.937804561921
2021,1247.249163054844
2022,1265.885413816864
