Ano,Bahia - Consumo de Cimento (t)
2014,3767.1536826970896
2015,3569.1205753915465
2016,3342.3714598804754
2017,3209.921856413997
2018,3265.204155348056
2019,3502.6582414606214
2020,3700.071075286569
2021,3773.8780393910993
2022,3812.016757081801
