Ano,Ceará- custo m2 (R$)
2003-1,10216.279199999999
2003-2,10302.95996923077
2003-3,10382.029969230769
2003-4,10456.62996923077
2003-5,10527.71824509284
2003-6,10591.308245092838
2003-7,10654.736632189612
2003-8,10715.543194689613
2003-9,10772.6819825684
2003-10,10829.129041391932
2003-11,10885.445612820502
2003-12,10934.006446153837
2004-1,10982.181581288973
2004-2,11030.032897078445
2004-3,11075.800076565625
2004-4,11125.483576565623
2004-5,11175.477722907086
2004-6,11223.686532430895
2004-7,11271.050253361127
2004-8,11316.200253361128
2004-9,11359.34558669446
2004-10,11400.20058669446
2004-11,11438.824203715736
2004-12,11470.387953715739
2005-1,11500.453259838187
2005-2,11556.823954936926
2005-3,11612.080158726847
2005-4,11678.109958512481
2005-5,11743.75669298762
2005-6,11809.60278376098
2005-7,11872.578998835843
2005-8,11934.877414481683
2005-9,11998.091990395806
2005-10,12062.188725249425
2005-11,12126.719126960807
2005-12,12191.594708882038
2006-1,12258.082020366284
2006-2,12325.149376265821
2006-3,12393.596447269647
2006-4,12462.465148712585
2006-5,12536.583344062521
2006-6,12610.476315922835
2006-7,12685.176107422672
2006-8,12764.372757505562
2006-9,12846.846073916671
2006-10,12931.292002227328
2006-11,13017.634071932083
2006-12,13105.52631414058
2007-1,13194.342403128843
2007-2,13283.192385644976
2007-3,13373.247047496161
2007-4,13472.462902369007
2007-5,13561.858472651793
2007-6,13651.541774277592
2007-7,13741.570121022827
2007-8,13832.774837802155
2007-9,13925.836826033183
2007-10,14018.822639005377
2007-11,14111.665780102432
2007-12,14205.058977105324
2008-1,14300.152533599678
2008-2,14395.98478897179
2008-3,14492.34449127191
2008-4,14588.25057380257
2008-5,14696.644357988078
2008-6,14797.786827660027
2008-7,14900.074593205685
2008-8,15001.900684752276
2008-9,15100.14676490017
2008-10,15195.639636144733
2008-11,15291.834893979782
2008-12,15387.979196470551
2009-1,15483.967214477281
2009-2,15580.295067770106
2009-3,15676.451653119602
2009-4,15771.585828744568
2009-5,15867.965480303254
2009-6,15963.826643724711
2009-7,16060.107355346083
2009-8,16156.294849924108
2009-9,16250.848931804147
2009-10,16343.702240085186
2009-11,16436.638558474573
2009-12,16529.806982522983
2010-1,16622.729390796812
2010-2,16714.383816453894
2010-3,16803.92277619843
2010-4,16892.082537115297
2010-5,16979.560944529843
2010-6,17065.834752418454
2010-7,17149.046954964542
2010-8,17230.935982755538
2010-9,17312.675274551526
2010-10,17395.92789719747
2010-11,17478.815208647527
2010-12,17558.87603139585
2011-1,17637.544130067792
2011-2,17716.9124344676
2011-3,17794.765033787957
2011-4,17873.074286454656
2011-5,17930.553642734452
2011-6,18008.348707273864
2011-7,18066.224259591196
2011-8,18124.864196412524
2011-9,18185.344591238816
2011-10,18249.579400615035
2011-11,18314.59056715646
2011-12,18377.841628558133
2012-1,18441.971519293544
2012-2,18505.626460691437
2012-3,18569.96508608404
2012-4,18635.830031183745
2012-5,18700.381408613714
2012-6,18765.400805839916
2012-7,18830.261337542397
2012-8,18893.684692288884
2012-9,18956.72119656507
2012-10,19019.133358238818
2012-11,19078.786734994763
2012-12,19137.86003145083
2013-1,19196.00215390093
2013-2,19255.335174795484
2013-3,19312.87502663891
2013-4,19374.360740778728
2013-5,19436.781076581257
2013-6,19520.43755482303
2013-7,19585.61793946689
2013-8,19669.886790076598
2013-9,19756.42378178403
2013-10,19841.379887713523
2013-11,19922.49867316451
2013-12,20002.157614103453
2014-1,20088.4299811554
2014-2,20175.64811303013
2014-3,20260.915697771736
2014-4,20346.644689846995
2014-5,20432.85927471767
2014-6,20535.541476066734
2014-7,20639.252510152994
2014-8,20732.855799389945
2014-9,20827.58071994303
2014-10,20921.033159195642
2014-11,21014.6929510519
2014-12,21111.017975869392
2015-1,21208.51405636773
2015-2,21307.98470743848
2015-3,21405.95184075773
2015-4,21505.38218390301
2015-5,21602.2689480484
2015-6,21695.526659711
2015-7,21788.17419246381
2015-8,21880.34146293314
2015-9,21976.873803195514
2015-10,22069.114211795753
2015-11,22162.19042249131
2015-12,22257.389437783695
2016-1,22353.38131173635
2016-2,22448.762767462493
2016-3,22542.661229797846
2016-4,22639.439505961647
2016-5,22736.673889963986
2016-6,22832.051739254723
2016-7,22914.632152789174
2016-8,22994.96275774093
2016-9,23078.828818115442
2016-10,23165.082044608756
2016-11,23254.703450433517
2016-12,23345.021419808647
2017-1,23435.78373499108
2017-2,23526.07352435074
2017-3,23613.214724695896
2017-4,23699.702538653808
2017-5,23786.386219363012
2017-6,23871.034326940862
2017-7,23957.069585455756
2017-8,24050.98479755763
2017-9,24135.88486561119
2017-10,24215.24856076253
2017-11,24296.339057680223
2017-12,24378.548213500402
2018-1,24464.52696402524
2018-2,24552.387895704604
2018-3,24634.914939138118
2018-4,24717.593790349143
2018-5,24798.644490030518
2018-6,24877.76103288902
2018-7,24957.563467452983
2018-8,25042.553494282856
2018-9,25132.471264416366
2018-10,25225.334171483733
2018-11,25329.676867950566
2018-12,25451.246121369284
2019-1,25584.027237727663
2019-2,25721.493023497802
2019-3,25870.612401031412
2019-4,26037.56337401785
2019-5,26215.65665637222
2019-6,26401.76115508669
2019-7,26613.287212803956
2019-8,26842.53451132126
2019-9,27069.198791193994
2019-10,27299.775810083436
2019-11,27542.0537131308
2019-12,27789.153808139996
2020-1,28047.238616193867
2020-2,28307.133139707516
2020-3,28569.059165095325
2020-4,28833.147618686296
2020-5,29106.167288652356
2020-6,29414.966937603822
2020-7,29739.886854026572
2020-8,30067.303045589302
2020-9,30398.943036432287
2020-10,30730.085929738736
2020-11,31062.01127174394
2020-12,31384.390749372375
2021-1,31691.26329280101
2021-2,31994.350151067814
2021-3,32293.21274550801
2021-4,32586.733772946318
2021-5,32872.53949537343
2021-6,33161.76669616937
2021-7,33449.67558476289
2021-8,33712.92473521103
2021-9,33961.472494882255
2021-10,34098.50345735247
2021-11,34234.4247574508
2021-12,34366.305535750165
2022-1,34498.46569715817
2022-2,34621.76121484277
2022-3,34742.99817507482
2022-4,34866.02858424278
2022-5,34993.525890335455
2022-6,35115.79150263591
2022-7,35199.2083248838
2022-8,35264.42305635068
2022-9,35327.63827438073
2022-10,35376.69392750099
2022-11,35421.88541107994
2022-12,35456.44333903335
2023-1,35486.738973236206
2023-2,35510.882556163444
2023-3,35521.26594201051
2023-4,35524.91157996094
2023-5,35513.47742089114
2023-6,35482.97296897716
2023-7,35420.34220015439
2023-8,35331.88407767538
2023-9,35230.72701448097
