Ano,Alagoas- custo m2 (R$)
2003-1,11196.7036
2003-2,11284.186676923078
2003-3,11367.266676923076
2003-4,11444.09417692308
2003-5,11519.250728647217
2003-6,11599.210061980548
2003-7,11665.57264262571
2003-8,11730.16639262571
2003-9,11793.871544140862
2003-10,11855.654485317335
2003-11,11917.334485317333
2003-12,11974.185596428442
2004-1,12028.679109941957
2004-2,12082.189899415642
2004-3,12134.512207107948
2004-4,12184.60120710795
2004-5,12241.502426620144
2004-6,12296.913379001096
2004-7,12350.73663481505
2004-8,12395.857771178686
2004-9,12437.916660067576
2004-10,12478.705573111054
2004-11,12517.161317791906
2004-12,12550.547151125238
2005-1,12581.844498064012
2005-2,12642.549822514296
2005-3,12703.596009159019
2005-4,12764.257220020976
2005-5,12830.615853553585
2005-6,12895.829427531267
2005-7,12955.291659481281
2005-8,13012.797557784455
2005-9,13071.12717339994
2005-10,13128.61973726237
2005-11,13186.89576281227
2005-12,13244.442115414207
2006-1,13301.639391311874
2006-2,13360.153886850037
2006-3,13419.136213124208
2006-4,13477.905274471483
2006-5,13546.578622785019
2006-6,13611.762830870019
2006-7,13677.705268663263
2006-8,13746.638302007103
2006-9,13819.082802636254
2006-10,13894.446193300919
2006-11,13970.923756978265
2006-12,14048.061765941255
2007-1,14126.784717264029
2007-2,14206.492272757907
2007-3,14287.91966970165
2007-4,14369.555662773953
2007-5,14454.34154936075
2007-6,14534.354930907832
2007-7,14613.821369752251
2007-8,14693.961159757782
2007-9,14774.097151634787
2007-10,14853.223477721214
2007-11,14933.234370383638
2007-12,15014.110056252443
2008-1,15096.865524432815
2008-2,15180.400343476098
2008-3,15263.871291570507
2008-4,15346.872211538801
2008-5,15431.667251070785
2008-6,15515.390896546005
2008-7,15597.334734621025
2008-8,15678.771866579347
2008-9,15757.956429121641
2008-10,15834.595278641751
2008-11,15909.807096709932
2008-12,15984.97491996976
2009-1,16059.673963929525
2009-2,16134.04456080025
2009-3,16208.33440341336
2009-4,16281.937969407472
2009-5,16354.622098114281
2009-6,16433.896190945987
2009-7,16512.051114620233
2009-8,16590.279272678763
2009-9,16667.606785187356
2009-10,16746.328410361897
2009-11,16824.972592660688
2009-12,16903.58582168675
2010-1,16980.60246996092
2010-2,17055.746897420675
2010-3,17130.399888317505
2010-4,17205.14536988377
2010-5,17280.790536380606
2010-6,17363.5646850604
2010-7,17438.079660336203
2010-8,17511.85812820794
2010-9,17583.605807016687
2010-10,17654.814773912505
2010-11,17724.75415136701
2010-12,17793.424499421235
2011-1,17860.858980634534
2011-2,17928.635817710143
2011-3,17995.347067851162
2011-4,18062.029571207036
2011-5,18115.291848794783
2011-6,18194.400823298463
2011-7,18238.992142326068
2011-8,18282.55461227925
2011-9,18326.753904924157
2011-10,18370.594662469804
2011-11,18414.047239043433
2011-12,18456.02304815329
2012-1,18498.166869101584
2012-2,18540.872265002414
2012-3,18584.35196638163
2012-4,18627.291804709468
2012-5,18667.939487052852
2012-6,18708.1500778829
2012-7,18745.392841001725
2012-8,18781.99800795408
2012-9,18816.134127948902
2012-10,18852.09613449854
2012-11,18888.741264306416
2012-12,18928.181817631714
2013-1,18968.88400779927
2013-2,19011.066763455696
2013-3,19054.799027654586
2013-4,19097.7511084669
2013-5,19141.321548002816
2013-6,19208.60358268053
2013-7,19248.999965525065
2013-8,19315.46543130463
2013-9,19387.765652101072
2013-10,19458.604463267944
2013-11,19531.300377569947
2013-12,19603.886564070486
2014-1,19677.239288885125
2014-2,19753.401991329687
2014-3,19829.906883703712
2014-4,19908.03575956743
2014-5,19985.240738238
2014-6,20079.754641323416
2014-7,20175.692897720157
2014-8,20265.096572347065
2014-9,20355.938992028554
2014-10,20448.42174435671
2014-11,20539.89716496606
2014-12,20630.78218334687
2015-1,20718.03647652473
2015-2,20804.080608539534
2015-3,20889.808850275942
2015-4,20975.51578543148
2015-5,21063.297717614427
2015-6,21149.71192515752
2015-7,21232.939850514194
2015-8,21316.554337962953
2015-9,21403.309417690674
2015-10,21488.71337209046
2015-11,21579.38130900521
2015-12,21668.500511687558
2016-1,21759.27120449607
2016-2,21850.801243590173
2016-3,21938.95755486079
2016-4,22027.828997129305
2016-5,22113.14926728363
2016-6,22198.02291073354
2016-7,22268.81777337456
2016-8,22338.56685246955
2016-9,22412.475429614908
2016-10,22489.16331609626
2016-11,22566.369470621557
2016-12,22646.043599308407
2017-1,22725.124648613746
2017-2,22806.007672533924
2017-3,22889.706388125647
2017-4,22973.367358285843
2017-5,23054.351676099202
2017-6,23132.934001782563
2017-7,23217.950574774906
2017-8,23294.646099759826
2017-9,23369.03001326588
2017-10,23439.6645152164
2017-11,23509.362089565908
2017-12,23574.777615699797
2018-1,23641.52612802658
2018-2,23707.162759119037
2018-3,23774.520953313506
2018-4,23842.406532873767
2018-5,23909.8162785012
2018-6,23979.073972607683
2018-7,24052.43134121736
2018-8,24129.472842601906
2018-9,24213.52031178828
2018-10,24307.15204407753
2018-11,24407.8909977098
2018-12,24519.210008466707
2019-1,24647.138098449534
2019-2,24786.781434160468
2019-3,24937.742327254884
2019-4,25104.584897441197
2019-5,25282.115459464774
2019-6,25469.07288361509
2019-7,25665.62163630555
2019-8,25868.510841642914
2019-9,26073.322366987464
2019-10,26298.235476247086
2019-11,26530.0520264722
2019-12,26767.16059661315
2020-1,27032.470861529746
2020-2,27304.198100988997
2020-3,27580.361679394508
2020-4,27861.09128604922
2020-5,28150.954240195657
2020-6,28446.56236186289
2020-7,28746.39865552116
2020-8,29050.05941703756
2020-9,29360.565469577068
2020-10,29688.379248307454
2020-11,30006.634905536634
2020-12,30319.334985288202
2021-1,30625.679780733542
2021-2,30918.6606313924
2021-3,31204.92041092774
2021-4,31488.879351410862
2021-5,31758.164340267387
2021-6,32017.31717456948
2021-7,32270.909711119566
2021-8,32518.47314121781
2021-9,32770.174004474444
2021-10,32914.19641368197
2021-11,33047.75529349297
2021-12,33179.598523069355
2022-1,33309.78333305882
2022-2,33414.39846498126
2022-3,33515.78913542251
2022-4,33615.93667331419
2022-5,33713.23355284051
2022-6,33803.67837447765
2022-7,33890.33643568514
2022-8,33975.06233610222
2022-9,34055.60734299862
2022-10,34123.417321232526
2022-11,34158.744903922736
2022-12,34189.80269516711
2023-1,34213.51543471396
2023-2,34229.119531235665
2023-3,34234.46528707693
2023-4,34228.77629251779
2023-5,34203.74640402209
2023-6,34166.16099215697
2023-7,34117.24524436974
2023-8,34053.55912043204
2023-9,33974.47252441789
