Ano,Tocantins- custo m2 (R$)
2003-1,11275.3352
2003-2,11378.766738461536
2003-3,11476.693775498574
2003-4,11568.023775498572
2003-5,11656.641016877884
2003-6,11738.35468354455
2003-7,11815.514360963905
2003-8,11884.442173463907
2003-9,11949.800961342693
2003-10,12013.583608401517
2003-11,12075.130465544375
2003-12,12131.130465544375
2004-1,12184.816411490323
2004-2,12236.198779911374
2004-3,12286.449292731886
2004-4,12335.069792731887
2004-5,12382.955646390423
2004-6,12428.165646390422
2004-7,12472.058204529956
2004-8,12513.012295439048
2004-9,12552.153628772381
2004-10,12589.080367902818
2004-11,12621.017814711326
2004-12,12649.469064711326
2005-1,12679.782125935817
2005-2,12737.373083607976
2005-3,12793.360560039537
2005-4,12847.616004622005
2005-5,12901.49523378779
2005-6,12953.934707602277
2005-7,13005.59389176672
2005-8,13057.621433211674
2005-9,13102.733663002447
2005-10,13148.508412015912
2005-11,13196.869326375392
2005-12,13251.241139861737
2006-1,13305.073398521274
2006-2,13358.358847236192
2006-3,13412.455379222416
2006-4,13464.69509527324
2006-5,13518.318060631229
2006-6,13572.673824187164
2006-7,13630.3460318973
2006-8,13703.806803884389
2006-9,13781.253426505724
2006-10,13862.89342237783
2006-11,13947.707158183444
2006-12,14036.18285907063
2007-1,14125.591916098369
2007-2,14211.357830183319
2007-3,14297.870376031797
2007-4,14385.141596766334
2007-5,14472.018853748868
2007-6,14558.549743952153
2007-7,14642.922907959297
2007-8,14728.3122756367
2007-9,14813.767803033124
2007-10,14898.90054058477
2007-11,14991.450992188216
2007-12,15082.348169041541
2008-1,15170.981781881945
2008-2,15260.561544807671
2008-3,15351.668130472397
2008-4,15443.432676416272
2008-5,15538.393851541641
2008-6,15632.785194213284
2008-7,15729.687875234225
2008-8,15824.76913734314
2008-9,15904.54245027087
2008-10,15980.214471164038
2008-11,16050.678778282125
2008-12,16118.132688896383
2009-1,16192.291052770375
2009-2,16266.31736168205
2009-3,16340.658168447333
2009-4,16414.855878496626
2009-5,16487.386782205405
2009-6,16560.924495031053
2009-7,16634.746836889804
2009-8,16711.17957013328
2009-9,16786.210535327093
2009-10,16861.027325782074
2009-11,16935.547260173855
2009-12,17003.439428908256
2010-1,17070.008026048396
2010-2,17134.505296337506
2010-3,17213.00843412383
2010-4,17290.52823623916
2010-5,17368.356104806975
2010-6,17447.65370181239
2010-7,17526.03142645727
2010-8,17608.0945601557
2010-9,17688.663242253915
2010-10,17767.776523722958
2010-11,17846.13330030579
2010-12,17926.78563748995
2011-1,18006.992228277573
2011-2,18079.330823696084
2011-3,18151.245588226986
2011-4,18224.28186210004
2011-5,18286.161167887865
2011-6,18378.328808411996
2011-7,18443.526039297318
2011-8,18508.82826791788
2011-9,18575.68456787267
