Ano,Rondônia- custo m2 (R$)
2003-1,10006.623599999999
2003-2,10093.568215384614
2003-3,10174.904141310542
2003-4,10253.662355596254
2003-5,10327.46028663074
2003-6,10411.174286630736
2003-7,10477.421383404931
2003-8,10541.390133404933
2003-9,10602.560133404932
2003-10,10659.429839287286
2003-11,10712.774982144427
2003-12,10763.951093255539
2004-1,10814.11163379608
2004-2,10860.12005484871
2004-3,10905.726977925635
2004-4,10948.117227925633
2004-5,10990.759666950025
2004-6,11028.944905045262
2004-7,11064.106300394102
2004-8,11096.870618575918
2004-9,11125.676396353696
2004-10,11153.883787658042
2004-11,11180.632085530382
2004-12,11205.521460530383
2005-1,11230.012889101814
2005-2,11284.898997042665
2005-3,11338.581666056096
2005-4,11389.970186969267
2005-5,11441.713612099333
2005-6,11494.36776159869
2005-7,11539.346608026608
2005-8,11583.42283710052
2005-9,11628.058198400431
2005-10,11674.114689522787
2005-11,11721.158053813306
2005-12,11770.398728745324
2006-1,11821.517864163485
2006-2,11873.345746415878
2006-3,11928.341985019291
2006-4,11983.287393327324
2006-5,12049.413315070218
2006-6,12117.146450746139
2006-7,12187.549747597179
2006-8,12262.900430193158
2006-9,12343.487365124121
2006-10,12433.433915507194
2006-11,12523.159224238807
2006-12,12615.698553600207
2007-1,12710.200739173059
2007-2,12807.949266725533
2007-3,12901.55437427008
2007-4,12995.98871525404
2007-5,13093.633583178218
2007-6,13190.657051975746
2007-7,13287.830098718136
2007-8,13384.124659752657
2007-9,13481.444901031271
2007-10,13579.077690880878
2007-11,13676.717752133087
2007-12,13776.160807200837
2008-1,13876.987992475439
2008-2,14007.982893053231
2008-3,14141.643242984608
2008-4,14275.746738045122
2008-5,14412.905296100591
2008-6,14542.995540611415
2008-7,14672.387358771932
2008-8,14799.18771818366
2008-9,14925.091948550813
2008-10,15048.493470661562
2008-11,15168.05591056267
2008-12,15284.356455181523
2009-1,15399.455391948492
2009-2,15513.74222159697
2009-3,15627.15534312496
2009-4,15741.695362897506
2009-5,15867.308355706557
2009-6,15991.208453105095
2009-7,16114.314808230185
2009-8,16236.537965567164
2009-9,16362.16231874705
2009-10,16487.530021149414
2009-11,16614.383334012036
2009-12,16742.261815274873
2010-1,16888.295713398835
2010-2,17035.71913627482
2010-3,17150.644773891585
2010-4,17264.907662277445
2010-5,17381.74666073117
2010-6,17493.90383143791
2010-7,17605.614816964982
2010-8,17717.71374468321
2010-9,17830.46958195871
2010-10,17942.463411211935
2010-11,18052.555858978267
2010-12,18161.369939558175
2011-1,18275.39511270872
2011-2,18389.97286211199
2011-3,18519.771650693932
2011-4,18652.696881460644
2011-5,18759.015483880296
2011-6,18879.650323230784
2011-7,18973.886279763963
2011-8,19068.662228162608
2011-9,19164.420274338023
2011-10,19260.096559146004
2011-11,19357.53363135002
2011-12,19453.880168030384
2012-1,19549.27380788254
2012-2,19636.932136341387
2012-3,19720.77627919989
2012-4,19809.61243236945
2012-5,19899.172325636635
2012-6,19983.855502471433
2012-7,20069.066556982325
2012-8,20153.10577616635
2012-9,20234.57500129866
2012-10,20313.38123434642
2012-11,20390.606087879773
2012-12,20469.1052762247
2013-1,20545.073548401568
2013-2,20617.845965456527
2013-3,20688.276436953354
2013-4,20744.468983611707
2013-5,20811.968006104587
2013-6,20904.869894313248
2013-7,20971.23457943738
2013-8,21060.75250392051
2013-9,21152.919652405366
2013-10,21242.873925427146
2013-11,21332.38325943288
2013-12,21416.972435516207
2014-1,21499.329012403672
2014-2,21582.233812495942
2014-3,21655.30935690726
2014-4,21729.154929921697
2014-5,21818.843144157454
2014-6,21903.03540575992
2014-7,21986.345199704585
2014-8,22071.296192413207
2014-9,22156.870690703952
2014-10,22242.74366395712
2014-11,22330.24208088795
2014-12,22413.628733806487
2015-1,22496.025334981627
2015-2,22578.70210613632
2015-3,22661.729782476727
2015-4,22745.491075242513
2015-5,22828.290301602323
2015-6,22905.48810355125
2015-7,22982.324801698975
2015-8,23061.533785826756
2015-9,23141.878505865665
2015-10,23221.909298793424
2015-11,23306.198388045796
2015-12,23390.861553935858
2016-1,23476.48174002605
2016-2,23563.85750997753
2016-3,23650.905136456746
2016-4,23736.953009508772
2016-5,23822.820317255453
2016-6,23890.74291262479
2016-7,23959.915718887343
2016-8,24038.593688666584
2016-9,24120.33567838604
2016-10,24206.02965772649
2016-11,24291.277943313624
2016-12,24375.7864303019
2017-1,24469.453730230376
2017-2,24565.22920768444
2017-3,24661.26261792011
2017-4,24760.281043133244
2017-5,24858.051042477946
2017-6,24962.115343312154
2017-7,25070.886511470533
2017-8,25181.541648404647
2017-9,25291.307523151132
2017-10,25400.93954391206
2017-11,25509.150569322643
2017-12,25614.72979751197
2018-1,25723.100169829853
2018-2,25836.17952554013
2018-3,25949.46630136794
2018-4,26061.06020269266
2018-5,26171.325451533143
2018-6,26282.10718896738
2018-7,26392.600133382533
2018-8,26507.314101025295
2018-9,26617.9979869918
2018-10,26736.17762594294
2018-11,26870.57513549838
2018-12,27020.605690440923
2019-1,27172.86200187233
2019-2,27325.81910945686
2019-3,27479.844821737926
2019-4,27642.820989162785
2019-5,27821.008743163384
2019-6,28026.54604317737
2019-7,28239.372179909315
2019-8,28443.133928244806
2019-9,28652.497444159908
2019-10,28869.970095609067
2019-11,29095.190719113085
2019-12,29323.987252782284
2020-1,29563.371894726573
2020-2,29802.983970744877
2020-3,30041.448347177622
2020-4,30306.0312460717
2020-5,30590.583920426376
2020-6,30890.30082795481
2020-7,31203.47253487292
2020-8,31560.016257352316
2020-9,31918.68017891001
2020-10,32279.61532568385
2020-11,32635.44895220917
2020-12,32973.22311173388
2021-1,33300.24938563782
2021-2,33633.382597551405
2021-3,33971.43634220639
2021-4,34310.39208752207
2021-5,34646.13129361104
2021-6,34981.75012117119
2021-7,35293.171632966994
2021-8,35593.85447894776
2021-9,35899.01877590088
2021-10,36062.30461147676
2021-11,36224.31395461174
2021-12,36387.06932830979
2022-1,36553.56913728395
2022-2,36715.85678228035
2022-3,36881.50049376444
2022-4,37055.478175677556
2022-5,37207.35683678203
2022-6,37343.692080610475
2022-7,37468.11780710448
2022-8,37581.184203929115
2022-9,37640.09912691576
2022-10,37694.05268455247
2022-11,37739.65468579307
2022-12,37777.80587459828
2023-1,37811.98159088503
2023-2,37839.11608451416
2023-3,37850.73671585212
2023-4,37840.736618835384
2023-5,37819.77769297844
2023-6,37780.47355341936
2023-7,37701.85344177742
2023-8,37607.77325910772
2023-9,37491.98854067843
