Ano,Roraima- custo m2 (R$)
2003-1,12652.753599999998
2003-2,12757.33629230769
2003-3,12860.789996011395
2003-4,12962.516424582824
2003-5,13063.753665962135
2003-6,13159.324665962136
2003-7,13248.37305305891
2003-8,13334.437428058907
2003-9,13418.329852301333
2003-10,13491.9783817131
2003-11,13566.585238855956
2003-12,13637.5246833004
2004-1,13706.379277894994
2004-2,13772.524804210783
2004-3,13836.281727287706
2004-4,13897.557727287704
2004-5,13955.869922409658
2004-6,14013.303731933465
2004-7,14068.01768542184
2004-8,14118.446776330931
2004-9,14168.094331886485
2004-10,14216.169984060398
2004-11,14253.438281932738
2004-12,14292.023698599407
2005-1,14327.454719007572
2005-2,14395.755966334254
2005-3,14460.770449477657
2005-4,14522.387805670842
2005-5,14581.091915488967
2005-6,14636.322696091553
2005-7,14688.505513032975
2005-8,14740.210869358974
2005-9,14792.169102854894
2005-10,14844.122965111086
2005-11,14892.645507629415
2005-12,14939.181839645198
2006-1,14986.497495897132
2006-2,15033.688684019626
2006-3,15087.87427340348
2006-4,15142.376570262984
2006-5,15197.175934405339
2006-6,15254.58544485423
2006-7,15313.183847158734
2006-8,15375.614585153366
2006-9,15445.659234313007
2006-10,15516.575048648243
2006-11,15598.05188670105
2006-12,15680.231960267753
2007-1,15757.688251322208
2007-2,15837.063629532713
2007-3,15916.718887965335
2007-4,15997.847223444673
2007-5,16081.319252378837
2007-6,16164.026544968425
2007-7,16248.210705149588
2007-8,16333.01713764176
2007-9,16420.760939035288
2007-10,16516.50832344713
2007-11,16612.468636882564
2007-12,16710.226047683645
2008-1,16807.573888664025
2008-2,16905.884019128654
2008-3,17005.46167902884
2008-4,17095.43672812323
2008-5,17183.684078283644
2008-6,17271.625877138307
2008-7,17358.389559429816
2008-8,17443.686002537386
2008-9,17532.880725341147
2008-10,17615.03218434172
2008-11,17696.45069731506
2008-12,17768.058632225544
2009-1,17838.73958471448
2009-2,17909.590224171465
2009-3,17978.116889368175
2009-4,18045.488277151904
2009-5,18111.227074166338
2009-6,18175.412539917103
2009-7,18239.851029609938
2009-8,18302.80226072137
2009-9,18365.135222416873
2009-10,18436.86612615935
2009-11,18501.08567315348
2009-12,18564.22765348554
2010-1,18625.425645440682
2010-2,18689.73302823204
2010-3,18752.61362025456
2010-4,18814.663455789778
2010-5,18879.582572680934
2010-6,18949.16458277067
2010-7,19016.585984926434
2010-8,19084.052238508
2010-9,19151.502365772703
2010-10,19210.290358434573
2010-11,19284.158076273205
2010-12,19357.122104415208
2011-1,19429.3682977252
2011-2,19503.36561839889
2011-3,19577.79491215863
2011-4,19652.589973848233
2011-5,19702.682049291016
2011-6,19781.611538579273
2011-7,19832.281722225438
2011-8,19882.722960850246
2011-9,19934.508077179406
2011-10,20001.00527829701
2011-11,20055.9446487488
2011-12,20108.35238294462
2012-1,20163.554928443788
2012-2,20222.302056668337
2012-3,20276.275098065
2012-4,20330.137373122358
2012-5,20386.277248986287
2012-6,20442.832038298642
2012-7,20496.182190452273
2012-8,20552.685582401777
2012-9,20608.411364930223
2012-10,20681.861752668134
2012-11,20753.165454591268
2012-12,20810.200503128366
2013-1,20870.40924595925
2013-2,20929.972122453823
2013-3,20987.15633682229
2013-4,21042.252080182774
2013-5,21095.561510924294
2013-6,21176.049050957627
2013-7,21229.838796108204
2013-8,21312.114042513975
2013-9,21397.376921731604
2013-10,21500.142816518382
2013-11,21587.14439893107
2013-12,21672.728475465396
2014-1,21761.09737531276
2014-2,21848.422119126408
2014-3,21933.608038768416
2014-4,22020.57197633379
2014-5,22109.01288660341
2014-6,22193.715654718042
2014-7,22275.781034644973
2014-8,22356.544888608085
2014-9,22462.29426220413
2014-10,22568.578607046453
2014-11,22657.739767339892
2014-12,22750.625161477627
2015-1,22844.095052464338
2015-2,22934.479048515466
2015-3,23031.06061843509
2015-4,23130.278664998616
2015-5,23230.08165652547
2015-6,23333.809414598963
2015-7,23436.571870999804
2015-8,23538.593974569023
2015-9,23640.27723848851
2015-10,23745.775204136615
2015-11,23833.92055898597
2015-12,23924.798439803413
2016-1,24021.612112545004
2016-2,24117.955678610968
2016-3,24214.10126145759
2016-4,24310.443572124717
2016-5,24412.282992446984
2016-6,24517.19360685195
2016-7,24626.83846301795
2016-8,24738.68779829087
2016-9,24853.488878080312
2016-10,24949.45366615942
2016-11,25050.256626549482
2016-12,25152.991052247635
2017-1,25255.199539814366
2017-2,25359.979019148042
2017-3,25467.062487936466
2017-4,25569.38252608955
2017-5,25673.378523254676
2017-6,25781.52825522874
2017-7,25891.560884629343
2017-8,26001.754537968725
2017-9,26110.990467834024
2017-10,26227.21420720842
2017-11,26339.434595026218
2017-12,26451.891003924993
2018-1,26564.89207666217
2018-2,26673.14452490946
2018-3,26778.761236058413
2018-4,26882.7089906421
2018-5,26986.986244081236
2018-6,27086.679779828868
2018-7,27184.530518052885
2018-8,27281.92790693115
2018-9,27389.07280710748
2018-10,27499.877581169258
2018-11,27614.177865149053
2018-12,27747.628298589865
2019-1,27886.607630147864
2019-2,28031.969223828142
2019-3,28179.32269739304
2019-4,28336.614130239097
2019-5,28511.684979303373
2019-6,28690.36143759008
2019-7,28879.791502536227
2019-8,29081.273555962907
2019-9,29297.176393064823
2019-10,29527.699167049122
2019-11,29778.324778474445
2019-12,30035.36661895298
2020-1,30296.809794769873
2020-2,30562.56750330269
2020-3,30837.237155922958
2020-4,31114.376256328356
2020-5,31406.464363791343
2020-6,31715.653713173182
2020-7,32035.750528139393
2020-8,32366.246650794223
2020-9,32704.60723740367
2020-10,33063.09222577706
2020-11,33423.08905525885
2020-12,33784.254997914155
2021-1,34123.23186932894
2021-2,34462.25073135304
2021-3,34796.36974171069
2021-4,35136.90274261513
2021-5,35473.22393878607
2021-6,35794.5331012245
2021-7,36115.78456374765
2021-8,36427.94340173156
2021-9,36734.90217409418
2021-10,36901.292756492585
2021-11,37061.55182768272
2021-12,37200.14332500643
2022-1,37336.5508812522
2022-2,37473.60456233708
2022-3,37610.69553027595
2022-4,37744.82919467188
2022-5,37884.87363694055
2022-6,38015.285209692796
2022-7,38130.02640728799
2022-8,38236.249099036315
2022-9,38331.28427598978
2022-10,38415.96097917245
2022-11,38462.073542960105
2022-12,38499.86054386191
2023-1,38519.67678900765
2023-2,38535.3427799041
2023-3,38537.02712920911
2023-4,38533.839279766034
2023-5,38506.140514832136
2023-6,38458.88612522063
2023-7,38396.98609371014
2023-8,38312.39715615909
2023-9,38203.58359258255
