Ano,Piauí- custo m2 (R$)
2003-1,9410.9484
2003-2,9501.490707692308
2003-3,9582.3033002849
2003-4,9659.062943142042
2003-5,9730.815356935147
2003-6,9797.367023601813
2003-7,9861.661862311492
2003-8,9922.93154981149
2003-9,9978.64458011452
2003-10,10034.52163893805
2003-11,10088.537067509478
2003-12,10139.875956398368
2004-1,10198.970280722691
2004-2,10250.50843861743
2004-3,10299.378438617428
2004-4,10346.483688617427
2004-5,10395.054664227186
2004-6,10443.110854703375
2004-7,10489.057598889422
2004-8,10532.873962525786
2004-9,10574.670629192451
2004-10,10613.2280204968
2004-11,10650.26312687978
2004-12,10683.806043546445
2005-1,10714.716655791344
2005-2,10774.764579378923
2005-3,10834.25282165824
2005-4,10892.543424135247
2005-5,10951.461393135109
2005-6,11009.318455098373
2005-7,11067.896851659529
2005-8,11126.412055523771
2005-9,11186.875739313818
2005-10,11248.243109909723
2005-11,11309.193344011188
2005-12,11370.903268021428
2006-1,11433.47627438108
2006-2,11498.536804863905
2006-3,11563.671669481177
2006-4,11629.083572151869
2006-5,11698.497855489306
2006-6,11767.270981841591
2006-7,11837.089147701558
2006-8,11910.2599956365
2006-9,11990.856037128555
2006-10,12075.520025045618
2006-11,12162.018841464982
2006-12,12260.7503866606
2007-1,12360.095985499664
2007-2,12459.318012636568
2007-3,12554.237062294887
2007-4,12648.821026389513
2007-5,12743.470569292658
2007-6,12837.411981050975
2007-7,12930.895114233681
2007-8,13025.13711959234
2007-9,13121.654773961085
2007-10,13217.17638691307
2007-11,13314.805025219259
2007-12,13413.60342687657
2008-1,13526.27179746545
2008-2,13640.445787732477
2008-3,13745.602297586935
2008-4,13851.157616527873
2008-5,13957.65708682126
2008-6,14063.176458889257
2008-7,14168.390856380029
2008-8,14273.839870842854
2008-9,14375.013949928698
2008-10,14471.719417536864
2008-11,14564.67756840403
2008-12,14657.904685280339
2009-1,14751.614773007272
2009-2,14845.846380915593
2009-3,14941.10451088047
2009-4,15035.075275137317
2009-5,15129.169239397477
2009-6,15224.454314297576
2009-7,15321.487219057712
2009-8,15418.99481303371
2009-9,15515.162521063126
2009-10,15609.489209779493
2009-11,15704.986206164524
2009-12,15799.221536387893
2010-1,15891.519661071801
2010-2,15980.979005227031
2010-3,16069.250907624883
2010-4,16157.284552727693
2010-5,16244.322449384834
2010-6,16332.265620049395
2010-7,16419.508051909812
2010-8,16507.28064773695
2010-9,16592.536581959277
2010-10,16679.657247919087
2010-11,16765.743734253418
2010-12,16851.534268250343
2011-1,16937.168953617074
2011-2,17010.270059343806
2011-3,17096.999726250506
2011-4,17184.297587788667
2011-5,17252.027430904003
2011-6,17341.34474093475
2011-7,17408.17781086612
2011-8,17474.294761719353
2011-9,17542.908434141507
2011-10,17610.203248694128
2011-11,17678.135576018914
2011-12,17760.968216220026
2012-1,17843.581209685985
2012-2,17926.118588229132
2012-3,17999.179191963867
2012-4,18072.076299807526
2012-5,18144.402661992823
2012-6,18217.70736020931
2012-7,18287.056171232987
2012-8,18354.641234892642
2012-9,18421.403287691737
2012-10,18490.2301592373
2012-11,18559.93266763155
2012-12,18640.66509484335
2013-1,18720.801234161572
2013-2,18800.66781131554
2013-3,18881.992867478228
2013-4,18950.271503013486
2013-5,19018.504644140525
2013-6,19107.328464818824
2013-7,19173.605275510334
2013-8,19262.18134621736
2013-9,19350.928215288746
2013-10,19439.076374087672
2013-11,19529.097254197743
2013-12,19617.42177824221
2014-1,19709.19960603858
2014-2,19802.41018555598
2014-3,19896.203891623874
2014-4,19990.36990590265
2014-5,20086.600387659695
2014-6,20179.395035122285
2014-7,20267.212742773565
2014-8,20358.072672805007
2014-9,20446.33576337465
2014-10,20533.769895531444
2014-11,20622.387033006835
2014-12,20723.57997923898
2015-1,20812.68783402257
2015-2,20905.783274836056
2015-3,20998.456651642595
2015-4,21091.78101458473
2015-5,21183.970188290263
2015-6,21275.101730007606
2015-7,21365.81791909309
2015-8,21460.75164651315
2015-9,21556.14226488653
2015-10,21650.883776102808
2015-11,21745.563314919447
2015-12,21839.655479423967
2016-1,21935.69984067258
2016-2,22020.856784236537
2016-3,22107.312225025937
2016-4,22196.837088972916
2016-5,22285.431113117207
2016-6,22371.80418914696
2016-7,22463.72906984133
2016-8,22559.325117332515
2016-9,22659.68210599634
2016-10,22764.322643600866
2016-11,22872.730046622688
2016-12,22979.9566387373
2017-1,23081.154733829102
2017-2,23186.503241988423
2017-3,23290.35487397112
2017-4,23394.428307079863
2017-5,23497.952129375688
2017-6,23602.77339347947
2017-7,23708.14526416257
2017-8,23810.76031202113
2017-9,23909.971713358023
2017-10,24010.61762046969
2017-11,24110.240760150646
2017-12,24214.224789645163
2018-1,24320.204367404775
2018-2,24425.91731692992
2018-3,24524.673654331826
2018-4,24618.537356970726
2018-5,24710.509403256394
2018-6,24801.903041830665
2018-7,24897.093834742576
2018-8,24995.17311565893
2018-9,25105.425319706403
2018-10,25219.341711822934
2018-11,25340.941080562163
2018-12,25471.152530234398
2019-1,25620.752446387396
2019-2,25767.901379296756
2019-3,25920.856443323453
2019-4,26081.256475351052
2019-5,26247.03807062189
2019-6,26416.680844933042
2019-7,26598.46875210556
