Ano,Paraná- custo m2 (R$)
2003-1,11767.369999999997
2003-2,11852.421538461536
2003-3,11934.318945868945
2003-4,12015.342874440375
2003-5,12093.451150302446
2003-6,12180.915150302444
2003-7,12264.968376108896
2003-8,12328.331188608896
2003-9,12387.795431033137
2003-10,12447.10513691549
2003-11,12505.026851201204
2003-12,12561.51240675676
2004-1,12615.57267702703
2004-2,12667.814782290188
2004-3,12717.622731008138
2004-4,12765.542731008138
2004-5,12812.219804178869
2004-6,12856.789804178869
2004-7,12905.677013481196
2004-8,12947.438831663016
2004-9,12986.305498329682
2004-10,13023.056585286202
2004-11,13057.148074647905
2004-12,13088.840782981235
2005-1,13117.689966654705
2005-2,13173.820374137453
2005-3,13228.424636090025
2005-4,13281.625976706782
2005-5,13333.876244099974
2005-6,13384.122470504004
2005-7,13431.284660712197
2005-8,13477.62193182655
2005-9,13523.43745719834
2005-10,13570.015253650692
2005-11,13615.806684604471
2005-12,13661.911783245354
2006-1,13708.232790928794
2006-2,13754.44646672271
2006-3,13800.755276609088
2006-4,13848.627777539721
2006-5,13899.059309101587
2006-6,13963.398482671437
2006-7,14030.979476110064
2006-8,14098.37973044943
2006-9,14169.280565118539
2006-10,14242.524954236678
2006-11,14318.145533194851
2006-12,14395.199562961114
2007-1,14476.14586459336
2007-2,14558.079658428842
2007-3,14640.074133618462
2007-4,14722.364327445572
2007-5,14805.031232562687
2007-6,14887.785211919072
2007-7,14984.325063784687
2007-8,15075.696092418817
2007-9,15168.277401818661
2007-10,15261.706176198664
2007-11,15355.621909311893
2007-12,15450.190179203877
2008-1,15545.055248509156
2008-2,15640.525910908753
2008-3,15737.180389361532
2008-4,15834.277432478928
2008-5,15931.341098906258
2008-6,16027.724400739005
2008-7,16127.015337842426
2008-8,16224.193824816557
2008-9,16317.575132864864
2008-10,16407.57991996173
2008-11,16496.205123343872
2008-12,16583.882461918343
2009-1,16671.560072101143
2009-2,16756.964239601304
2009-3,16843.360659625232
2009-4,16929.803854033533
2009-5,17017.320374984305
2009-6,17106.841581972505
2009-7,17213.97824258584
2009-8,17308.350960520555
2009-9,17402.963304767527
2009-10,17497.65240482771
2009-11,17593.01110337116
2009-12,17689.12169916829
2010-1,17784.73560773899
2010-2,17882.335206906944
2010-3,17981.925600702827
2010-4,18082.91938052612
