Ano,Distrito Federal- custo m2 (R$)
2003-1,12173.796800000002
2003-2,12272.096030769231
2003-3,12362.351215954417
2003-4,12449.34585881156
2003-5,12543.454479501215
2003-6,12612.328146167882
2003-7,12676.302339716269
2003-8,12736.728277216269
2003-9,12794.057368125359
2003-10,12847.932074007713
2003-11,12899.463216864855
2003-12,12949.531827975965
2004-1,12996.507773921912
2004-2,13042.114616027175
2004-3,13087.611795514355
2004-4,13132.053795514355
2004-5,13181.256722343624
2004-6,13223.290293772192
2004-7,13263.386805400098
2004-8,13301.74839630919
2004-9,13338.041507420301
2004-10,13371.495637855085
2004-11,13402.26776551466
2004-12,13430.517140514661
2005-1,13455.513671126906
2005-2,13506.304423598884
2005-3,13555.809084677037
2005-4,13603.971898324438
2005-5,13654.523041987968
2005-6,13698.320971834635
2005-7,13742.43143766457
2005-8,13786.894480479841
2005-9,13831.132974423996
2005-10,13876.173497001519
2005-11,13922.129852572822
2005-12,13969.055294117883
2006-1,14017.406997508533
2006-2,14066.7853490103
2006-3,14116.182710907917
2006-4,14165.383137752682
2006-5,14224.097001879996
2006-6,14279.998232074615
2006-7,14339.683700203237
2006-8,14403.090371525746
2006-9,14472.527962856699
2006-10,14544.863196641114
2006-11,14620.08763661634
2006-12,14698.312736026577
2007-1,14779.55121756764
2007-2,14861.817289943978
2007-3,14946.915103542859
2007-4,15032.243185560528
2007-5,15123.613619993921
2007-6,15213.180162402203
2007-7,15302.462798944398
2007-8,15391.891806317455
2007-9,15481.671343579448
2007-10,15572.574575603026
2007-11,15665.150720064283
2007-12,15758.905839809007
2008-1,15853.199320333317
2008-2,15946.521204472598
2008-3,16040.042752543257
2008-4,16136.399692168468
2008-5,16242.815132054502
2008-6,16340.940808180512
2008-7,16440.482289325533
2008-8,16538.393485021905
2008-9,16633.35109958305
2008-10,16722.51993910808
2008-11,16811.68313793394
2008-12,16902.40467877715
2009-1,16990.780228629206
2009-2,17076.84959620189
2009-3,17162.989439186746
2009-4,17248.265854199886
2009-5,17346.894276008854
2009-6,17440.384697560177
2009-7,17532.95989215524
2009-8,17625.649424669748
2009-9,17720.916518921837
2009-10,17815.182542908413
2009-11,17920.555154486075
2009-12,18025.262183759987
2010-1,18128.59231322838
2010-2,18232.196251858888
2010-3,18336.267783438198
2010-4,18440.451355497276
2010-5,18542.64710372848
2010-6,18650.3451031504
2010-7,18758.21457855795
2010-8,18863.968706909625
2010-9,18966.096772662437
2010-10,19067.861174153855
2010-11,19171.038954460913
2010-12,19274.376624185952
2011-1,19374.518908786133
2011-2,19475.362759401578
2011-3,19575.758130079124
2011-4,19676.535450301417
2011-5,19751.76585022185
2011-6,19853.735270103753
2011-7,19929.372832808724
2011-8,20002.94840302614
2011-9,20079.436137278313
2011-10,20151.920415203957
2011-11,20224.690371781417
2011-12,20285.287825195606
2012-1,20346.801205633066
2012-2,20406.07159119235
2012-3,20465.697210362418
2012-4,20524.22148438128
2012-5,20583.35495639932
2012-6,20644.37042278036
2012-7,20711.24420481362
2012-8,20777.271340043328
2012-9,20843.256291739937
2012-10,20911.14607784356
2012-11,20980.570463633147
2012-12,21048.388861779516
2013-1,21114.607478873266
2013-2,21179.165000711775
2013-3,21243.006475024227
2013-4,21305.189094308822
2013-5,21368.17141357428
2013-6,21455.29254752025
2013-7,21516.91085930426
2013-8,21605.211431273558
2013-9,21695.622513482685
2013-10,21782.605500752165
2013-11,21871.56070657968
2013-12,21962.276427698012
2014-1,22057.34313387153
2014-2,22153.297050774356
2014-3,22252.250223418887
2014-4,22351.068856338406
2014-5,22450.331047602835
2014-6,22548.708110688625
2014-7,22645.14990023777
2014-8,22719.754710348465
2014-9,22801.751717905714
2014-10,22883.427134766243
2014-11,22964.87552368303
2014-12,23055.136443275882
2015-1,23143.820067388056
2015-2,23232.615834500604
2015-3,23323.11299437384
2015-4,23413.546596809552
2015-5,23507.086545840175
2015-6,23610.384813845605
2015-7,23715.607309076735
2015-8,23809.70621621495
2015-9,23906.884273050488
2015-10,24004.58328855187
2015-11,24106.069161772273
2015-12,24208.5054567762
2016-1,24309.979518594126
2016-2,24410.633322363978
2016-3,24510.68773606988
2016-4,24612.24829755256
2016-5,24715.62338818958
2016-6,24823.197109426044
2016-7,24934.579333890073
2016-8,25047.286669270736
2016-9,25163.52732149364
2016-10,25280.9994766689
2016-11,25398.628095891403
2016-12,25517.470393283413
2017-1,25624.66618818152
2017-2,25736.27855799364
2017-3,25848.463103371047
2017-4,25964.764738248537
2017-5,26080.870414604433
2017-6,26199.071105803705
2017-7,26309.876336251833
2017-8,26428.656724561522
2017-9,26545.047959425745
2017-10,26659.500687719115
2017-11,26773.989818314367
2017-12,26886.31268885604
2018-1,26995.05426502094
2018-2,27101.848239437804
2018-3,27209.329360194413
2018-4,27313.914291299
2018-5,27416.273189130563
2018-6,27517.64910343548
2018-7,27615.180572700978
2018-8,27715.56243471753
2018-9,27827.699695236846
2018-10,27944.542600823446
2018-11,28062.1520523368
2018-12,28191.513969815278
2019-1,28330.798532601646
2019-2,28481.430417181647
2019-3,28642.64841430794
2019-4,28808.463216571956
2019-5,28985.939103884673
2019-6,29177.172138359783
2019-7,29377.910322697662
2019-8,29586.351424461856
2019-9,29795.760704051667
2019-10,30016.701372309337
2019-11,30258.583835260153
2019-12,30509.25065193252
2020-1,30762.50734505653
2020-2,31028.332714036842
2020-3,31306.48566249805
2020-4,31591.259464585877
2020-5,31906.29263138766
2020-6,32231.085273066365
2020-7,32561.06356224251
2020-8,32901.0419906005
2020-9,33238.20320602669
2020-10,33564.210420532596
2020-11,33903.81629440422
2020-12,34245.47046260967
2021-1,34575.87141144221
2021-2,34901.769021214466
2021-3,35228.30695190902
2021-4,35548.29182002332
2021-5,35880.25934254274
2021-6,36201.057918841885
2021-7,36510.06211844356
2021-8,36807.68705305062
2021-9,37099.34512710345
2021-10,37263.825534398355
2021-11,37423.56488964276
2021-12,37567.291105817225
2022-1,37707.513362699494
2022-2,37850.596075889094
