Ano,São Paulo- custo m2 (R$)
2003-1,12606.426399999998
2003-2,12718.304861538461
2003-3,12824.57338005698
2003-4,12924.495880056978
2003-5,13031.542086953532
2003-6,13117.532086953532
2003-7,13197.411441792243
2003-8,13274.39175429224
2003-9,13342.029330049818
2003-10,13407.377271226287
2003-11,13469.459556940576
2003-12,13529.70289027391
2004-1,13588.582349733368
2004-2,13645.447612891263
2004-3,13699.797869301521
2004-4,13751.906869301518
2004-5,13809.541015642979
2004-6,13860.191729928694
2004-7,13908.614055510088
2004-8,13953.04064641918
2004-9,13993.184424196957
2004-10,14031.231815501305
2004-11,14067.99968784173
2004-12,14101.257812841732
2005-1,14132.641282229484
2005-2,14194.801994111722
2005-3,14256.320098858116
2005-4,14315.698807405077
2005-5,14378.490907963202
2005-6,14432.60619002462
2005-7,14485.64178396485
2005-8,14538.005872580618
2005-9,14589.812691321195
2005-10,14642.383780326734
2005-11,14695.042280512458
2005-12,14748.645193238415
2006-1,14803.249730033607
2006-2,14858.17049289688
2006-3,14913.904633305154
2006-4,14970.00252644809
2006-5,15038.428356185774
2006-6,15104.40483252338
2006-7,15172.860406045722
2006-8,15244.80135197502
2006-9,15321.171978619017
2006-10,15401.093153199059
2006-11,15483.753180499012
2006-12,15568.412639532835
2007-1,15654.263350281632
2007-2,15741.634004731677
2007-3,15830.131392703513
2007-4,15919.286725230968
2007-5,16020.403621513131
2007-6,16117.91449321823
2007-7,16216.030172875246
2007-8,16315.140344077498
2007-9,16414.744925128452
2007-10,16514.274358471455
2007-11,16615.475390678494
2007-12,16717.932597008414
2008-1,16820.875197085352
2008-2,16923.709186208856
2008-3,17026.868139133592
2008-4,17131.42106782397
2008-5,17249.35491560715
2008-6,17358.083620901463
2008-7,17465.139106378567
2008-8,17570.07152883434
2008-9,17672.007858974324
2008-10,17771.014713675453
2008-11,17868.265561848442
2008-12,17964.97173289639
2009-1,18060.618857250745
2009-2,18156.2510104542
2009-3,18251.448908530165
2009-4,18345.61783742459
2009-5,18451.171329510173
2009-6,18546.748833755013
2009-7,18643.326473357803
2009-8,18740.732928469693
2009-9,18838.69073631443
2009-10,18936.263303889657
2009-11,19033.872261959412
2009-12,19129.930565454943
2010-1,19225.94480970895
2010-2,19321.395822211478
2010-3,19417.09636580336
2010-4,19511.950411245605
2010-5,19615.994275397064
2010-6,19708.045894984618
2010-7,19798.67063527203
2010-8,19888.01617667802
2010-9,19976.36463887891
2010-10,20063.99559357084
2010-11,20152.508876834014
2010-12,20240.308740405144
2011-1,20327.390720150222
2011-2,20414.255043882866
2011-3,20500.47635068753
2011-4,20587.202012772374
2011-5,20656.992914310085
2011-6,20755.261722163144
2011-7,20818.928923967393
2011-8,20881.992443367588
2011-9,20944.214066120607
2011-10,21005.052093259506
2011-11,21068.414109369096
2011-12,21132.9745552346
2012-1,21198.310759107655
2012-2,21263.64047236069
2012-3,21331.739138690264
2012-4,21399.248378953263
2012-5,21478.135072171783
2012-6,21550.282027208003
2012-7,21620.227662559504
2012-8,21688.73127536129
2012-9,21757.06219574258
2012-10,21825.625207107143
2012-11,21892.288668607885
2012-12,21955.86111333796
2013-1,22019.158304622306
2013-2,22082.300704305406
2013-3,22144.593881048728
2013-4,22209.289340852014
2013-5,22289.69540877201
2013-6,22392.331378046747
2013-7,22456.44422816682
2013-8,22554.774948660684
2013-9,22651.182346727895
2013-10,22748.018230005586
2013-11,22845.190804224894
2013-12,22940.15685922195
2014-1,23034.869559303326
2014-2,23131.340555225685
2014-3,23227.58320997804
2014-4,23319.69268082064
2014-5,23428.577666573037
2014-6,23530.284862377142
2014-7,23628.753899829582
2014-8,23727.780149569782
2014-9,23830.619310267917
2014-10,23942.182312605168
2014-11,24052.85143720717
2014-12,24165.350473301034
2015-1,24281.70107248395
2015-2,24402.000312644388
2015-3,24520.710100569675
2015-4,24640.325941784387
2015-5,24758.777300987094
2015-6,24863.217543685358
2015-7,24964.833791963694
2015-8,25064.379701428938
2015-9,25163.9940841385
2015-10,25264.75656857545
2015-11,25369.64633058707
2015-12,25476.38052500263
2016-1,25586.528150834893
2016-2,25697.862611886554
2016-3,25808.493266104128
2016-4,25918.291634596495
2016-5,26037.738756102124
2016-6,26142.351431398638
2016-7,26245.40564709295
2016-8,26352.74098887384
2016-9,26461.670393757595
2016-10,26565.296334236973
2016-11,26660.225395902933
2016-12,26756.221803223252
2017-1,26852.30019771146
2017-2,26946.168343124264
2017-3,27040.09667027692
2017-4,27135.87047782196
2017-5,27232.404039781915
2017-6,27328.755605879764
2017-7,27431.661280618428
2017-8,27531.564290590974
2017-9,27630.818261798362
2017-10,27729.35671440366
2017-11,27826.924064318526
2017-12,27921.300956843654
2018-1,28012.769945248576
2018-2,28102.696104318245
2018-3,28191.709644980117
2018-4,28277.9963057735
2018-5,28365.21701334854
2018-6,28444.839222680104
2018-7,28529.16325923687
2018-8,28614.89953703572
2018-9,28707.90726250842
2018-10,28809.121892482915
2018-11,28922.482209998147
2018-12,29046.162553142945
2019-1,29181.90358885559
2019-2,29327.020800919756
2019-3,29480.589626589048
2019-4,29642.250095085223
2019-5,29815.43131176406
2019-6,30016.812072416757
2019-7,30237.57812275425
2019-8,30452.29356851212
2019-9,30676.9472272452
2019-10,30913.8598591931
2019-11,31161.152576433702
2019-12,31413.929893007476
2020-1,31671.474157010827
2020-2,31937.15526337332
2020-3,32204.570144170364
2020-4,32482.989746194653
2020-5,32799.10675518284
2020-6,33138.401239710074
2020-7,33491.16454618007
2020-8,33844.47844999524
2020-9,34199.689652300534
2020-10,34546.84521127588
2020-11,34888.98221778186
2020-12,35226.71099345091
2021-1,35558.54157386536
2021-2,35880.76357355944
2021-3,36198.24669136841
2021-4,36513.53867228228
2021-5,36831.21027589854
2021-6,37140.35433639109
2021-7,37422.86274994158
2021-8,37689.39121172092
2021-9,37955.59279627619
2021-10,38106.45442888676
2021-11,38252.76930119699
2021-12,38394.83725828308
2022-1,38538.783138806604
2022-2,38682.61227791121
2022-3,38825.90040099141
2022-4,38972.376369034566
2022-5,39111.98668590956
2022-6,39213.26735132546
2022-7,39288.5405170419
2022-8,39348.18463514463
2022-9,39399.95006272014
2022-10,39445.003409196244
2022-11,39484.76288368529
2022-12,39518.46475279084
2023-1,39543.59288952208
2023-2,39560.80614593391
2023-3,39572.29610458902
2023-4,39573.62195518267
2023-5,39560.29006684072
2023-6,39516.207561761534
2023-7,39457.1983316553
2023-8,39382.24617447719
2023-9,39286.15141996653
